NODE=[HOST_fd0c0ddbe6] | JOB=I1-layer-s0 4700569
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --num-epochs 100 --alpha0 1e-3 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/I1 --run-name I1_layer_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 47.69 %, Test Accuracy: 63.62 %
Epoch 1, Train Accuracy: 68.87 %, Test Accuracy: 70.29 %
Epoch 2, Train Accuracy: 76.92 %, Test Accuracy: 78.68 %
Epoch 3, Train Accuracy: 80.89 %, Test Accuracy: 81.71 %
Epoch 4, Train Accuracy: 83.75 %, Test Accuracy: 82.56 %
Epoch 5, Train Accuracy: 85.54 %, Test Accuracy: 85.47 %
Epoch 6, Train Accuracy: 87.44 %, Test Accuracy: 86.75 %
Epoch 7, Train Accuracy: 88.53 %, Test Accuracy: 86.94 %
Epoch 8, Train Accuracy: 89.63 %, Test Accuracy: 87.21 %
Epoch 9, Train Accuracy: 90.50 %, Test Accuracy: 88.21 %
Epoch 10, Train Accuracy: 91.53 %, Test Accuracy: 88.34 %
Epoch 11, Train Accuracy: 92.35 %, Test Accuracy: 88.24 %
Epoch 12, Train Accuracy: 93.04 %, Test Accuracy: 89.50 %
Epoch 13, Train Accuracy: 93.70 %, Test Accuracy: 89.51 %
Epoch 14, Train Accuracy: 94.08 %, Test Accuracy: 89.29 %
Epoch 15, Train Accuracy: 94.74 %, Test Accuracy: 89.62 %
Epoch 16, Train Accuracy: 95.34 %, Test Accuracy: 89.67 %
Epoch 17, Train Accuracy: 95.55 %, Test Accuracy: 90.46 %
Epoch 18, Train Accuracy: 95.87 %, Test Accuracy: 90.31 %
Epoch 19, Train Accuracy: 96.35 %, Test Accuracy: 90.56 %
Epoch 20, Train Accuracy: 96.63 %, Test Accuracy: 90.88 %
Epoch 21, Train Accuracy: 96.91 %, Test Accuracy: 90.54 %
Epoch 22, Train Accuracy: 97.34 %, Test Accuracy: 90.38 %
Epoch 23, Train Accuracy: 97.51 %, Test Accuracy: 90.86 %
Epoch 24, Train Accuracy: 97.72 %, Test Accuracy: 90.52 %
Epoch 25, Train Accuracy: 97.90 %, Test Accuracy: 91.18 %
Epoch 26, Train Accuracy: 98.16 %, Test Accuracy: 90.83 %
Epoch 27, Train Accuracy: 98.08 %, Test Accuracy: 91.42 %
Epoch 28, Train Accuracy: 98.34 %, Test Accuracy: 91.00 %
Epoch 29, Train Accuracy: 98.42 %, Test Accuracy: 91.18 %
Epoch 30, Train Accuracy: 98.61 %, Test Accuracy: 91.41 %
Epoch 31, Train Accuracy: 98.62 %, Test Accuracy: 91.46 %
Epoch 32, Train Accuracy: 98.67 %, Test Accuracy: 91.44 %
Epoch 33, Train Accuracy: 98.83 %, Test Accuracy: 91.15 %
