NODE=[HOST_7b4dd78541] | JOB=I1-scal-s0 4700563
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --num-epochs 100 --alpha0 1e-3 --stepsize-groups scalar --seed 0 --save-directory cluster/Account1/metaopt/runs/I1 --run-name I1_scal_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 47.88 %, Test Accuracy: 62.50 %
Epoch 1, Train Accuracy: 67.25 %, Test Accuracy: 67.78 %
Epoch 2, Train Accuracy: 74.75 %, Test Accuracy: 74.24 %
Epoch 3, Train Accuracy: 79.09 %, Test Accuracy: 78.60 %
Epoch 4, Train Accuracy: 81.88 %, Test Accuracy: 80.86 %
Epoch 5, Train Accuracy: 83.92 %, Test Accuracy: 82.77 %
Epoch 6, Train Accuracy: 85.27 %, Test Accuracy: 84.72 %
Epoch 7, Train Accuracy: 86.71 %, Test Accuracy: 84.63 %
Epoch 8, Train Accuracy: 87.67 %, Test Accuracy: 84.86 %
Epoch 9, Train Accuracy: 88.46 %, Test Accuracy: 87.18 %
Epoch 10, Train Accuracy: 89.52 %, Test Accuracy: 87.88 %
Epoch 11, Train Accuracy: 90.62 %, Test Accuracy: 87.09 %
Epoch 12, Train Accuracy: 91.05 %, Test Accuracy: 87.86 %
Epoch 13, Train Accuracy: 91.57 %, Test Accuracy: 87.09 %
Epoch 14, Train Accuracy: 92.01 %, Test Accuracy: 87.42 %
Epoch 15, Train Accuracy: 92.51 %, Test Accuracy: 86.37 %
Epoch 16, Train Accuracy: 93.29 %, Test Accuracy: 88.56 %
Epoch 17, Train Accuracy: 93.66 %, Test Accuracy: 87.60 %
Epoch 18, Train Accuracy: 93.73 %, Test Accuracy: 88.80 %
Epoch 19, Train Accuracy: 94.26 %, Test Accuracy: 89.05 %
Epoch 20, Train Accuracy: 94.67 %, Test Accuracy: 89.73 %
Epoch 21, Train Accuracy: 95.18 %, Test Accuracy: 89.49 %
Epoch 22, Train Accuracy: 95.20 %, Test Accuracy: 88.96 %
Epoch 23, Train Accuracy: 95.63 %, Test Accuracy: 90.13 %
Epoch 24, Train Accuracy: 95.93 %, Test Accuracy: 89.92 %
Epoch 25, Train Accuracy: 96.25 %, Test Accuracy: 89.86 %
Epoch 26, Train Accuracy: 96.47 %, Test Accuracy: 89.55 %
Epoch 27, Train Accuracy: 96.55 %, Test Accuracy: 89.93 %
Epoch 28, Train Accuracy: 96.78 %, Test Accuracy: 90.07 %
Epoch 29, Train Accuracy: 96.88 %, Test Accuracy: 90.07 %
Epoch 30, Train Accuracy: 97.08 %, Test Accuracy: 89.93 %
Epoch 31, Train Accuracy: 97.37 %, Test Accuracy: 90.54 %
Epoch 32, Train Accuracy: 97.52 %, Test Accuracy: 90.57 %
Epoch 33, Train Accuracy: 97.65 %, Test Accuracy: 90.19 %
Epoch 34, Train Accuracy: 97.61 %, Test Accuracy: 90.55 %
Epoch 35, Train Accuracy: 98.01 %, Test Accuracy: 90.34 %
Epoch 36, Train Accuracy: 97.96 %, Test Accuracy: 90.06 %
Epoch 37, Train Accuracy: 98.03 %, Test Accuracy: 89.90 %
Epoch 38, Train Accuracy: 98.12 %, Test Accuracy: 90.47 %
Epoch 39, Train Accuracy: 98.31 %, Test Accuracy: 91.13 %
Epoch 40, Train Accuracy: 98.46 %, Test Accuracy: 91.39 %
Epoch 41, Train Accuracy: 98.46 %, Test Accuracy: 90.14 %
Epoch 42, Train Accuracy: 98.40 %, Test Accuracy: 90.75 %
Epoch 43, Train Accuracy: 98.54 %, Test Accuracy: 90.53 %
Epoch 44, Train Accuracy: 98.55 %, Test Accuracy: 91.28 %
Epoch 45, Train Accuracy: 98.74 %, Test Accuracy: 91.18 %
Epoch 46, Train Accuracy: 98.77 %, Test Accuracy: 90.67 %
Epoch 47, Train Accuracy: 98.72 %, Test Accuracy: 91.03 %
Epoch 48, Train Accuracy: 98.86 %, Test Accuracy: 91.16 %
Epoch 49, Train Accuracy: 98.96 %, Test Accuracy: 91.02 %
Epoch 50, Train Accuracy: 98.86 %, Test Accuracy: 90.91 %
Epoch 51, Train Accuracy: 99.05 %, Test Accuracy: 91.31 %
Epoch 52, Train Accuracy: 99.04 %, Test Accuracy: 90.74 %
Epoch 53, Train Accuracy: 99.22 %, Test Accuracy: 91.51 %
Epoch 54, Train Accuracy: 99.00 %, Test Accuracy: 91.42 %
Epoch 55, Train Accuracy: 99.02 %, Test Accuracy: 91.36 %
Epoch 56, Train Accuracy: 99.44 %, Test Accuracy: 91.73 %
Epoch 57, Train Accuracy: 98.98 %, Test Accuracy: 91.61 %
Epoch 58, Train Accuracy: 99.51 %, Test Accuracy: 91.41 %
Epoch 59, Train Accuracy: 99.34 %, Test Accuracy: 91.40 %
Epoch 60, Train Accuracy: 99.37 %, Test Accuracy: 91.44 %
Epoch 61, Train Accuracy: 99.52 %, Test Accuracy: 91.78 %
Epoch 62, Train Accuracy: 99.25 %, Test Accuracy: 91.56 %
Epoch 63, Train Accuracy: 99.32 %, Test Accuracy: 91.16 %
Epoch 64, Train Accuracy: 99.38 %, Test Accuracy: 91.56 %
Epoch 65, Train Accuracy: 99.37 %, Test Accuracy: 91.23 %
Epoch 66, Train Accuracy: 99.43 %, Test Accuracy: 91.33 %
Epoch 67, Train Accuracy: 99.51 %, Test Accuracy: 91.41 %
Epoch 68, Train Accuracy: 99.52 %, Test Accuracy: 91.51 %
Epoch 69, Train Accuracy: 99.50 %, Test Accuracy: 91.50 %
Epoch 70, Train Accuracy: 99.42 %, Test Accuracy: 90.95 %
Epoch 71, Train Accuracy: 99.53 %, Test Accuracy: 91.54 %
Epoch 72, Train Accuracy: 99.66 %, Test Accuracy: 92.14 %
Epoch 73, Train Accuracy: 99.50 %, Test Accuracy: 91.73 %
Epoch 74, Train Accuracy: 99.60 %, Test Accuracy: 91.60 %
Epoch 75, Train Accuracy: 99.47 %, Test Accuracy: 91.40 %
Epoch 76, Train Accuracy: 99.55 %, Test Accuracy: 91.69 %
Epoch 77, Train Accuracy: 99.58 %, Test Accuracy: 91.97 %
Epoch 78, Train Accuracy: 99.73 %, Test Accuracy: 92.17 %
Epoch 79, Train Accuracy: 99.60 %, Test Accuracy: 91.81 %
Epoch 80, Train Accuracy: 99.66 %, Test Accuracy: 92.21 %
Epoch 81, Train Accuracy: 99.60 %, Test Accuracy: 91.50 %
Epoch 82, Train Accuracy: 99.56 %, Test Accuracy: 92.30 %
Epoch 83, Train Accuracy: 99.73 %, Test Accuracy: 92.10 %
Epoch 84, Train Accuracy: 99.45 %, Test Accuracy: 91.54 %
Epoch 85, Train Accuracy: 99.60 %, Test Accuracy: 91.97 %
Epoch 86, Train Accuracy: 99.67 %, Test Accuracy: 92.38 %
Epoch 87, Train Accuracy: 99.85 %, Test Accuracy: 91.73 %
Epoch 88, Train Accuracy: 99.82 %, Test Accuracy: 91.98 %
Epoch 89, Train Accuracy: 99.72 %, Test Accuracy: 92.21 %
Epoch 90, Train Accuracy: 99.78 %, Test Accuracy: 91.94 %
Epoch 91, Train Accuracy: 99.79 %, Test Accuracy: 92.39 %
Epoch 92, Train Accuracy: 99.74 %, Test Accuracy: 91.30 %
Epoch 93, Train Accuracy: 99.78 %, Test Accuracy: 92.35 %
Epoch 94, Train Accuracy: 99.84 %, Test Accuracy: 91.92 %
Epoch 95, Train Accuracy: 99.86 %, Test Accuracy: 92.15 %
Epoch 96, Train Accuracy: 99.86 %, Test Accuracy: 92.32 %
Epoch 97, Train Accuracy: 99.92 %, Test Accuracy: 92.54 %
Epoch 98, Train Accuracy: 99.94 %, Test Accuracy: 92.93 %
Epoch 99, Train Accuracy: 99.98 %, Test Accuracy: 92.75 %
43  minutes
RUN_DONE
