NODE=[HOST_e8d809bd94] | JOB=SW-3e-4-s0 4700540
ARGS: --optimizer AdamW --alpha0 3e-4 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --num-epochs 100 --seed 0 --save-directory cluster/Account1/metaopt/runs/SW --run-name SW_3e-4_s0
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=default
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 27.87 %, Test Accuracy: 43.32 %
Epoch 1, Train Accuracy: 48.21 %, Test Accuracy: 53.77 %
Epoch 2, Train Accuracy: 58.03 %, Test Accuracy: 59.80 %
Epoch 3, Train Accuracy: 64.65 %, Test Accuracy: 66.56 %
Epoch 4, Train Accuracy: 70.21 %, Test Accuracy: 72.27 %
Epoch 5, Train Accuracy: 74.42 %, Test Accuracy: 75.64 %
Epoch 6, Train Accuracy: 77.06 %, Test Accuracy: 78.02 %
Epoch 7, Train Accuracy: 79.61 %, Test Accuracy: 79.34 %
Epoch 8, Train Accuracy: 81.08 %, Test Accuracy: 78.32 %
Epoch 9, Train Accuracy: 82.59 %, Test Accuracy: 78.79 %
Epoch 10, Train Accuracy: 83.67 %, Test Accuracy: 82.77 %
Epoch 11, Train Accuracy: 84.78 %, Test Accuracy: 83.62 %
Epoch 12, Train Accuracy: 85.77 %, Test Accuracy: 81.64 %
Epoch 13, Train Accuracy: 86.52 %, Test Accuracy: 82.81 %
Epoch 14, Train Accuracy: 87.14 %, Test Accuracy: 82.83 %
Epoch 15, Train Accuracy: 87.80 %, Test Accuracy: 82.01 %
Epoch 16, Train Accuracy: 88.47 %, Test Accuracy: 84.58 %
Epoch 17, Train Accuracy: 88.98 %, Test Accuracy: 85.66 %
Epoch 18, Train Accuracy: 89.41 %, Test Accuracy: 86.60 %
Epoch 19, Train Accuracy: 89.83 %, Test Accuracy: 86.20 %
Epoch 20, Train Accuracy: 90.27 %, Test Accuracy: 85.34 %
Epoch 21, Train Accuracy: 90.88 %, Test Accuracy: 86.17 %
Epoch 22, Train Accuracy: 91.47 %, Test Accuracy: 86.50 %
Epoch 23, Train Accuracy: 92.05 %, Test Accuracy: 87.31 %
Epoch 24, Train Accuracy: 92.53 %, Test Accuracy: 88.90 %
Epoch 25, Train Accuracy: 92.88 %, Test Accuracy: 87.85 %
Epoch 26, Train Accuracy: 93.32 %, Test Accuracy: 87.86 %
Epoch 27, Train Accuracy: 93.69 %, Test Accuracy: 89.62 %
Epoch 28, Train Accuracy: 94.11 %, Test Accuracy: 90.20 %
Epoch 29, Train Accuracy: 94.43 %, Test Accuracy: 88.38 %
Epoch 30, Train Accuracy: 94.69 %, Test Accuracy: 89.06 %
Epoch 31, Train Accuracy: 95.02 %, Test Accuracy: 89.42 %
Epoch 32, Train Accuracy: 95.43 %, Test Accuracy: 91.29 %
Epoch 33, Train Accuracy: 95.71 %, Test Accuracy: 89.45 %
Epoch 34, Train Accuracy: 95.83 %, Test Accuracy: 90.46 %
Epoch 35, Train Accuracy: 96.03 %, Test Accuracy: 90.57 %
Epoch 36, Train Accuracy: 96.32 %, Test Accuracy: 90.39 %
Epoch 37, Train Accuracy: 96.46 %, Test Accuracy: 90.83 %
Epoch 38, Train Accuracy: 96.72 %, Test Accuracy: 90.86 %
Epoch 39, Train Accuracy: 96.80 %, Test Accuracy: 91.35 %
Epoch 40, Train Accuracy: 97.03 %, Test Accuracy: 91.13 %
Epoch 41, Train Accuracy: 97.27 %, Test Accuracy: 91.09 %
Epoch 42, Train Accuracy: 97.23 %, Test Accuracy: 91.29 %
Epoch 43, Train Accuracy: 97.50 %, Test Accuracy: 91.79 %
Epoch 44, Train Accuracy: 97.60 %, Test Accuracy: 91.57 %
Epoch 45, Train Accuracy: 97.91 %, Test Accuracy: 91.91 %
Epoch 46, Train Accuracy: 97.81 %, Test Accuracy: 91.44 %
Epoch 47, Train Accuracy: 97.98 %, Test Accuracy: 90.96 %
Epoch 48, Train Accuracy: 98.20 %, Test Accuracy: 91.44 %
Epoch 49, Train Accuracy: 98.36 %, Test Accuracy: 91.80 %
Epoch 50, Train Accuracy: 98.35 %, Test Accuracy: 91.71 %
Epoch 51, Train Accuracy: 98.47 %, Test Accuracy: 91.72 %
Epoch 52, Train Accuracy: 98.62 %, Test Accuracy: 91.65 %
Epoch 53, Train Accuracy: 98.73 %, Test Accuracy: 92.55 %
Epoch 54, Train Accuracy: 98.65 %, Test Accuracy: 92.49 %
Epoch 55, Train Accuracy: 98.87 %, Test Accuracy: 92.55 %
