NODE=[HOST_3c1b003035] | JOB=SW-3e-5-s0 4700536
ARGS: --optimizer AdamW --alpha0 3e-5 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --num-epochs 100 --seed 0 --save-directory cluster/Account1/metaopt/runs/SW --run-name SW_3e-5_s0
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=default
NVIDIA GeForce RTX 2080 Ti, 11264 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 15.66 %, Test Accuracy: 19.55 %
Epoch 1, Train Accuracy: 29.25 %, Test Accuracy: 35.29 %
Epoch 2, Train Accuracy: 38.70 %, Test Accuracy: 43.55 %
Epoch 3, Train Accuracy: 44.95 %, Test Accuracy: 48.87 %
Epoch 4, Train Accuracy: 50.11 %, Test Accuracy: 53.00 %
Epoch 5, Train Accuracy: 54.12 %, Test Accuracy: 56.77 %
Epoch 6, Train Accuracy: 57.22 %, Test Accuracy: 59.24 %
Epoch 7, Train Accuracy: 60.34 %, Test Accuracy: 62.62 %
Epoch 8, Train Accuracy: 63.31 %, Test Accuracy: 63.19 %
Epoch 9, Train Accuracy: 65.19 %, Test Accuracy: 65.55 %
Epoch 10, Train Accuracy: 67.18 %, Test Accuracy: 67.31 %
Epoch 11, Train Accuracy: 69.00 %, Test Accuracy: 69.12 %
Epoch 12, Train Accuracy: 70.80 %, Test Accuracy: 70.20 %
Epoch 13, Train Accuracy: 72.57 %, Test Accuracy: 71.32 %
Epoch 14, Train Accuracy: 74.15 %, Test Accuracy: 70.81 %
Epoch 15, Train Accuracy: 75.82 %, Test Accuracy: 73.61 %
Epoch 16, Train Accuracy: 77.00 %, Test Accuracy: 75.88 %
Epoch 17, Train Accuracy: 78.23 %, Test Accuracy: 77.30 %
Epoch 18, Train Accuracy: 79.55 %, Test Accuracy: 75.62 %
Epoch 19, Train Accuracy: 80.57 %, Test Accuracy: 78.97 %
Epoch 20, Train Accuracy: 81.80 %, Test Accuracy: 79.19 %
Epoch 21, Train Accuracy: 82.62 %, Test Accuracy: 81.02 %
Epoch 22, Train Accuracy: 83.71 %, Test Accuracy: 80.70 %
Epoch 23, Train Accuracy: 84.37 %, Test Accuracy: 82.01 %
Epoch 24, Train Accuracy: 85.41 %, Test Accuracy: 80.82 %
Epoch 25, Train Accuracy: 86.16 %, Test Accuracy: 82.78 %
Epoch 26, Train Accuracy: 86.79 %, Test Accuracy: 82.80 %
Epoch 27, Train Accuracy: 87.38 %, Test Accuracy: 83.18 %
Epoch 28, Train Accuracy: 87.97 %, Test Accuracy: 83.87 %
Epoch 29, Train Accuracy: 88.62 %, Test Accuracy: 83.50 %
Epoch 30, Train Accuracy: 89.31 %, Test Accuracy: 83.93 %
Epoch 31, Train Accuracy: 89.74 %, Test Accuracy: 84.19 %
Epoch 32, Train Accuracy: 90.38 %, Test Accuracy: 84.50 %
Epoch 33, Train Accuracy: 90.89 %, Test Accuracy: 85.32 %
Epoch 34, Train Accuracy: 91.22 %, Test Accuracy: 84.84 %
Epoch 35, Train Accuracy: 91.85 %, Test Accuracy: 84.48 %
Epoch 36, Train Accuracy: 92.02 %, Test Accuracy: 84.73 %
Epoch 37, Train Accuracy: 92.31 %, Test Accuracy: 85.24 %
Epoch 38, Train Accuracy: 92.96 %, Test Accuracy: 84.90 %
Epoch 39, Train Accuracy: 93.19 %, Test Accuracy: 85.39 %
Epoch 40, Train Accuracy: 93.71 %, Test Accuracy: 86.57 %
Epoch 41, Train Accuracy: 93.97 %, Test Accuracy: 86.36 %
Epoch 42, Train Accuracy: 94.25 %, Test Accuracy: 85.95 %
Epoch 43, Train Accuracy: 94.76 %, Test Accuracy: 85.87 %
Epoch 44, Train Accuracy: 94.83 %, Test Accuracy: 86.71 %
Epoch 45, Train Accuracy: 95.21 %, Test Accuracy: 86.41 %
Epoch 46, Train Accuracy: 95.38 %, Test Accuracy: 86.21 %
Epoch 47, Train Accuracy: 95.62 %, Test Accuracy: 87.00 %
Epoch 48, Train Accuracy: 95.96 %, Test Accuracy: 86.53 %
Epoch 49, Train Accuracy: 96.45 %, Test Accuracy: 86.64 %
Epoch 50, Train Accuracy: 96.58 %, Test Accuracy: 87.13 %
Epoch 51, Train Accuracy: 96.70 %, Test Accuracy: 86.62 %
Epoch 52, Train Accuracy: 96.99 %, Test Accuracy: 86.95 %
Epoch 53, Train Accuracy: 97.16 %, Test Accuracy: 87.70 %
Epoch 54, Train Accuracy: 97.40 %, Test Accuracy: 87.38 %
Epoch 55, Train Accuracy: 97.46 %, Test Accuracy: 87.15 %
Epoch 56, Train Accuracy: 97.72 %, Test Accuracy: 87.22 %
Epoch 57, Train Accuracy: 97.74 %, Test Accuracy: 87.69 %
Epoch 58, Train Accuracy: 97.96 %, Test Accuracy: 87.35 %
Epoch 59, Train Accuracy: 98.22 %, Test Accuracy: 87.20 %
Epoch 60, Train Accuracy: 98.20 %, Test Accuracy: 87.75 %
Epoch 61, Train Accuracy: 98.43 %, Test Accuracy: 87.25 %
Epoch 62, Train Accuracy: 98.49 %, Test Accuracy: 88.00 %
Epoch 63, Train Accuracy: 98.57 %, Test Accuracy: 88.08 %
Epoch 64, Train Accuracy: 98.69 %, Test Accuracy: 88.20 %
Epoch 65, Train Accuracy: 98.81 %, Test Accuracy: 88.13 %
Epoch 66, Train Accuracy: 98.79 %, Test Accuracy: 88.22 %
Epoch 67, Train Accuracy: 98.97 %, Test Accuracy: 88.25 %
Epoch 68, Train Accuracy: 99.07 %, Test Accuracy: 88.44 %
Epoch 69, Train Accuracy: 99.15 %, Test Accuracy: 88.45 %
Epoch 70, Train Accuracy: 99.21 %, Test Accuracy: 88.15 %
Epoch 71, Train Accuracy: 99.28 %, Test Accuracy: 88.52 %
