NODE=[HOST_bcfd0fc19c] | JOB=a0-blk6-1e4-s0 4680706 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 1e-4 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account2/metaopt/runs/alpha0 --run-name a0-blk6-1e4_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 51.89 %, Test Accuracy: 63.96 %
Epoch 1, Train Accuracy: 69.96 %, Test Accuracy: 71.75 %
Epoch 2, Train Accuracy: 76.31 %, Test Accuracy: 77.66 %
Epoch 3, Train Accuracy: 79.90 %, Test Accuracy: 79.91 %
Epoch 4, Train Accuracy: 82.24 %, Test Accuracy: 80.59 %
Epoch 5, Train Accuracy: 84.15 %, Test Accuracy: 82.13 %
Epoch 6, Train Accuracy: 85.56 %, Test Accuracy: 84.23 %
Epoch 7, Train Accuracy: 86.75 %, Test Accuracy: 84.80 %
Epoch 8, Train Accuracy: 87.78 %, Test Accuracy: 82.97 %
Epoch 9, Train Accuracy: 88.87 %, Test Accuracy: 86.93 %
Epoch 10, Train Accuracy: 89.31 %, Test Accuracy: 86.24 %
Epoch 11, Train Accuracy: 90.12 %, Test Accuracy: 86.15 %
Epoch 12, Train Accuracy: 90.83 %, Test Accuracy: 86.96 %
Epoch 13, Train Accuracy: 91.42 %, Test Accuracy: 87.71 %
Epoch 14, Train Accuracy: 91.87 %, Test Accuracy: 87.51 %
Epoch 15, Train Accuracy: 92.44 %, Test Accuracy: 88.59 %
Epoch 16, Train Accuracy: 93.03 %, Test Accuracy: 88.79 %
Epoch 17, Train Accuracy: 93.11 %, Test Accuracy: 88.34 %
Epoch 18, Train Accuracy: 93.60 %, Test Accuracy: 88.81 %
Epoch 19, Train Accuracy: 93.84 %, Test Accuracy: 87.91 %
Epoch 20, Train Accuracy: 94.43 %, Test Accuracy: 89.02 %
Epoch 21, Train Accuracy: 94.55 %, Test Accuracy: 89.26 %
Epoch 22, Train Accuracy: 95.05 %, Test Accuracy: 88.78 %
Epoch 23, Train Accuracy: 95.29 %, Test Accuracy: 88.93 %
