NODE=[HOST_03eb56b6d1] | JOB=a0-layer-1e3-s2 4680726 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 1e-3 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account2/metaopt/runs/alpha0 --run-name a0-layer-1e3_s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 37.47 %, Test Accuracy: 50.98 %
Epoch 1, Train Accuracy: 59.44 %, Test Accuracy: 64.63 %
Epoch 2, Train Accuracy: 69.18 %, Test Accuracy: 71.25 %
Epoch 3, Train Accuracy: 74.97 %, Test Accuracy: 75.95 %
Epoch 4, Train Accuracy: 79.30 %, Test Accuracy: 78.80 %
Epoch 5, Train Accuracy: 81.79 %, Test Accuracy: 82.36 %
Epoch 6, Train Accuracy: 84.10 %, Test Accuracy: 83.91 %
Epoch 7, Train Accuracy: 85.88 %, Test Accuracy: 83.52 %
Epoch 8, Train Accuracy: 87.06 %, Test Accuracy: 84.21 %
Epoch 9, Train Accuracy: 88.30 %, Test Accuracy: 85.93 %
Epoch 10, Train Accuracy: 89.24 %, Test Accuracy: 86.30 %
Epoch 11, Train Accuracy: 90.17 %, Test Accuracy: 87.15 %
Epoch 12, Train Accuracy: 91.02 %, Test Accuracy: 87.08 %
Epoch 13, Train Accuracy: 91.90 %, Test Accuracy: 87.31 %
Epoch 14, Train Accuracy: 92.53 %, Test Accuracy: 88.11 %
Epoch 15, Train Accuracy: 93.29 %, Test Accuracy: 87.35 %
Epoch 16, Train Accuracy: 93.93 %, Test Accuracy: 87.50 %
Epoch 17, Train Accuracy: 94.21 %, Test Accuracy: 88.89 %
Epoch 18, Train Accuracy: 94.85 %, Test Accuracy: 88.78 %
Epoch 19, Train Accuracy: 95.31 %, Test Accuracy: 88.82 %
Epoch 20, Train Accuracy: 95.50 %, Test Accuracy: 89.24 %
Epoch 21, Train Accuracy: 96.10 %, Test Accuracy: 88.95 %
Epoch 22, Train Accuracy: 96.34 %, Test Accuracy: 89.31 %
Epoch 23, Train Accuracy: 96.81 %, Test Accuracy: 88.71 %
Epoch 24, Train Accuracy: 97.20 %, Test Accuracy: 89.84 %
Epoch 25, Train Accuracy: 97.34 %, Test Accuracy: 89.69 %
Epoch 26, Train Accuracy: 97.68 %, Test Accuracy: 89.35 %
Epoch 27, Train Accuracy: 97.86 %, Test Accuracy: 89.95 %
Epoch 28, Train Accuracy: 97.88 %, Test Accuracy: 89.67 %
Epoch 29, Train Accuracy: 98.12 %, Test Accuracy: 89.55 %
Epoch 30, Train Accuracy: 98.27 %, Test Accuracy: 89.92 %
Epoch 31, Train Accuracy: 98.34 %, Test Accuracy: 90.07 %
Epoch 32, Train Accuracy: 98.62 %, Test Accuracy: 90.31 %
Epoch 33, Train Accuracy: 98.60 %, Test Accuracy: 89.56 %
Epoch 34, Train Accuracy: 98.69 %, Test Accuracy: 89.99 %
Epoch 35, Train Accuracy: 98.89 %, Test Accuracy: 90.15 %
Epoch 36, Train Accuracy: 98.96 %, Test Accuracy: 90.25 %
Epoch 37, Train Accuracy: 99.01 %, Test Accuracy: 89.92 %
Epoch 38, Train Accuracy: 99.07 %, Test Accuracy: 89.91 %
Epoch 39, Train Accuracy: 99.12 %, Test Accuracy: 89.93 %
Epoch 40, Train Accuracy: 99.23 %, Test Accuracy: 90.25 %
Epoch 41, Train Accuracy: 99.20 %, Test Accuracy: 90.22 %
Epoch 42, Train Accuracy: 99.20 %, Test Accuracy: 89.99 %
Epoch 43, Train Accuracy: 99.30 %, Test Accuracy: 89.89 %
Epoch 44, Train Accuracy: 99.32 %, Test Accuracy: 90.12 %
Epoch 45, Train Accuracy: 99.39 %, Test Accuracy: 90.14 %
Epoch 46, Train Accuracy: 99.46 %, Test Accuracy: 90.30 %
Epoch 47, Train Accuracy: 99.43 %, Test Accuracy: 90.12 %
Epoch 48, Train Accuracy: 99.44 %, Test Accuracy: 90.42 %
Epoch 49, Train Accuracy: 99.54 %, Test Accuracy: 90.14 %
Epoch 50, Train Accuracy: 99.57 %, Test Accuracy: 90.49 %
Epoch 51, Train Accuracy: 99.59 %, Test Accuracy: 90.49 %
Epoch 52, Train Accuracy: 99.50 %, Test Accuracy: 90.64 %
Epoch 53, Train Accuracy: 99.62 %, Test Accuracy: 90.69 %
Epoch 54, Train Accuracy: 99.58 %, Test Accuracy: 90.30 %
Epoch 55, Train Accuracy: 99.62 %, Test Accuracy: 90.44 %
Epoch 56, Train Accuracy: 99.70 %, Test Accuracy: 90.87 %
Epoch 57, Train Accuracy: 99.57 %, Test Accuracy: 90.81 %
Epoch 58, Train Accuracy: 99.66 %, Test Accuracy: 90.63 %
Epoch 59, Train Accuracy: 99.70 %, Test Accuracy: 90.70 %
Epoch 60, Train Accuracy: 99.66 %, Test Accuracy: 90.88 %
Epoch 61, Train Accuracy: 99.69 %, Test Accuracy: 90.46 %
Epoch 62, Train Accuracy: 99.73 %, Test Accuracy: 90.48 %
Epoch 63, Train Accuracy: 99.75 %, Test Accuracy: 90.66 %
Epoch 64, Train Accuracy: 99.72 %, Test Accuracy: 90.97 %
Epoch 65, Train Accuracy: 99.76 %, Test Accuracy: 90.92 %
Epoch 66, Train Accuracy: 99.77 %, Test Accuracy: 90.80 %
Epoch 67, Train Accuracy: 99.78 %, Test Accuracy: 90.94 %
Epoch 68, Train Accuracy: 99.75 %, Test Accuracy: 90.67 %
Epoch 69, Train Accuracy: 99.76 %, Test Accuracy: 91.00 %
Epoch 70, Train Accuracy: 99.80 %, Test Accuracy: 90.65 %
Epoch 71, Train Accuracy: 99.77 %, Test Accuracy: 90.99 %
Epoch 72, Train Accuracy: 99.79 %, Test Accuracy: 90.87 %
Epoch 73, Train Accuracy: 99.79 %, Test Accuracy: 90.76 %
Epoch 74, Train Accuracy: 99.82 %, Test Accuracy: 90.81 %
Epoch 75, Train Accuracy: 99.84 %, Test Accuracy: 90.84 %
Epoch 76, Train Accuracy: 99.85 %, Test Accuracy: 90.91 %
Epoch 77, Train Accuracy: 99.82 %, Test Accuracy: 90.71 %
Epoch 78, Train Accuracy: 99.89 %, Test Accuracy: 90.86 %
Epoch 79, Train Accuracy: 99.86 %, Test Accuracy: 90.74 %
Epoch 80, Train Accuracy: 99.82 %, Test Accuracy: 90.78 %
Epoch 81, Train Accuracy: 99.85 %, Test Accuracy: 91.15 %
Epoch 82, Train Accuracy: 99.82 %, Test Accuracy: 91.04 %
Epoch 83, Train Accuracy: 99.86 %, Test Accuracy: 90.91 %
Epoch 84, Train Accuracy: 99.84 %, Test Accuracy: 90.88 %
Epoch 85, Train Accuracy: 99.88 %, Test Accuracy: 91.14 %
Epoch 86, Train Accuracy: 99.89 %, Test Accuracy: 91.08 %
Epoch 87, Train Accuracy: 99.85 %, Test Accuracy: 90.98 %
Epoch 88, Train Accuracy: 99.86 %, Test Accuracy: 90.89 %
Epoch 89, Train Accuracy: 99.92 %, Test Accuracy: 91.15 %
Epoch 90, Train Accuracy: 99.90 %, Test Accuracy: 90.96 %
Epoch 91, Train Accuracy: 99.86 %, Test Accuracy: 90.85 %
Epoch 92, Train Accuracy: 99.86 %, Test Accuracy: 91.12 %
Epoch 93, Train Accuracy: 99.91 %, Test Accuracy: 91.08 %
Epoch 94, Train Accuracy: 99.87 %, Test Accuracy: 91.18 %
Epoch 95, Train Accuracy: 99.91 %, Test Accuracy: 91.00 %
Epoch 96, Train Accuracy: 99.86 %, Test Accuracy: 90.79 %
Epoch 97, Train Accuracy: 99.89 %, Test Accuracy: 91.04 %
Epoch 98, Train Accuracy: 99.90 %, Test Accuracy: 91.19 %
Epoch 99, Train Accuracy: 99.92 %, Test Accuracy: 91.09 %
39  minutes
RUN_DONE
