NODE=[HOST_3c1b003035] | JOB=a0A-blk6-1e6-s0 4680915 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 1e-6 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account2/metaopt/runs/a0adam --run-name a0A-blk6-1e6_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 15.38 %, Test Accuracy: 24.06 %
Epoch 1, Train Accuracy: 40.76 %, Test Accuracy: 48.63 %
Epoch 2, Train Accuracy: 53.76 %, Test Accuracy: 58.69 %
Epoch 3, Train Accuracy: 61.28 %, Test Accuracy: 63.57 %
Epoch 4, Train Accuracy: 66.29 %, Test Accuracy: 68.56 %
Epoch 5, Train Accuracy: 70.33 %, Test Accuracy: 72.68 %
Epoch 6, Train Accuracy: 73.97 %, Test Accuracy: 74.38 %
Epoch 7, Train Accuracy: 76.84 %, Test Accuracy: 77.07 %
Epoch 8, Train Accuracy: 78.79 %, Test Accuracy: 78.17 %
Epoch 9, Train Accuracy: 80.86 %, Test Accuracy: 80.70 %
Epoch 10, Train Accuracy: 82.25 %, Test Accuracy: 81.30 %
Epoch 11, Train Accuracy: 83.86 %, Test Accuracy: 83.01 %
Epoch 12, Train Accuracy: 84.51 %, Test Accuracy: 83.74 %
Epoch 13, Train Accuracy: 85.91 %, Test Accuracy: 84.44 %
Epoch 14, Train Accuracy: 87.18 %, Test Accuracy: 85.21 %
Epoch 15, Train Accuracy: 87.82 %, Test Accuracy: 86.02 %
Epoch 16, Train Accuracy: 89.32 %, Test Accuracy: 86.66 %
Epoch 17, Train Accuracy: 89.86 %, Test Accuracy: 87.51 %
Epoch 18, Train Accuracy: 90.81 %, Test Accuracy: 87.79 %
Epoch 19, Train Accuracy: 91.47 %, Test Accuracy: 88.43 %
Epoch 20, Train Accuracy: 92.30 %, Test Accuracy: 88.71 %
Epoch 21, Train Accuracy: 92.77 %, Test Accuracy: 88.50 %
Epoch 22, Train Accuracy: 93.01 %, Test Accuracy: 89.00 %
Epoch 23, Train Accuracy: 93.33 %, Test Accuracy: 89.05 %
Epoch 24, Train Accuracy: 93.54 %, Test Accuracy: 89.36 %
Epoch 25, Train Accuracy: 93.92 %, Test Accuracy: 89.57 %
Epoch 26, Train Accuracy: 93.98 %, Test Accuracy: 89.48 %
Epoch 27, Train Accuracy: 94.25 %, Test Accuracy: 89.53 %
Epoch 28, Train Accuracy: 94.34 %, Test Accuracy: 89.91 %
Epoch 29, Train Accuracy: 94.57 %, Test Accuracy: 89.59 %
Epoch 30, Train Accuracy: 94.58 %, Test Accuracy: 90.04 %
Epoch 31, Train Accuracy: 94.91 %, Test Accuracy: 89.65 %
Epoch 32, Train Accuracy: 94.95 %, Test Accuracy: 89.99 %
Epoch 33, Train Accuracy: 95.01 %, Test Accuracy: 89.95 %
Epoch 34, Train Accuracy: 95.12 %, Test Accuracy: 89.95 %
Epoch 35, Train Accuracy: 95.43 %, Test Accuracy: 89.70 %
Epoch 36, Train Accuracy: 95.33 %, Test Accuracy: 90.19 %
Epoch 37, Train Accuracy: 95.43 %, Test Accuracy: 89.85 %
Epoch 38, Train Accuracy: 95.47 %, Test Accuracy: 90.21 %
Epoch 39, Train Accuracy: 95.68 %, Test Accuracy: 90.13 %
Epoch 40, Train Accuracy: 95.76 %, Test Accuracy: 90.33 %
Epoch 41, Train Accuracy: 95.91 %, Test Accuracy: 90.44 %
Epoch 42, Train Accuracy: 95.97 %, Test Accuracy: 90.20 %
Epoch 43, Train Accuracy: 96.13 %, Test Accuracy: 90.10 %
Epoch 44, Train Accuracy: 96.26 %, Test Accuracy: 90.29 %
Epoch 45, Train Accuracy: 96.31 %, Test Accuracy: 90.19 %
Epoch 46, Train Accuracy: 96.16 %, Test Accuracy: 90.59 %
Epoch 47, Train Accuracy: 96.33 %, Test Accuracy: 90.46 %
Epoch 48, Train Accuracy: 96.55 %, Test Accuracy: 90.32 %
Epoch 49, Train Accuracy: 96.66 %, Test Accuracy: 90.49 %
Epoch 50, Train Accuracy: 96.64 %, Test Accuracy: 90.58 %
Epoch 51, Train Accuracy: 96.77 %, Test Accuracy: 90.38 %
Epoch 52, Train Accuracy: 96.88 %, Test Accuracy: 90.39 %
Epoch 53, Train Accuracy: 97.00 %, Test Accuracy: 90.60 %
Epoch 54, Train Accuracy: 97.21 %, Test Accuracy: 90.31 %
Epoch 55, Train Accuracy: 97.12 %, Test Accuracy: 90.46 %
Epoch 56, Train Accuracy: 97.28 %, Test Accuracy: 90.42 %
Epoch 57, Train Accuracy: 97.30 %, Test Accuracy: 90.66 %
Epoch 58, Train Accuracy: 97.38 %, Test Accuracy: 90.87 %
Epoch 59, Train Accuracy: 97.41 %, Test Accuracy: 90.33 %
Epoch 60, Train Accuracy: 97.54 %, Test Accuracy: 90.58 %
Epoch 61, Train Accuracy: 97.55 %, Test Accuracy: 90.80 %
Epoch 62, Train Accuracy: 97.63 %, Test Accuracy: 90.19 %
Epoch 63, Train Accuracy: 97.73 %, Test Accuracy: 90.70 %
Epoch 64, Train Accuracy: 97.89 %, Test Accuracy: 90.65 %
Epoch 65, Train Accuracy: 97.92 %, Test Accuracy: 90.51 %
Epoch 66, Train Accuracy: 97.98 %, Test Accuracy: 90.87 %
Epoch 67, Train Accuracy: 98.09 %, Test Accuracy: 90.75 %
Epoch 68, Train Accuracy: 98.07 %, Test Accuracy: 90.74 %
Epoch 69, Train Accuracy: 98.09 %, Test Accuracy: 90.49 %
Epoch 70, Train Accuracy: 98.27 %, Test Accuracy: 90.81 %
Epoch 71, Train Accuracy: 98.27 %, Test Accuracy: 90.95 %
Epoch 72, Train Accuracy: 98.26 %, Test Accuracy: 90.83 %
Epoch 73, Train Accuracy: 98.36 %, Test Accuracy: 90.84 %
Epoch 74, Train Accuracy: 98.47 %, Test Accuracy: 90.77 %
Epoch 75, Train Accuracy: 98.49 %, Test Accuracy: 90.81 %
Epoch 76, Train Accuracy: 98.47 %, Test Accuracy: 90.87 %
Epoch 77, Train Accuracy: 98.46 %, Test Accuracy: 90.86 %
Epoch 78, Train Accuracy: 98.68 %, Test Accuracy: 90.74 %
Epoch 79, Train Accuracy: 98.72 %, Test Accuracy: 90.51 %
Epoch 80, Train Accuracy: 98.76 %, Test Accuracy: 91.01 %
Epoch 81, Train Accuracy: 98.69 %, Test Accuracy: 90.91 %
Epoch 82, Train Accuracy: 98.81 %, Test Accuracy: 90.85 %
Epoch 83, Train Accuracy: 98.70 %, Test Accuracy: 90.87 %
Epoch 84, Train Accuracy: 98.84 %, Test Accuracy: 90.97 %
Epoch 85, Train Accuracy: 98.79 %, Test Accuracy: 90.75 %
Epoch 86, Train Accuracy: 98.90 %, Test Accuracy: 90.82 %
Epoch 87, Train Accuracy: 98.96 %, Test Accuracy: 90.86 %
Epoch 88, Train Accuracy: 98.97 %, Test Accuracy: 91.30 %
Epoch 89, Train Accuracy: 99.01 %, Test Accuracy: 90.78 %
Epoch 90, Train Accuracy: 98.96 %, Test Accuracy: 90.93 %
Epoch 91, Train Accuracy: 99.04 %, Test Accuracy: 90.82 %
Epoch 92, Train Accuracy: 98.94 %, Test Accuracy: 90.92 %
Epoch 93, Train Accuracy: 99.07 %, Test Accuracy: 90.90 %
Epoch 94, Train Accuracy: 99.07 %, Test Accuracy: 90.78 %
Epoch 95, Train Accuracy: 99.13 %, Test Accuracy: 91.05 %
Epoch 96, Train Accuracy: 99.11 %, Test Accuracy: 91.00 %
Epoch 97, Train Accuracy: 99.18 %, Test Accuracy: 90.95 %
Epoch 98, Train Accuracy: 99.18 %, Test Accuracy: 90.92 %
Epoch 99, Train Accuracy: 99.04 %, Test Accuracy: 90.92 %
85  minutes
RUN_DONE
