NODE=[HOST_2739ecbbce] | JOB=a0h-blk6-1e4-s0 4680884
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 1e-4 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account1/metaopt/runs/a0hier --run-name a0h-blk6-1e4_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 15.32 %, Test Accuracy: 18.03 %
Epoch 1, Train Accuracy: 22.02 %, Test Accuracy: 24.65 %
Epoch 2, Train Accuracy: 27.85 %, Test Accuracy: 30.42 %
Epoch 3, Train Accuracy: 32.59 %, Test Accuracy: 35.27 %
Epoch 4, Train Accuracy: 37.08 %, Test Accuracy: 40.16 %
Epoch 5, Train Accuracy: 41.60 %, Test Accuracy: 44.88 %
Epoch 6, Train Accuracy: 47.63 %, Test Accuracy: 52.43 %
Epoch 7, Train Accuracy: 54.27 %, Test Accuracy: 57.97 %
Epoch 8, Train Accuracy: 61.41 %, Test Accuracy: 62.30 %
Epoch 9, Train Accuracy: 66.50 %, Test Accuracy: 68.02 %
Epoch 10, Train Accuracy: 71.34 %, Test Accuracy: 67.12 %
Epoch 11, Train Accuracy: 74.67 %, Test Accuracy: 75.23 %
Epoch 12, Train Accuracy: 77.21 %, Test Accuracy: 76.84 %
Epoch 13, Train Accuracy: 79.66 %, Test Accuracy: 79.31 %
Epoch 14, Train Accuracy: 81.30 %, Test Accuracy: 81.85 %
Epoch 15, Train Accuracy: 82.77 %, Test Accuracy: 81.89 %
Epoch 16, Train Accuracy: 84.08 %, Test Accuracy: 83.33 %
Epoch 17, Train Accuracy: 84.74 %, Test Accuracy: 83.45 %
Epoch 18, Train Accuracy: 85.91 %, Test Accuracy: 84.41 %
Epoch 19, Train Accuracy: 87.17 %, Test Accuracy: 85.07 %
Epoch 20, Train Accuracy: 87.71 %, Test Accuracy: 85.37 %
Epoch 21, Train Accuracy: 88.56 %, Test Accuracy: 85.14 %
Epoch 22, Train Accuracy: 89.16 %, Test Accuracy: 85.97 %
Epoch 23, Train Accuracy: 89.65 %, Test Accuracy: 86.88 %
Epoch 24, Train Accuracy: 90.41 %, Test Accuracy: 87.04 %
Epoch 25, Train Accuracy: 90.96 %, Test Accuracy: 87.85 %
Epoch 26, Train Accuracy: 91.74 %, Test Accuracy: 87.77 %
Epoch 27, Train Accuracy: 91.84 %, Test Accuracy: 88.28 %
Epoch 28, Train Accuracy: 92.85 %, Test Accuracy: 88.60 %
Epoch 29, Train Accuracy: 93.07 %, Test Accuracy: 88.60 %
Epoch 30, Train Accuracy: 93.73 %, Test Accuracy: 88.67 %
Epoch 31, Train Accuracy: 94.14 %, Test Accuracy: 89.74 %
Epoch 32, Train Accuracy: 94.48 %, Test Accuracy: 90.04 %
Epoch 33, Train Accuracy: 95.01 %, Test Accuracy: 89.94 %
Epoch 34, Train Accuracy: 95.23 %, Test Accuracy: 89.94 %
Epoch 35, Train Accuracy: 95.46 %, Test Accuracy: 90.03 %
Epoch 36, Train Accuracy: 95.65 %, Test Accuracy: 90.04 %
Epoch 37, Train Accuracy: 95.88 %, Test Accuracy: 90.13 %
Epoch 38, Train Accuracy: 96.09 %, Test Accuracy: 90.53 %
Epoch 39, Train Accuracy: 96.18 %, Test Accuracy: 90.38 %
Epoch 40, Train Accuracy: 96.56 %, Test Accuracy: 90.87 %
Epoch 41, Train Accuracy: 96.39 %, Test Accuracy: 90.62 %
Epoch 42, Train Accuracy: 96.55 %, Test Accuracy: 90.55 %
Epoch 43, Train Accuracy: 96.52 %, Test Accuracy: 90.63 %
Epoch 44, Train Accuracy: 96.74 %, Test Accuracy: 90.92 %
Epoch 45, Train Accuracy: 96.99 %, Test Accuracy: 90.83 %
Epoch 46, Train Accuracy: 96.95 %, Test Accuracy: 91.02 %
Epoch 47, Train Accuracy: 96.93 %, Test Accuracy: 90.89 %
Epoch 48, Train Accuracy: 97.12 %, Test Accuracy: 90.99 %
Epoch 49, Train Accuracy: 97.20 %, Test Accuracy: 90.97 %
Epoch 50, Train Accuracy: 97.13 %, Test Accuracy: 91.09 %
Epoch 51, Train Accuracy: 97.39 %, Test Accuracy: 91.01 %
Epoch 52, Train Accuracy: 97.46 %, Test Accuracy: 91.06 %
Epoch 53, Train Accuracy: 97.49 %, Test Accuracy: 91.16 %
Epoch 54, Train Accuracy: 97.62 %, Test Accuracy: 90.84 %
Epoch 55, Train Accuracy: 97.67 %, Test Accuracy: 91.02 %
Epoch 56, Train Accuracy: 97.79 %, Test Accuracy: 91.20 %
Epoch 57, Train Accuracy: 97.74 %, Test Accuracy: 91.26 %
Epoch 58, Train Accuracy: 97.77 %, Test Accuracy: 91.05 %
Epoch 59, Train Accuracy: 97.87 %, Test Accuracy: 90.80 %
Epoch 60, Train Accuracy: 97.86 %, Test Accuracy: 91.37 %
Epoch 61, Train Accuracy: 98.03 %, Test Accuracy: 90.87 %
Epoch 62, Train Accuracy: 97.93 %, Test Accuracy: 91.21 %
Epoch 63, Train Accuracy: 98.03 %, Test Accuracy: 91.32 %
Epoch 64, Train Accuracy: 98.18 %, Test Accuracy: 91.15 %
Epoch 65, Train Accuracy: 98.10 %, Test Accuracy: 91.25 %
Epoch 66, Train Accuracy: 98.18 %, Test Accuracy: 91.61 %
Epoch 67, Train Accuracy: 98.36 %, Test Accuracy: 91.27 %
Epoch 68, Train Accuracy: 98.27 %, Test Accuracy: 91.36 %
Epoch 69, Train Accuracy: 98.36 %, Test Accuracy: 90.81 %
Epoch 70, Train Accuracy: 98.46 %, Test Accuracy: 91.19 %
Epoch 71, Train Accuracy: 98.39 %, Test Accuracy: 91.34 %
Epoch 72, Train Accuracy: 98.55 %, Test Accuracy: 91.39 %
Epoch 73, Train Accuracy: 98.58 %, Test Accuracy: 91.16 %
Epoch 74, Train Accuracy: 98.57 %, Test Accuracy: 91.66 %
Epoch 75, Train Accuracy: 98.73 %, Test Accuracy: 91.40 %
Epoch 76, Train Accuracy: 98.59 %, Test Accuracy: 91.37 %
Epoch 77, Train Accuracy: 98.73 %, Test Accuracy: 91.52 %
Epoch 78, Train Accuracy: 98.78 %, Test Accuracy: 91.31 %
Epoch 79, Train Accuracy: 98.76 %, Test Accuracy: 91.36 %
Epoch 80, Train Accuracy: 98.83 %, Test Accuracy: 91.49 %
Epoch 81, Train Accuracy: 98.79 %, Test Accuracy: 91.32 %
