NODE=[HOST_3c1b003035] | JOB=a0h-scal-1e4-s1 4680818
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 1e-4 --stepsize-groups scalar --seed 1 --save-directory cluster/Account1/metaopt/runs/a0hier --run-name a0h-scal-1e4_s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 13.06 %, Test Accuracy: 20.72 %
Epoch 1, Train Accuracy: 21.60 %, Test Accuracy: 24.21 %
Epoch 2, Train Accuracy: 26.80 %, Test Accuracy: 29.02 %
Epoch 3, Train Accuracy: 32.83 %, Test Accuracy: 36.46 %
Epoch 4, Train Accuracy: 38.45 %, Test Accuracy: 42.70 %
Epoch 5, Train Accuracy: 44.28 %, Test Accuracy: 48.47 %
Epoch 6, Train Accuracy: 49.35 %, Test Accuracy: 52.01 %
Epoch 7, Train Accuracy: 54.98 %, Test Accuracy: 53.99 %
Epoch 8, Train Accuracy: 61.60 %, Test Accuracy: 64.52 %
Epoch 9, Train Accuracy: 67.40 %, Test Accuracy: 68.71 %
Epoch 10, Train Accuracy: 71.54 %, Test Accuracy: 72.42 %
Epoch 11, Train Accuracy: 74.37 %, Test Accuracy: 75.27 %
Epoch 12, Train Accuracy: 76.48 %, Test Accuracy: 76.67 %
Epoch 13, Train Accuracy: 78.43 %, Test Accuracy: 78.97 %
Epoch 14, Train Accuracy: 79.82 %, Test Accuracy: 80.18 %
Epoch 15, Train Accuracy: 81.19 %, Test Accuracy: 80.97 %
Epoch 16, Train Accuracy: 82.47 %, Test Accuracy: 81.29 %
Epoch 17, Train Accuracy: 82.85 %, Test Accuracy: 81.97 %
Epoch 18, Train Accuracy: 83.92 %, Test Accuracy: 83.16 %
Epoch 19, Train Accuracy: 84.45 %, Test Accuracy: 82.63 %
