NODE=[HOST_2f2f29d9e1] | JOB=a2g3-1e3-r0-s1 4885973
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --NN-name ResNet50 --alpha0 1e-3 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/a2g3 --run-name a2g3-1e3-r0-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 16.91 %, Test Accuracy: 20.83 %
Epoch 1, Train Accuracy: 26.91 %, Test Accuracy: 33.09 %
Epoch 2, Train Accuracy: 34.02 %, Test Accuracy: 38.57 %
Epoch 3, Train Accuracy: 39.90 %, Test Accuracy: 45.23 %
Epoch 4, Train Accuracy: 45.80 %, Test Accuracy: 43.82 %
Epoch 5, Train Accuracy: 50.96 %, Test Accuracy: 53.80 %
Epoch 6, Train Accuracy: 56.59 %, Test Accuracy: 56.40 %
Epoch 7, Train Accuracy: 62.33 %, Test Accuracy: 58.63 %
Epoch 8, Train Accuracy: 67.37 %, Test Accuracy: 68.44 %
Epoch 9, Train Accuracy: 72.55 %, Test Accuracy: 71.47 %
Epoch 10, Train Accuracy: 76.07 %, Test Accuracy: 76.67 %
Epoch 11, Train Accuracy: 78.97 %, Test Accuracy: 78.99 %
Epoch 12, Train Accuracy: 81.32 %, Test Accuracy: 81.42 %
Epoch 13, Train Accuracy: 83.28 %, Test Accuracy: 82.21 %
Epoch 14, Train Accuracy: 84.73 %, Test Accuracy: 83.80 %
Epoch 15, Train Accuracy: 86.11 %, Test Accuracy: 84.78 %
Epoch 16, Train Accuracy: 87.09 %, Test Accuracy: 85.08 %
Epoch 17, Train Accuracy: 87.73 %, Test Accuracy: 84.74 %
Epoch 18, Train Accuracy: 88.44 %, Test Accuracy: 84.42 %
Epoch 19, Train Accuracy: 89.12 %, Test Accuracy: 86.38 %
Epoch 20, Train Accuracy: 89.47 %, Test Accuracy: 86.96 %
Epoch 21, Train Accuracy: 90.44 %, Test Accuracy: 88.17 %
Epoch 22, Train Accuracy: 91.03 %, Test Accuracy: 88.42 %
