NODE=[HOST_e223b82d71] | JOB=a2g3-1e3-r0p1-s1 4885982
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --NN-name ResNet50 --alpha0 1e-3 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/a2g3 --run-name a2g3-1e3-r0p1-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.1 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 17.25 %, Test Accuracy: 23.22 %
Epoch 1, Train Accuracy: 27.21 %, Test Accuracy: 32.66 %
Epoch 2, Train Accuracy: 34.16 %, Test Accuracy: 37.47 %
Epoch 3, Train Accuracy: 40.07 %, Test Accuracy: 43.89 %
Epoch 4, Train Accuracy: 46.00 %, Test Accuracy: 46.56 %
Epoch 5, Train Accuracy: 51.72 %, Test Accuracy: 54.72 %
Epoch 6, Train Accuracy: 57.56 %, Test Accuracy: 59.71 %
Epoch 7, Train Accuracy: 63.47 %, Test Accuracy: 62.47 %
Epoch 8, Train Accuracy: 68.28 %, Test Accuracy: 68.09 %
Epoch 9, Train Accuracy: 73.55 %, Test Accuracy: 75.23 %
Epoch 10, Train Accuracy: 77.04 %, Test Accuracy: 77.82 %
Epoch 11, Train Accuracy: 80.12 %, Test Accuracy: 79.43 %
Epoch 12, Train Accuracy: 82.50 %, Test Accuracy: 81.40 %
Epoch 13, Train Accuracy: 84.70 %, Test Accuracy: 84.64 %
Epoch 14, Train Accuracy: 86.09 %, Test Accuracy: 85.23 %
Epoch 15, Train Accuracy: 87.41 %, Test Accuracy: 85.92 %
Epoch 16, Train Accuracy: 88.87 %, Test Accuracy: 86.33 %
Epoch 17, Train Accuracy: 89.51 %, Test Accuracy: 86.64 %
