NODE=[HOST_bcfd0fc19c] | JOB=a2g3-1e6-r0p1-s2 4885965
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --NN-name ResNet50 --alpha0 1e-6 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/a2g3 --run-name a2g3-1e6-r0p1-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.1 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.14 %, Test Accuracy: 9.20 %
Epoch 1, Train Accuracy: 9.25 %, Test Accuracy: 9.72 %
Epoch 2, Train Accuracy: 9.14 %, Test Accuracy: 9.78 %
Epoch 3, Train Accuracy: 9.48 %, Test Accuracy: 9.82 %
Epoch 4, Train Accuracy: 9.56 %, Test Accuracy: 9.89 %
Epoch 5, Train Accuracy: 9.76 %, Test Accuracy: 10.01 %
Epoch 6, Train Accuracy: 10.37 %, Test Accuracy: 10.36 %
Epoch 7, Train Accuracy: 10.96 %, Test Accuracy: 10.42 %
Epoch 8, Train Accuracy: 11.68 %, Test Accuracy: 11.47 %
Epoch 9, Train Accuracy: 12.60 %, Test Accuracy: 11.78 %
Epoch 10, Train Accuracy: 13.24 %, Test Accuracy: 12.19 %
Epoch 11, Train Accuracy: 13.69 %, Test Accuracy: 12.46 %
Epoch 12, Train Accuracy: 14.18 %, Test Accuracy: 12.46 %
Epoch 13, Train Accuracy: 15.05 %, Test Accuracy: 13.03 %
Epoch 14, Train Accuracy: 15.89 %, Test Accuracy: 13.39 %
Epoch 15, Train Accuracy: 16.75 %, Test Accuracy: 14.16 %
Epoch 16, Train Accuracy: 17.71 %, Test Accuracy: 14.80 %
Epoch 17, Train Accuracy: 19.41 %, Test Accuracy: 18.74 %
Epoch 18, Train Accuracy: 22.16 %, Test Accuracy: 22.48 %
Epoch 19, Train Accuracy: 25.21 %, Test Accuracy: 26.37 %
Epoch 20, Train Accuracy: 27.54 %, Test Accuracy: 28.38 %
Epoch 21, Train Accuracy: 31.13 %, Test Accuracy: 33.06 %
Epoch 22, Train Accuracy: 35.17 %, Test Accuracy: 38.20 %
Epoch 23, Train Accuracy: 39.06 %, Test Accuracy: 42.78 %
Epoch 24, Train Accuracy: 43.53 %, Test Accuracy: 47.57 %
Epoch 25, Train Accuracy: 48.61 %, Test Accuracy: 52.01 %
