NODE=[HOST_f0845cc956] | JOB=a2g3-1e6-r0p2-s0 4885966
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --num-epochs 100 --NN-name ResNet50 --alpha0 1e-6 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/a2g3 --run-name a2g3-1e6-r0p2-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.2 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.81 %, Test Accuracy: 9.55 %
Epoch 1, Train Accuracy: 9.60 %, Test Accuracy: 9.55 %
Epoch 2, Train Accuracy: 9.54 %, Test Accuracy: 9.55 %
Epoch 3, Train Accuracy: 9.37 %, Test Accuracy: 9.50 %
Epoch 4, Train Accuracy: 9.70 %, Test Accuracy: 9.62 %
Epoch 5, Train Accuracy: 10.09 %, Test Accuracy: 10.33 %
Epoch 6, Train Accuracy: 10.99 %, Test Accuracy: 11.04 %
Epoch 7, Train Accuracy: 12.14 %, Test Accuracy: 12.57 %
Epoch 8, Train Accuracy: 13.24 %, Test Accuracy: 13.41 %
Epoch 9, Train Accuracy: 13.87 %, Test Accuracy: 13.70 %
Epoch 10, Train Accuracy: 14.30 %, Test Accuracy: 13.63 %
Epoch 11, Train Accuracy: 14.90 %, Test Accuracy: 13.25 %
Epoch 12, Train Accuracy: 15.14 %, Test Accuracy: 14.14 %
Epoch 13, Train Accuracy: 16.05 %, Test Accuracy: 14.88 %
Epoch 14, Train Accuracy: 17.09 %, Test Accuracy: 16.00 %
Epoch 15, Train Accuracy: 17.81 %, Test Accuracy: 17.30 %
Epoch 16, Train Accuracy: 19.49 %, Test Accuracy: 20.39 %
Epoch 17, Train Accuracy: 22.02 %, Test Accuracy: 24.63 %
Epoch 18, Train Accuracy: 25.89 %, Test Accuracy: 27.89 %
Epoch 19, Train Accuracy: 28.66 %, Test Accuracy: 30.01 %
Epoch 20, Train Accuracy: 31.53 %, Test Accuracy: 33.03 %
Epoch 21, Train Accuracy: 35.13 %, Test Accuracy: 38.00 %
Epoch 22, Train Accuracy: 39.32 %, Test Accuracy: 43.27 %
Epoch 23, Train Accuracy: 44.11 %, Test Accuracy: 48.00 %
Epoch 24, Train Accuracy: 49.32 %, Test Accuracy: 51.97 %
Epoch 25, Train Accuracy: 53.89 %, Test Accuracy: 57.82 %
Epoch 26, Train Accuracy: 58.46 %, Test Accuracy: 60.01 %
Epoch 27, Train Accuracy: 63.20 %, Test Accuracy: 66.06 %
Epoch 28, Train Accuracy: 68.08 %, Test Accuracy: 69.33 %
Epoch 29, Train Accuracy: 71.67 %, Test Accuracy: 72.82 %
Epoch 30, Train Accuracy: 75.37 %, Test Accuracy: 74.99 %
Epoch 31, Train Accuracy: 77.67 %, Test Accuracy: 77.79 %
Epoch 32, Train Accuracy: 80.22 %, Test Accuracy: 78.85 %
Epoch 33, Train Accuracy: 81.88 %, Test Accuracy: 79.62 %
Epoch 34, Train Accuracy: 83.40 %, Test Accuracy: 81.42 %
