NODE=[HOST_f0845cc956] | JOB=ac-r002-s2 4687210
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/ac --run-name ac-r002-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.02 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.07 %, Test Accuracy: 30.90 %
Epoch 1, Train Accuracy: 36.60 %, Test Accuracy: 40.52 %
Epoch 2, Train Accuracy: 44.42 %, Test Accuracy: 49.03 %
Epoch 3, Train Accuracy: 51.08 %, Test Accuracy: 55.60 %
Epoch 4, Train Accuracy: 56.89 %, Test Accuracy: 57.90 %
Epoch 5, Train Accuracy: 61.69 %, Test Accuracy: 60.83 %
Epoch 6, Train Accuracy: 66.03 %, Test Accuracy: 65.61 %
Epoch 7, Train Accuracy: 69.58 %, Test Accuracy: 71.30 %
Epoch 8, Train Accuracy: 73.03 %, Test Accuracy: 72.03 %
Epoch 9, Train Accuracy: 75.52 %, Test Accuracy: 72.25 %
Epoch 10, Train Accuracy: 76.57 %, Test Accuracy: 75.13 %
Epoch 11, Train Accuracy: 78.69 %, Test Accuracy: 77.43 %
Epoch 12, Train Accuracy: 79.59 %, Test Accuracy: 78.32 %
Epoch 13, Train Accuracy: 80.64 %, Test Accuracy: 79.41 %
Epoch 14, Train Accuracy: 81.63 %, Test Accuracy: 81.06 %
Epoch 15, Train Accuracy: 82.88 %, Test Accuracy: 79.51 %
