NODE=[HOST_af5f3a3791] | JOB=ac-r003-s3 4687182
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 3 --save-directory cluster/Account1/metaopt/runs/ac --run-name ac-r003-s3
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.03 COS_TOTAL=default COS_WARMUP=default
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.15 %, Test Accuracy: 31.89 %
Epoch 1, Train Accuracy: 36.57 %, Test Accuracy: 42.56 %
Epoch 2, Train Accuracy: 43.80 %, Test Accuracy: 48.64 %
Epoch 3, Train Accuracy: 49.60 %, Test Accuracy: 52.84 %
Epoch 4, Train Accuracy: 56.17 %, Test Accuracy: 58.52 %
Epoch 5, Train Accuracy: 61.56 %, Test Accuracy: 61.98 %
Epoch 6, Train Accuracy: 66.14 %, Test Accuracy: 64.62 %
Epoch 7, Train Accuracy: 70.34 %, Test Accuracy: 68.26 %
Epoch 8, Train Accuracy: 72.62 %, Test Accuracy: 71.89 %
Epoch 9, Train Accuracy: 75.42 %, Test Accuracy: 75.85 %
Epoch 10, Train Accuracy: 76.96 %, Test Accuracy: 74.38 %
Epoch 11, Train Accuracy: 78.61 %, Test Accuracy: 78.69 %
Epoch 12, Train Accuracy: 79.82 %, Test Accuracy: 76.64 %
Epoch 13, Train Accuracy: 80.35 %, Test Accuracy: 79.38 %
Epoch 14, Train Accuracy: 82.17 %, Test Accuracy: 78.06 %
Epoch 15, Train Accuracy: 83.21 %, Test Accuracy: 82.89 %
Epoch 16, Train Accuracy: 84.48 %, Test Accuracy: 85.68 %
