NODE=[HOST_03eb56b6d1] | JOB=ac-r008-s0 4687204
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/ac --run-name ac-r008-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.08 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.58 %, Test Accuracy: 31.86 %
Epoch 1, Train Accuracy: 35.78 %, Test Accuracy: 40.50 %
Epoch 2, Train Accuracy: 43.09 %, Test Accuracy: 47.72 %
Epoch 3, Train Accuracy: 50.94 %, Test Accuracy: 55.05 %
Epoch 4, Train Accuracy: 57.79 %, Test Accuracy: 60.63 %
Epoch 5, Train Accuracy: 63.25 %, Test Accuracy: 66.36 %
Epoch 6, Train Accuracy: 68.78 %, Test Accuracy: 71.08 %
Epoch 7, Train Accuracy: 72.64 %, Test Accuracy: 71.07 %
Epoch 8, Train Accuracy: 75.19 %, Test Accuracy: 75.44 %
Epoch 9, Train Accuracy: 77.69 %, Test Accuracy: 76.14 %
Epoch 10, Train Accuracy: 78.79 %, Test Accuracy: 76.33 %
Epoch 11, Train Accuracy: 80.25 %, Test Accuracy: 79.47 %
Epoch 12, Train Accuracy: 81.77 %, Test Accuracy: 80.42 %
Epoch 13, Train Accuracy: 82.91 %, Test Accuracy: 79.29 %
Epoch 14, Train Accuracy: 83.98 %, Test Accuracy: 81.81 %
Epoch 15, Train Accuracy: 85.01 %, Test Accuracy: 83.19 %
