NODE=[HOST_2f2f29d9e1] | JOB=ac-r008-s4 4687220
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 4 --save-directory cluster/Account1/metaopt/runs/ac --run-name ac-r008-s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.08 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.88 %, Test Accuracy: 30.90 %
Epoch 1, Train Accuracy: 36.99 %, Test Accuracy: 41.71 %
Epoch 2, Train Accuracy: 44.46 %, Test Accuracy: 48.39 %
Epoch 3, Train Accuracy: 51.31 %, Test Accuracy: 54.05 %
Epoch 4, Train Accuracy: 57.95 %, Test Accuracy: 60.55 %
Epoch 5, Train Accuracy: 63.11 %, Test Accuracy: 63.57 %
Epoch 6, Train Accuracy: 67.97 %, Test Accuracy: 66.24 %
Epoch 7, Train Accuracy: 71.87 %, Test Accuracy: 68.34 %
Epoch 8, Train Accuracy: 74.85 %, Test Accuracy: 74.11 %
Epoch 9, Train Accuracy: 76.75 %, Test Accuracy: 74.41 %
Epoch 10, Train Accuracy: 78.68 %, Test Accuracy: 75.73 %
Epoch 11, Train Accuracy: 79.87 %, Test Accuracy: 78.38 %
Epoch 12, Train Accuracy: 81.79 %, Test Accuracy: 78.98 %
Epoch 13, Train Accuracy: 82.12 %, Test Accuracy: 82.38 %
Epoch 14, Train Accuracy: 83.79 %, Test Accuracy: 81.69 %
Epoch 15, Train Accuracy: 84.77 %, Test Accuracy: 83.39 %
Epoch 16, Train Accuracy: 86.05 %, Test Accuracy: 85.11 %
Epoch 17, Train Accuracy: 87.83 %, Test Accuracy: 87.14 %
Epoch 18, Train Accuracy: 89.44 %, Test Accuracy: 89.00 %
Epoch 19, Train Accuracy: 90.99 %, Test Accuracy: 88.77 %
Epoch 20, Train Accuracy: 92.02 %, Test Accuracy: 90.11 %
Epoch 21, Train Accuracy: 92.90 %, Test Accuracy: 90.89 %
Epoch 22, Train Accuracy: 93.87 %, Test Accuracy: 91.43 %
Epoch 23, Train Accuracy: 94.18 %, Test Accuracy: 90.49 %
Epoch 24, Train Accuracy: 94.68 %, Test Accuracy: 91.79 %
