NODE=[HOST_03eb56b6d1] | JOB=ad-l-r003-s0 4681039 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/addit --run-name ad-l-r003_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.03
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.86 %
Epoch 1, Train Accuracy: 12.75 %, Test Accuracy: 12.90 %
Epoch 2, Train Accuracy: 13.00 %, Test Accuracy: 13.13 %
Epoch 3, Train Accuracy: 13.40 %, Test Accuracy: 13.37 %
Epoch 4, Train Accuracy: 13.53 %, Test Accuracy: 13.53 %
Epoch 5, Train Accuracy: 14.03 %, Test Accuracy: 14.06 %
Epoch 6, Train Accuracy: 14.88 %, Test Accuracy: 14.65 %
Epoch 7, Train Accuracy: 16.32 %, Test Accuracy: 15.76 %
Epoch 8, Train Accuracy: 18.05 %, Test Accuracy: 17.83 %
Epoch 9, Train Accuracy: 19.64 %, Test Accuracy: 19.74 %
Epoch 10, Train Accuracy: 22.04 %, Test Accuracy: 23.32 %
Epoch 11, Train Accuracy: 24.76 %, Test Accuracy: 25.53 %
Epoch 12, Train Accuracy: 27.69 %, Test Accuracy: 28.55 %
Epoch 13, Train Accuracy: 30.31 %, Test Accuracy: 32.72 %
Epoch 14, Train Accuracy: 33.27 %, Test Accuracy: 35.60 %
Epoch 15, Train Accuracy: 35.94 %, Test Accuracy: 38.19 %
Epoch 16, Train Accuracy: 39.06 %, Test Accuracy: 41.64 %
Epoch 17, Train Accuracy: 42.59 %, Test Accuracy: 45.57 %
Epoch 18, Train Accuracy: 47.32 %, Test Accuracy: 49.91 %
Epoch 19, Train Accuracy: 52.15 %, Test Accuracy: 54.28 %
Epoch 20, Train Accuracy: 56.77 %, Test Accuracy: 60.76 %
Epoch 21, Train Accuracy: 61.54 %, Test Accuracy: 62.99 %
Epoch 22, Train Accuracy: 65.89 %, Test Accuracy: 66.74 %
Epoch 23, Train Accuracy: 69.40 %, Test Accuracy: 70.14 %
Epoch 24, Train Accuracy: 72.75 %, Test Accuracy: 72.95 %
Epoch 25, Train Accuracy: 75.79 %, Test Accuracy: 74.36 %
Epoch 26, Train Accuracy: 77.41 %, Test Accuracy: 76.33 %
Epoch 27, Train Accuracy: 78.87 %, Test Accuracy: 77.93 %
Epoch 28, Train Accuracy: 80.37 %, Test Accuracy: 80.16 %
Epoch 29, Train Accuracy: 81.17 %, Test Accuracy: 80.69 %
Epoch 30, Train Accuracy: 82.10 %, Test Accuracy: 76.76 %
Epoch 31, Train Accuracy: 82.88 %, Test Accuracy: 81.36 %
Epoch 32, Train Accuracy: 83.35 %, Test Accuracy: 72.44 %
Epoch 33, Train Accuracy: 84.14 %, Test Accuracy: 82.37 %
Epoch 34, Train Accuracy: 84.91 %, Test Accuracy: 83.26 %
Epoch 35, Train Accuracy: 85.73 %, Test Accuracy: 81.21 %
Epoch 36, Train Accuracy: 87.07 %, Test Accuracy: 85.18 %
Epoch 37, Train Accuracy: 87.37 %, Test Accuracy: 86.06 %
Epoch 38, Train Accuracy: 89.09 %, Test Accuracy: 88.28 %
Epoch 39, Train Accuracy: 90.88 %, Test Accuracy: 88.88 %
Epoch 40, Train Accuracy: 92.27 %, Test Accuracy: 90.28 %
Epoch 41, Train Accuracy: 93.05 %, Test Accuracy: 91.24 %
Epoch 42, Train Accuracy: 93.98 %, Test Accuracy: 91.35 %
Epoch 43, Train Accuracy: 94.55 %, Test Accuracy: 91.76 %
Epoch 44, Train Accuracy: 94.99 %, Test Accuracy: 92.03 %
Epoch 45, Train Accuracy: 95.37 %, Test Accuracy: 91.81 %
Epoch 46, Train Accuracy: 95.62 %, Test Accuracy: 92.34 %
Epoch 47, Train Accuracy: 96.00 %, Test Accuracy: 92.37 %
Epoch 48, Train Accuracy: 96.24 %, Test Accuracy: 92.49 %
Epoch 49, Train Accuracy: 96.33 %, Test Accuracy: 92.37 %
Epoch 50, Train Accuracy: 96.34 %, Test Accuracy: 92.10 %
Epoch 51, Train Accuracy: 96.66 %, Test Accuracy: 92.47 %
Epoch 52, Train Accuracy: 96.90 %, Test Accuracy: 92.55 %
Epoch 53, Train Accuracy: 96.93 %, Test Accuracy: 92.59 %
Epoch 54, Train Accuracy: 97.08 %, Test Accuracy: 92.59 %
Epoch 55, Train Accuracy: 97.24 %, Test Accuracy: 92.78 %
Epoch 56, Train Accuracy: 97.31 %, Test Accuracy: 92.60 %
Epoch 57, Train Accuracy: 97.34 %, Test Accuracy: 92.57 %
Epoch 58, Train Accuracy: 97.41 %, Test Accuracy: 92.31 %
Epoch 59, Train Accuracy: 97.42 %, Test Accuracy: 92.63 %
Epoch 60, Train Accuracy: 97.51 %, Test Accuracy: 92.47 %
Epoch 61, Train Accuracy: 97.63 %, Test Accuracy: 92.49 %
Epoch 62, Train Accuracy: 97.79 %, Test Accuracy: 92.26 %
Epoch 63, Train Accuracy: 97.81 %, Test Accuracy: 92.54 %
Epoch 64, Train Accuracy: 97.94 %, Test Accuracy: 92.46 %
Epoch 65, Train Accuracy: 97.93 %, Test Accuracy: 92.84 %
Epoch 66, Train Accuracy: 97.96 %, Test Accuracy: 92.69 %
Epoch 67, Train Accuracy: 98.14 %, Test Accuracy: 92.89 %
Epoch 68, Train Accuracy: 98.08 %, Test Accuracy: 92.58 %
Epoch 69, Train Accuracy: 98.12 %, Test Accuracy: 92.23 %
Epoch 70, Train Accuracy: 98.18 %, Test Accuracy: 92.65 %
Epoch 71, Train Accuracy: 98.34 %, Test Accuracy: 92.59 %
Epoch 72, Train Accuracy: 98.30 %, Test Accuracy: 92.30 %
