NODE=[HOST_7b4dd78541] | JOB=ad-l-r003-s4 4681153 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 4 --save-directory cluster/Account2/metaopt/runs/addit --run-name ad-l-r003_s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.03
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 11.53 %, Test Accuracy: 11.74 %
Epoch 1, Train Accuracy: 11.67 %, Test Accuracy: 12.10 %
Epoch 2, Train Accuracy: 12.16 %, Test Accuracy: 12.41 %
Epoch 3, Train Accuracy: 12.88 %, Test Accuracy: 12.72 %
Epoch 4, Train Accuracy: 13.23 %, Test Accuracy: 13.13 %
Epoch 5, Train Accuracy: 14.09 %, Test Accuracy: 13.83 %
Epoch 6, Train Accuracy: 15.28 %, Test Accuracy: 14.98 %
Epoch 7, Train Accuracy: 16.42 %, Test Accuracy: 16.40 %
Epoch 8, Train Accuracy: 18.24 %, Test Accuracy: 18.45 %
Epoch 9, Train Accuracy: 20.25 %, Test Accuracy: 20.53 %
Epoch 10, Train Accuracy: 22.19 %, Test Accuracy: 23.04 %
Epoch 11, Train Accuracy: 24.55 %, Test Accuracy: 25.20 %
Epoch 12, Train Accuracy: 27.54 %, Test Accuracy: 28.01 %
Epoch 13, Train Accuracy: 30.55 %, Test Accuracy: 32.55 %
Epoch 14, Train Accuracy: 34.20 %, Test Accuracy: 36.29 %
Epoch 15, Train Accuracy: 37.26 %, Test Accuracy: 39.56 %
Epoch 16, Train Accuracy: 40.60 %, Test Accuracy: 43.10 %
Epoch 17, Train Accuracy: 44.46 %, Test Accuracy: 47.91 %
Epoch 18, Train Accuracy: 48.43 %, Test Accuracy: 49.68 %
Epoch 19, Train Accuracy: 53.19 %, Test Accuracy: 56.51 %
Epoch 20, Train Accuracy: 57.42 %, Test Accuracy: 58.11 %
Epoch 21, Train Accuracy: 61.93 %, Test Accuracy: 62.80 %
Epoch 22, Train Accuracy: 65.60 %, Test Accuracy: 66.97 %
Epoch 23, Train Accuracy: 69.35 %, Test Accuracy: 67.43 %
Epoch 24, Train Accuracy: 72.56 %, Test Accuracy: 72.51 %
