NODE=[HOST_b0a55dfb8c] | JOB=ad-l-r01-s4 4681154 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 4 --save-directory cluster/Account2/metaopt/runs/addit --run-name ad-l-r01_s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 11.52 %, Test Accuracy: 11.73 %
Epoch 1, Train Accuracy: 11.66 %, Test Accuracy: 12.10 %
Epoch 2, Train Accuracy: 12.17 %, Test Accuracy: 12.44 %
Epoch 3, Train Accuracy: 12.90 %, Test Accuracy: 12.71 %
Epoch 4, Train Accuracy: 13.24 %, Test Accuracy: 13.19 %
Epoch 5, Train Accuracy: 14.13 %, Test Accuracy: 13.86 %
Epoch 6, Train Accuracy: 15.34 %, Test Accuracy: 14.94 %
Epoch 7, Train Accuracy: 16.49 %, Test Accuracy: 16.42 %
Epoch 8, Train Accuracy: 18.38 %, Test Accuracy: 18.70 %
Epoch 9, Train Accuracy: 20.52 %, Test Accuracy: 20.63 %
Epoch 10, Train Accuracy: 22.42 %, Test Accuracy: 23.25 %
Epoch 11, Train Accuracy: 24.87 %, Test Accuracy: 25.60 %
Epoch 12, Train Accuracy: 27.87 %, Test Accuracy: 28.43 %
Epoch 13, Train Accuracy: 31.17 %, Test Accuracy: 33.37 %
Epoch 14, Train Accuracy: 34.98 %, Test Accuracy: 37.06 %
Epoch 15, Train Accuracy: 37.99 %, Test Accuracy: 40.46 %
Epoch 16, Train Accuracy: 41.41 %, Test Accuracy: 44.06 %
