NODE=[HOST_8d6ba568b8] | JOB=bd7-node-c2-s0 4702611 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 80 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account2/metaopt/runs/bd7 --run-name bd7-node-c2-s0
ENV: AUGMENT=1 BETA_CLIP=-30:2.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/bd7/probe_node_c2_s0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.52 %, Test Accuracy: 32.01 %
Epoch 1, Train Accuracy: 36.30 %, Test Accuracy: 41.24 %
Epoch 2, Train Accuracy: 44.00 %, Test Accuracy: 48.70 %
Epoch 3, Train Accuracy: 52.51 %, Test Accuracy: 55.11 %
Epoch 4, Train Accuracy: 59.34 %, Test Accuracy: 62.13 %
Epoch 5, Train Accuracy: 65.05 %, Test Accuracy: 66.84 %
Epoch 6, Train Accuracy: 69.38 %, Test Accuracy: 71.24 %
Epoch 7, Train Accuracy: 73.70 %, Test Accuracy: 73.43 %
Epoch 8, Train Accuracy: 76.96 %, Test Accuracy: 75.33 %
Epoch 9, Train Accuracy: 79.75 %, Test Accuracy: 80.07 %
Epoch 10, Train Accuracy: 81.36 %, Test Accuracy: 81.10 %
Epoch 11, Train Accuracy: 83.02 %, Test Accuracy: 82.68 %
Epoch 12, Train Accuracy: 84.69 %, Test Accuracy: 83.20 %
Epoch 13, Train Accuracy: 85.57 %, Test Accuracy: 83.67 %
Epoch 14, Train Accuracy: 87.02 %, Test Accuracy: 84.53 %
Epoch 15, Train Accuracy: 87.55 %, Test Accuracy: 85.16 %
Epoch 16, Train Accuracy: 88.82 %, Test Accuracy: 87.25 %
Epoch 17, Train Accuracy: 89.43 %, Test Accuracy: 86.96 %
Epoch 18, Train Accuracy: 90.21 %, Test Accuracy: 87.29 %
Epoch 19, Train Accuracy: 90.60 %, Test Accuracy: 87.16 %
Epoch 20, Train Accuracy: 91.54 %, Test Accuracy: 88.49 %
Epoch 21, Train Accuracy: 91.92 %, Test Accuracy: 88.12 %
Epoch 22, Train Accuracy: 92.68 %, Test Accuracy: 88.92 %
Epoch 23, Train Accuracy: 93.23 %, Test Accuracy: 88.51 %
Epoch 24, Train Accuracy: 93.48 %, Test Accuracy: 88.88 %
Epoch 25, Train Accuracy: 93.85 %, Test Accuracy: 89.63 %
Epoch 26, Train Accuracy: 94.49 %, Test Accuracy: 90.00 %
Epoch 27, Train Accuracy: 94.55 %, Test Accuracy: 90.06 %
Epoch 28, Train Accuracy: 95.11 %, Test Accuracy: 89.49 %
Epoch 29, Train Accuracy: 95.18 %, Test Accuracy: 90.07 %
Epoch 30, Train Accuracy: 95.88 %, Test Accuracy: 89.97 %
Epoch 31, Train Accuracy: 96.29 %, Test Accuracy: 90.59 %
