NODE=[HOST_f0845cc956] | JOB=bf8-lay-f60-s1 4704615 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 80 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/bf8 --run-name bf8-lay-f60-s1
ENV: AUGMENT=1 BETA_CLIP=-60:2.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/bf8/probe_lay_f60_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.67 %, Test Accuracy: 31.59 %
Epoch 1, Train Accuracy: 38.22 %, Test Accuracy: 44.75 %
Epoch 2, Train Accuracy: 47.47 %, Test Accuracy: 51.30 %
Epoch 3, Train Accuracy: 55.40 %, Test Accuracy: 57.48 %
Epoch 4, Train Accuracy: 62.55 %, Test Accuracy: 63.46 %
Epoch 5, Train Accuracy: 69.09 %, Test Accuracy: 72.10 %
Epoch 6, Train Accuracy: 73.54 %, Test Accuracy: 74.31 %
Epoch 7, Train Accuracy: 77.69 %, Test Accuracy: 78.69 %
Epoch 8, Train Accuracy: 79.99 %, Test Accuracy: 79.70 %
Epoch 9, Train Accuracy: 82.14 %, Test Accuracy: 79.67 %
Epoch 10, Train Accuracy: 83.42 %, Test Accuracy: 82.88 %
Epoch 11, Train Accuracy: 84.88 %, Test Accuracy: 83.77 %
Epoch 12, Train Accuracy: 86.34 %, Test Accuracy: 84.46 %
Epoch 13, Train Accuracy: 87.15 %, Test Accuracy: 84.32 %
Epoch 14, Train Accuracy: 88.25 %, Test Accuracy: 85.69 %
Epoch 15, Train Accuracy: 88.64 %, Test Accuracy: 86.55 %
Epoch 16, Train Accuracy: 89.95 %, Test Accuracy: 86.36 %
Epoch 17, Train Accuracy: 90.32 %, Test Accuracy: 87.01 %
Epoch 18, Train Accuracy: 90.73 %, Test Accuracy: 87.21 %
