NODE=[HOST_2f2f29d9e1] | JOB=bf8-lay-f90-s0 4704620 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 80 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/bf8 --run-name bf8-lay-f90-s0
ENV: AUGMENT=1 BETA_CLIP=-90:2.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/bf8/probe_lay_f90_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.84 %, Test Accuracy: 32.43 %
Epoch 1, Train Accuracy: 36.91 %, Test Accuracy: 41.85 %
Epoch 2, Train Accuracy: 46.13 %, Test Accuracy: 52.62 %
Epoch 3, Train Accuracy: 55.19 %, Test Accuracy: 59.17 %
Epoch 4, Train Accuracy: 63.02 %, Test Accuracy: 66.38 %
Epoch 5, Train Accuracy: 69.99 %, Test Accuracy: 71.82 %
Epoch 6, Train Accuracy: 74.74 %, Test Accuracy: 75.58 %
Epoch 7, Train Accuracy: 78.35 %, Test Accuracy: 78.69 %
Epoch 8, Train Accuracy: 80.45 %, Test Accuracy: 80.32 %
Epoch 9, Train Accuracy: 82.65 %, Test Accuracy: 83.02 %
Epoch 10, Train Accuracy: 84.20 %, Test Accuracy: 82.69 %
Epoch 11, Train Accuracy: 85.43 %, Test Accuracy: 84.95 %
Epoch 12, Train Accuracy: 86.38 %, Test Accuracy: 84.95 %
Epoch 13, Train Accuracy: 87.49 %, Test Accuracy: 85.24 %
Epoch 14, Train Accuracy: 88.41 %, Test Accuracy: 86.53 %
Epoch 15, Train Accuracy: 89.25 %, Test Accuracy: 86.01 %
Epoch 16, Train Accuracy: 90.05 %, Test Accuracy: 87.07 %
Epoch 17, Train Accuracy: 90.27 %, Test Accuracy: 87.73 %
Epoch 18, Train Accuracy: 91.23 %, Test Accuracy: 87.33 %
Epoch 19, Train Accuracy: 91.96 %, Test Accuracy: 87.62 %
Epoch 20, Train Accuracy: 92.48 %, Test Accuracy: 87.56 %
Epoch 21, Train Accuracy: 92.66 %, Test Accuracy: 86.87 %
Epoch 22, Train Accuracy: 93.16 %, Test Accuracy: 88.57 %
Epoch 23, Train Accuracy: 93.54 %, Test Accuracy: 88.29 %
Epoch 24, Train Accuracy: 94.10 %, Test Accuracy: 88.61 %
Epoch 25, Train Accuracy: 94.49 %, Test Accuracy: 88.75 %
Epoch 26, Train Accuracy: 95.04 %, Test Accuracy: 89.66 %
Epoch 27, Train Accuracy: 94.89 %, Test Accuracy: 89.01 %
Epoch 28, Train Accuracy: 95.45 %, Test Accuracy: 88.90 %
Epoch 29, Train Accuracy: 95.83 %, Test Accuracy: 89.76 %
Epoch 30, Train Accuracy: 96.02 %, Test Accuracy: 89.32 %
Epoch 31, Train Accuracy: 96.31 %, Test Accuracy: 89.11 %
Epoch 32, Train Accuracy: 96.31 %, Test Accuracy: 89.20 %
Epoch 33, Train Accuracy: 96.66 %, Test Accuracy: 89.90 %
Epoch 34, Train Accuracy: 96.96 %, Test Accuracy: 89.79 %
Epoch 35, Train Accuracy: 97.26 %, Test Accuracy: 89.37 %
Epoch 36, Train Accuracy: 97.05 %, Test Accuracy: 89.73 %
Epoch 37, Train Accuracy: 97.57 %, Test Accuracy: 90.01 %
Epoch 38, Train Accuracy: 97.75 %, Test Accuracy: 89.51 %
Epoch 39, Train Accuracy: 97.61 %, Test Accuracy: 90.25 %
Epoch 40, Train Accuracy: 98.04 %, Test Accuracy: 89.82 %
Epoch 41, Train Accuracy: 98.15 %, Test Accuracy: 89.39 %
Epoch 42, Train Accuracy: 98.24 %, Test Accuracy: 90.00 %
Epoch 43, Train Accuracy: 98.29 %, Test Accuracy: 90.20 %
Epoch 44, Train Accuracy: 98.31 %, Test Accuracy: 90.41 %
Epoch 45, Train Accuracy: 98.25 %, Test Accuracy: 90.33 %
Epoch 46, Train Accuracy: 98.51 %, Test Accuracy: 90.10 %
Epoch 47, Train Accuracy: 98.64 %, Test Accuracy: 90.04 %
Epoch 48, Train Accuracy: 98.76 %, Test Accuracy: 90.58 %
Epoch 49, Train Accuracy: 98.80 %, Test Accuracy: 90.08 %
Epoch 50, Train Accuracy: 98.65 %, Test Accuracy: 90.17 %
Epoch 51, Train Accuracy: 98.94 %, Test Accuracy: 90.64 %
Epoch 52, Train Accuracy: 99.11 %, Test Accuracy: 90.34 %
Epoch 53, Train Accuracy: 99.03 %, Test Accuracy: 90.26 %
Epoch 54, Train Accuracy: 98.95 %, Test Accuracy: 90.62 %
Epoch 55, Train Accuracy: 99.19 %, Test Accuracy: 90.69 %
Epoch 56, Train Accuracy: 99.27 %, Test Accuracy: 90.68 %
Epoch 57, Train Accuracy: 99.29 %, Test Accuracy: 90.85 %
Epoch 58, Train Accuracy: 99.20 %, Test Accuracy: 90.03 %
Epoch 59, Train Accuracy: 99.18 %, Test Accuracy: 90.48 %
Epoch 60, Train Accuracy: 99.34 %, Test Accuracy: 90.50 %
Epoch 61, Train Accuracy: 99.38 %, Test Accuracy: 90.39 %
Epoch 62, Train Accuracy: 99.29 %, Test Accuracy: 90.29 %
Epoch 63, Train Accuracy: 99.43 %, Test Accuracy: 90.84 %
Epoch 64, Train Accuracy: 99.49 %, Test Accuracy: 91.08 %
Epoch 65, Train Accuracy: 99.58 %, Test Accuracy: 90.79 %
Epoch 66, Train Accuracy: 99.52 %, Test Accuracy: 90.49 %
Epoch 67, Train Accuracy: 99.45 %, Test Accuracy: 90.32 %
Epoch 68, Train Accuracy: 99.58 %, Test Accuracy: 90.84 %
Epoch 69, Train Accuracy: 99.59 %, Test Accuracy: 91.25 %
Epoch 70, Train Accuracy: 99.55 %, Test Accuracy: 90.81 %
Epoch 71, Train Accuracy: 99.62 %, Test Accuracy: 90.77 %
Epoch 72, Train Accuracy: 99.66 %, Test Accuracy: 90.97 %
Epoch 73, Train Accuracy: 99.66 %, Test Accuracy: 90.90 %
Epoch 74, Train Accuracy: 99.66 %, Test Accuracy: 91.02 %
Epoch 75, Train Accuracy: 99.69 %, Test Accuracy: 90.69 %
Epoch 76, Train Accuracy: 99.69 %, Test Accuracy: 90.81 %
Epoch 77, Train Accuracy: 99.67 %, Test Accuracy: 90.86 %
Epoch 78, Train Accuracy: 99.62 %, Test Accuracy: 90.92 %
Epoch 79, Train Accuracy: 99.70 %, Test Accuracy: 91.14 %
28  minutes
RUN_DONE
