NODE=[HOST_33a7663c70] | JOB=bg600-meta-s1 4683673
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --alpha0 1e-4 --stepsize-groups layerwise --num-epochs 600 --seed 1 --save-directory cluster/Account1/metaopt/runs/bg --run-name bg600_meta_s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06 COS_TOTAL=default COS_WARMUP=default
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 49.29 %, Test Accuracy: 60.42 %
Epoch 1, Train Accuracy: 67.35 %, Test Accuracy: 69.19 %
Epoch 2, Train Accuracy: 73.71 %, Test Accuracy: 65.47 %
Epoch 3, Train Accuracy: 77.21 %, Test Accuracy: 76.55 %
Epoch 4, Train Accuracy: 81.01 %, Test Accuracy: 82.14 %
Epoch 5, Train Accuracy: 84.27 %, Test Accuracy: 84.75 %
Epoch 6, Train Accuracy: 87.09 %, Test Accuracy: 84.30 %
Epoch 7, Train Accuracy: 89.07 %, Test Accuracy: 87.52 %
Epoch 8, Train Accuracy: 90.63 %, Test Accuracy: 87.92 %
Epoch 9, Train Accuracy: 91.91 %, Test Accuracy: 89.46 %
Epoch 10, Train Accuracy: 93.11 %, Test Accuracy: 89.66 %
Epoch 11, Train Accuracy: 93.98 %, Test Accuracy: 89.91 %
Epoch 12, Train Accuracy: 94.57 %, Test Accuracy: 90.97 %
Epoch 13, Train Accuracy: 95.39 %, Test Accuracy: 91.09 %
Epoch 14, Train Accuracy: 96.02 %, Test Accuracy: 90.83 %
Epoch 15, Train Accuracy: 96.49 %, Test Accuracy: 91.39 %
Epoch 16, Train Accuracy: 96.81 %, Test Accuracy: 91.33 %
Epoch 17, Train Accuracy: 97.24 %, Test Accuracy: 91.80 %
Epoch 18, Train Accuracy: 97.43 %, Test Accuracy: 91.04 %
Epoch 19, Train Accuracy: 97.72 %, Test Accuracy: 91.27 %
Epoch 20, Train Accuracy: 97.88 %, Test Accuracy: 90.83 %
Epoch 21, Train Accuracy: 98.16 %, Test Accuracy: 91.79 %
Epoch 22, Train Accuracy: 98.31 %, Test Accuracy: 91.93 %
Epoch 23, Train Accuracy: 98.52 %, Test Accuracy: 91.90 %
Epoch 24, Train Accuracy: 98.57 %, Test Accuracy: 91.90 %
Epoch 25, Train Accuracy: 98.68 %, Test Accuracy: 91.68 %
Epoch 26, Train Accuracy: 98.88 %, Test Accuracy: 91.84 %
Epoch 27, Train Accuracy: 98.83 %, Test Accuracy: 92.01 %
Epoch 28, Train Accuracy: 98.92 %, Test Accuracy: 92.10 %
Epoch 29, Train Accuracy: 98.95 %, Test Accuracy: 91.91 %
Epoch 30, Train Accuracy: 99.10 %, Test Accuracy: 92.37 %
Epoch 31, Train Accuracy: 99.20 %, Test Accuracy: 92.39 %
Epoch 32, Train Accuracy: 99.18 %, Test Accuracy: 92.29 %
Epoch 33, Train Accuracy: 99.34 %, Test Accuracy: 92.39 %
Epoch 34, Train Accuracy: 99.30 %, Test Accuracy: 92.28 %
Epoch 35, Train Accuracy: 99.31 %, Test Accuracy: 92.64 %
Epoch 36, Train Accuracy: 99.44 %, Test Accuracy: 92.30 %
Epoch 37, Train Accuracy: 99.44 %, Test Accuracy: 92.34 %
Epoch 38, Train Accuracy: 99.47 %, Test Accuracy: 92.11 %
Epoch 39, Train Accuracy: 99.40 %, Test Accuracy: 92.60 %
Epoch 40, Train Accuracy: 99.50 %, Test Accuracy: 92.15 %
Epoch 41, Train Accuracy: 99.56 %, Test Accuracy: 92.22 %
Epoch 42, Train Accuracy: 99.49 %, Test Accuracy: 92.61 %
Epoch 43, Train Accuracy: 99.58 %, Test Accuracy: 92.72 %
Epoch 44, Train Accuracy: 99.63 %, Test Accuracy: 92.62 %
Epoch 45, Train Accuracy: 99.70 %, Test Accuracy: 92.65 %
Epoch 46, Train Accuracy: 99.62 %, Test Accuracy: 92.72 %
Epoch 47, Train Accuracy: 99.67 %, Test Accuracy: 92.48 %
Epoch 48, Train Accuracy: 99.68 %, Test Accuracy: 92.50 %
Epoch 49, Train Accuracy: 99.70 %, Test Accuracy: 92.71 %
Epoch 50, Train Accuracy: 99.65 %, Test Accuracy: 92.77 %
Epoch 51, Train Accuracy: 99.71 %, Test Accuracy: 92.34 %
Epoch 52, Train Accuracy: 99.71 %, Test Accuracy: 92.73 %
Epoch 53, Train Accuracy: 99.75 %, Test Accuracy: 92.55 %
Epoch 54, Train Accuracy: 99.74 %, Test Accuracy: 92.64 %
Epoch 55, Train Accuracy: 99.69 %, Test Accuracy: 92.75 %
Epoch 56, Train Accuracy: 99.72 %, Test Accuracy: 92.78 %
Epoch 57, Train Accuracy: 99.79 %, Test Accuracy: 92.91 %
Epoch 58, Train Accuracy: 99.78 %, Test Accuracy: 92.77 %
Epoch 59, Train Accuracy: 99.79 %, Test Accuracy: 92.62 %
Epoch 60, Train Accuracy: 99.83 %, Test Accuracy: 92.65 %
Epoch 61, Train Accuracy: 99.78 %, Test Accuracy: 92.49 %
Epoch 62, Train Accuracy: 99.81 %, Test Accuracy: 92.70 %
Epoch 63, Train Accuracy: 99.81 %, Test Accuracy: 92.63 %
Epoch 64, Train Accuracy: 99.79 %, Test Accuracy: 92.74 %
Epoch 65, Train Accuracy: 99.77 %, Test Accuracy: 92.29 %
Epoch 66, Train Accuracy: 99.81 %, Test Accuracy: 92.60 %
Epoch 67, Train Accuracy: 99.79 %, Test Accuracy: 92.18 %
Epoch 68, Train Accuracy: 99.80 %, Test Accuracy: 92.57 %
Epoch 69, Train Accuracy: 99.85 %, Test Accuracy: 92.46 %
Epoch 70, Train Accuracy: 99.82 %, Test Accuracy: 92.90 %
Epoch 71, Train Accuracy: 99.83 %, Test Accuracy: 93.00 %
Epoch 72, Train Accuracy: 99.87 %, Test Accuracy: 92.55 %
Epoch 73, Train Accuracy: 99.88 %, Test Accuracy: 92.72 %
Epoch 74, Train Accuracy: 99.86 %, Test Accuracy: 92.72 %
Epoch 75, Train Accuracy: 99.85 %, Test Accuracy: 92.93 %
Epoch 76, Train Accuracy: 99.81 %, Test Accuracy: 92.91 %
Epoch 77, Train Accuracy: 99.85 %, Test Accuracy: 93.02 %
Epoch 78, Train Accuracy: 99.85 %, Test Accuracy: 93.02 %
Epoch 79, Train Accuracy: 99.85 %, Test Accuracy: 92.82 %
Epoch 80, Train Accuracy: 99.91 %, Test Accuracy: 92.85 %
Epoch 81, Train Accuracy: 99.87 %, Test Accuracy: 93.01 %
Epoch 82, Train Accuracy: 99.91 %, Test Accuracy: 92.77 %
Epoch 83, Train Accuracy: 99.85 %, Test Accuracy: 92.90 %
Epoch 84, Train Accuracy: 99.88 %, Test Accuracy: 92.70 %
Epoch 85, Train Accuracy: 99.87 %, Test Accuracy: 93.19 %
Epoch 86, Train Accuracy: 99.89 %, Test Accuracy: 92.98 %
Epoch 87, Train Accuracy: 99.92 %, Test Accuracy: 92.99 %
Epoch 88, Train Accuracy: 99.89 %, Test Accuracy: 92.90 %
Epoch 89, Train Accuracy: 99.88 %, Test Accuracy: 92.82 %
Epoch 90, Train Accuracy: 99.89 %, Test Accuracy: 92.92 %
Epoch 91, Train Accuracy: 99.90 %, Test Accuracy: 92.87 %
Epoch 92, Train Accuracy: 99.90 %, Test Accuracy: 93.13 %
Epoch 93, Train Accuracy: 99.94 %, Test Accuracy: 93.07 %
Epoch 94, Train Accuracy: 99.95 %, Test Accuracy: 92.94 %
Epoch 95, Train Accuracy: 99.89 %, Test Accuracy: 92.86 %
Epoch 96, Train Accuracy: 99.89 %, Test Accuracy: 92.90 %
Epoch 97, Train Accuracy: 99.87 %, Test Accuracy: 92.74 %
Epoch 98, Train Accuracy: 99.92 %, Test Accuracy: 93.08 %
Epoch 99, Train Accuracy: 99.88 %, Test Accuracy: 92.94 %
Epoch 100, Train Accuracy: 99.90 %, Test Accuracy: 93.07 %
Epoch 101, Train Accuracy: 99.95 %, Test Accuracy: 93.22 %
Epoch 102, Train Accuracy: 99.93 %, Test Accuracy: 93.04 %
Epoch 103, Train Accuracy: 99.93 %, Test Accuracy: 93.07 %
Epoch 104, Train Accuracy: 99.91 %, Test Accuracy: 93.09 %
Epoch 105, Train Accuracy: 99.91 %, Test Accuracy: 93.11 %
Epoch 106, Train Accuracy: 99.92 %, Test Accuracy: 92.87 %
Epoch 107, Train Accuracy: 99.91 %, Test Accuracy: 93.19 %
Epoch 108, Train Accuracy: 99.90 %, Test Accuracy: 92.83 %
Epoch 109, Train Accuracy: 99.89 %, Test Accuracy: 93.10 %
Epoch 110, Train Accuracy: 99.90 %, Test Accuracy: 92.75 %
