NODE=[HOST_f0845cc956] | JOB=bl-adw-1e-3-s4 4687306
ARGS: --optimizer AdamW --alpha0 1e-3 --seed 4 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account1/metaopt/runs/bl --run-name bl-adw-1e-3-s4
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=2500
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 42.26 %, Test Accuracy: 55.30 %
Epoch 1, Train Accuracy: 63.43 %, Test Accuracy: 61.79 %
Epoch 2, Train Accuracy: 72.62 %, Test Accuracy: 72.03 %
Epoch 3, Train Accuracy: 76.62 %, Test Accuracy: 70.30 %
Epoch 4, Train Accuracy: 79.32 %, Test Accuracy: 76.80 %
Epoch 5, Train Accuracy: 81.70 %, Test Accuracy: 78.72 %
Epoch 6, Train Accuracy: 83.65 %, Test Accuracy: 80.14 %
Epoch 7, Train Accuracy: 84.92 %, Test Accuracy: 81.82 %
Epoch 8, Train Accuracy: 86.24 %, Test Accuracy: 79.19 %
Epoch 9, Train Accuracy: 87.17 %, Test Accuracy: 80.70 %
Epoch 10, Train Accuracy: 87.97 %, Test Accuracy: 86.90 %
Epoch 11, Train Accuracy: 88.71 %, Test Accuracy: 86.61 %
Epoch 12, Train Accuracy: 89.44 %, Test Accuracy: 85.65 %
Epoch 13, Train Accuracy: 90.19 %, Test Accuracy: 86.84 %
Epoch 14, Train Accuracy: 90.67 %, Test Accuracy: 87.35 %
Epoch 15, Train Accuracy: 91.04 %, Test Accuracy: 84.83 %
Epoch 16, Train Accuracy: 91.73 %, Test Accuracy: 88.60 %
Epoch 17, Train Accuracy: 92.07 %, Test Accuracy: 89.53 %
Epoch 18, Train Accuracy: 92.58 %, Test Accuracy: 89.25 %
Epoch 19, Train Accuracy: 92.84 %, Test Accuracy: 89.57 %
Epoch 20, Train Accuracy: 93.33 %, Test Accuracy: 87.79 %
Epoch 21, Train Accuracy: 93.48 %, Test Accuracy: 89.56 %
Epoch 22, Train Accuracy: 94.23 %, Test Accuracy: 89.95 %
Epoch 23, Train Accuracy: 94.11 %, Test Accuracy: 89.57 %
Epoch 24, Train Accuracy: 94.63 %, Test Accuracy: 89.73 %
Epoch 25, Train Accuracy: 94.68 %, Test Accuracy: 90.31 %
