NODE=[HOST_e8d809bd94] | JOB=bo-lion-r02-s0 4685388 | AUGMENT=1
ARGS: --optimizer HF --alg-base Lion --momentum-param-base 0.99 --Lion-beta2-base 0.9 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/bopt --run-name bo-lion-r02-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=0 ETA_RATIO=0.2
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 26.76 %, Test Accuracy: 38.63 %
Epoch 1, Train Accuracy: 44.27 %, Test Accuracy: 50.17 %
Epoch 2, Train Accuracy: 52.97 %, Test Accuracy: 57.08 %
Epoch 3, Train Accuracy: 59.75 %, Test Accuracy: 63.13 %
Epoch 4, Train Accuracy: 65.55 %, Test Accuracy: 68.60 %
Epoch 5, Train Accuracy: 69.91 %, Test Accuracy: 72.79 %
Epoch 6, Train Accuracy: 74.45 %, Test Accuracy: 76.59 %
Epoch 7, Train Accuracy: 77.97 %, Test Accuracy: 79.32 %
Epoch 8, Train Accuracy: 80.89 %, Test Accuracy: 80.38 %
Epoch 9, Train Accuracy: 82.94 %, Test Accuracy: 82.76 %
Epoch 10, Train Accuracy: 84.73 %, Test Accuracy: 84.02 %
Epoch 11, Train Accuracy: 86.22 %, Test Accuracy: 84.63 %
Epoch 12, Train Accuracy: 87.50 %, Test Accuracy: 85.49 %
Epoch 13, Train Accuracy: 88.58 %, Test Accuracy: 85.38 %
Epoch 14, Train Accuracy: 89.52 %, Test Accuracy: 86.76 %
Epoch 15, Train Accuracy: 90.30 %, Test Accuracy: 86.95 %
Epoch 16, Train Accuracy: 90.97 %, Test Accuracy: 87.81 %
Epoch 17, Train Accuracy: 91.79 %, Test Accuracy: 88.41 %
Epoch 18, Train Accuracy: 92.29 %, Test Accuracy: 88.75 %
Epoch 19, Train Accuracy: 93.01 %, Test Accuracy: 88.72 %
Epoch 20, Train Accuracy: 93.40 %, Test Accuracy: 89.27 %
Epoch 21, Train Accuracy: 94.29 %, Test Accuracy: 89.02 %
Epoch 22, Train Accuracy: 94.52 %, Test Accuracy: 89.46 %
Epoch 23, Train Accuracy: 95.06 %, Test Accuracy: 89.90 %
Epoch 24, Train Accuracy: 95.37 %, Test Accuracy: 89.72 %
Epoch 25, Train Accuracy: 95.80 %, Test Accuracy: 90.55 %
Epoch 26, Train Accuracy: 96.18 %, Test Accuracy: 90.51 %
Epoch 27, Train Accuracy: 96.52 %, Test Accuracy: 90.72 %
Epoch 28, Train Accuracy: 96.85 %, Test Accuracy: 90.53 %
Epoch 29, Train Accuracy: 97.10 %, Test Accuracy: 90.63 %
Epoch 30, Train Accuracy: 97.27 %, Test Accuracy: 90.97 %
Epoch 31, Train Accuracy: 97.51 %, Test Accuracy: 90.54 %
Epoch 32, Train Accuracy: 97.72 %, Test Accuracy: 90.68 %
Epoch 33, Train Accuracy: 97.88 %, Test Accuracy: 90.88 %
Epoch 34, Train Accuracy: 97.99 %, Test Accuracy: 90.58 %
Epoch 35, Train Accuracy: 98.40 %, Test Accuracy: 91.26 %
