NODE=[HOST_2739ecbbce] | JOB=bo6-node-adw-s1 4702514
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account1/metaopt/runs/bo6 --run-name bo6-node-adw-s1
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/bo6/probe_node_adw_s1
NVIDIA GeForce RTX 2080 Ti, 11264 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 38.22 %, Test Accuracy: 50.32 %
Epoch 1, Train Accuracy: 58.99 %, Test Accuracy: 60.74 %
Epoch 2, Train Accuracy: 69.56 %, Test Accuracy: 69.81 %
Epoch 3, Train Accuracy: 76.26 %, Test Accuracy: 77.97 %
Epoch 4, Train Accuracy: 80.72 %, Test Accuracy: 79.12 %
Epoch 5, Train Accuracy: 83.42 %, Test Accuracy: 83.31 %
Epoch 6, Train Accuracy: 85.72 %, Test Accuracy: 84.30 %
Epoch 7, Train Accuracy: 87.23 %, Test Accuracy: 86.18 %
Epoch 8, Train Accuracy: 88.67 %, Test Accuracy: 86.81 %
Epoch 9, Train Accuracy: 89.90 %, Test Accuracy: 87.43 %
Epoch 10, Train Accuracy: 91.01 %, Test Accuracy: 88.15 %
Epoch 11, Train Accuracy: 91.80 %, Test Accuracy: 87.60 %
Epoch 12, Train Accuracy: 92.61 %, Test Accuracy: 88.39 %
Epoch 13, Train Accuracy: 93.14 %, Test Accuracy: 88.94 %
Epoch 14, Train Accuracy: 94.19 %, Test Accuracy: 89.97 %
Epoch 15, Train Accuracy: 94.58 %, Test Accuracy: 90.00 %
Epoch 16, Train Accuracy: 95.02 %, Test Accuracy: 90.20 %
Epoch 17, Train Accuracy: 95.53 %, Test Accuracy: 90.35 %
Epoch 18, Train Accuracy: 95.81 %, Test Accuracy: 90.61 %
Epoch 19, Train Accuracy: 96.28 %, Test Accuracy: 90.33 %
18  minutes
RUN_DONE
