NODE=[HOST_2f2f29d9e1] | JOB=bo7-lay-c6-s0 4702621
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/bo7 --run-name bo7-lay-c6-s0
ENV: AUGMENT=1 BETA_CLIP=-30:6.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/bo7/probe_lay_c6_s0
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 37.47 %, Test Accuracy: 46.53 %
Epoch 1, Train Accuracy: 58.01 %, Test Accuracy: 62.12 %
Epoch 2, Train Accuracy: 68.83 %, Test Accuracy: 68.80 %
Epoch 3, Train Accuracy: 74.78 %, Test Accuracy: 74.66 %
Epoch 4, Train Accuracy: 79.48 %, Test Accuracy: 77.83 %
Epoch 5, Train Accuracy: 82.21 %, Test Accuracy: 82.47 %
Epoch 6, Train Accuracy: 84.84 %, Test Accuracy: 84.44 %
Epoch 7, Train Accuracy: 86.45 %, Test Accuracy: 85.31 %
Epoch 8, Train Accuracy: 88.07 %, Test Accuracy: 86.47 %
Epoch 9, Train Accuracy: 89.08 %, Test Accuracy: 86.89 %
Epoch 10, Train Accuracy: 90.16 %, Test Accuracy: 87.34 %
Epoch 11, Train Accuracy: 91.04 %, Test Accuracy: 87.78 %
Epoch 12, Train Accuracy: 92.06 %, Test Accuracy: 88.25 %
Epoch 13, Train Accuracy: 92.60 %, Test Accuracy: 88.02 %
Epoch 14, Train Accuracy: 93.12 %, Test Accuracy: 88.35 %
Epoch 15, Train Accuracy: 93.88 %, Test Accuracy: 88.64 %
Epoch 16, Train Accuracy: 94.37 %, Test Accuracy: 89.03 %
Epoch 17, Train Accuracy: 94.86 %, Test Accuracy: 89.29 %
Epoch 18, Train Accuracy: 95.37 %, Test Accuracy: 89.58 %
Epoch 19, Train Accuracy: 95.82 %, Test Accuracy: 89.41 %
8  minutes
RUN_DONE
