NODE=[HOST_bcfd0fc19c] | JOB=bo7-node-c2-s0 4702623
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account1/metaopt/runs/bo7 --run-name bo7-node-c2-s0
ENV: AUGMENT=1 BETA_CLIP=-30:2.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/bo7/probe_node_c2_s0
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 36.72 %, Test Accuracy: 47.59 %
Epoch 1, Train Accuracy: 57.52 %, Test Accuracy: 62.28 %
Epoch 2, Train Accuracy: 68.06 %, Test Accuracy: 65.81 %
Epoch 3, Train Accuracy: 75.09 %, Test Accuracy: 76.67 %
Epoch 4, Train Accuracy: 79.49 %, Test Accuracy: 76.71 %
Epoch 5, Train Accuracy: 82.75 %, Test Accuracy: 82.44 %
Epoch 6, Train Accuracy: 84.89 %, Test Accuracy: 84.60 %
Epoch 7, Train Accuracy: 86.76 %, Test Accuracy: 83.42 %
Epoch 8, Train Accuracy: 88.34 %, Test Accuracy: 86.38 %
Epoch 9, Train Accuracy: 89.51 %, Test Accuracy: 86.94 %
Epoch 10, Train Accuracy: 90.30 %, Test Accuracy: 87.64 %
Epoch 11, Train Accuracy: 91.34 %, Test Accuracy: 88.37 %
Epoch 12, Train Accuracy: 92.26 %, Test Accuracy: 89.17 %
Epoch 13, Train Accuracy: 92.92 %, Test Accuracy: 89.25 %
Epoch 14, Train Accuracy: 93.58 %, Test Accuracy: 89.32 %
Epoch 15, Train Accuracy: 94.33 %, Test Accuracy: 88.76 %
Epoch 16, Train Accuracy: 94.85 %, Test Accuracy: 89.59 %
Epoch 17, Train Accuracy: 95.11 %, Test Accuracy: 89.11 %
Epoch 18, Train Accuracy: 95.59 %, Test Accuracy: 90.21 %
Epoch 19, Train Accuracy: 96.01 %, Test Accuracy: 89.76 %
9  minutes
RUN_DONE
