NODE=[HOST_2f2f29d9e1] | JOB=br6-node-c2-s1 4702522 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 40 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account2/metaopt/runs/br6 --run-name br6-node-c2-s1
ENV: AUGMENT=1 BETA_CLIP=-30:2.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/br6/probe_node_c2_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.50 %, Test Accuracy: 31.33 %
Epoch 1, Train Accuracy: 37.22 %, Test Accuracy: 43.65 %
Epoch 2, Train Accuracy: 46.24 %, Test Accuracy: 50.15 %
Epoch 3, Train Accuracy: 52.65 %, Test Accuracy: 57.21 %
Epoch 4, Train Accuracy: 59.46 %, Test Accuracy: 60.30 %
Epoch 5, Train Accuracy: 64.94 %, Test Accuracy: 65.99 %
Epoch 6, Train Accuracy: 69.34 %, Test Accuracy: 70.48 %
Epoch 7, Train Accuracy: 73.91 %, Test Accuracy: 74.57 %
Epoch 8, Train Accuracy: 76.65 %, Test Accuracy: 75.82 %
Epoch 9, Train Accuracy: 79.31 %, Test Accuracy: 78.38 %
Epoch 10, Train Accuracy: 81.43 %, Test Accuracy: 81.58 %
Epoch 11, Train Accuracy: 82.98 %, Test Accuracy: 82.07 %
Epoch 12, Train Accuracy: 84.13 %, Test Accuracy: 83.11 %
Epoch 13, Train Accuracy: 85.51 %, Test Accuracy: 84.12 %
Epoch 14, Train Accuracy: 86.63 %, Test Accuracy: 85.14 %
Epoch 15, Train Accuracy: 87.71 %, Test Accuracy: 85.63 %
Epoch 16, Train Accuracy: 88.66 %, Test Accuracy: 86.20 %
Epoch 17, Train Accuracy: 89.40 %, Test Accuracy: 86.93 %
Epoch 18, Train Accuracy: 89.90 %, Test Accuracy: 86.14 %
Epoch 19, Train Accuracy: 90.52 %, Test Accuracy: 87.75 %
Epoch 20, Train Accuracy: 91.46 %, Test Accuracy: 87.60 %
Epoch 21, Train Accuracy: 92.20 %, Test Accuracy: 87.53 %
Epoch 22, Train Accuracy: 92.35 %, Test Accuracy: 89.41 %
Epoch 23, Train Accuracy: 92.96 %, Test Accuracy: 89.26 %
Epoch 24, Train Accuracy: 93.40 %, Test Accuracy: 89.17 %
Epoch 25, Train Accuracy: 93.65 %, Test Accuracy: 89.38 %
Epoch 26, Train Accuracy: 94.38 %, Test Accuracy: 89.53 %
Epoch 27, Train Accuracy: 94.48 %, Test Accuracy: 89.69 %
Epoch 28, Train Accuracy: 95.09 %, Test Accuracy: 89.96 %
Epoch 29, Train Accuracy: 95.27 %, Test Accuracy: 90.61 %
Epoch 30, Train Accuracy: 95.92 %, Test Accuracy: 89.87 %
Epoch 31, Train Accuracy: 95.85 %, Test Accuracy: 90.57 %
Epoch 32, Train Accuracy: 96.16 %, Test Accuracy: 90.82 %
Epoch 33, Train Accuracy: 96.77 %, Test Accuracy: 90.37 %
Epoch 34, Train Accuracy: 96.92 %, Test Accuracy: 90.36 %
Epoch 35, Train Accuracy: 96.95 %, Test Accuracy: 90.91 %
Epoch 36, Train Accuracy: 97.18 %, Test Accuracy: 90.76 %
Epoch 37, Train Accuracy: 97.42 %, Test Accuracy: 90.54 %
Epoch 38, Train Accuracy: 97.41 %, Test Accuracy: 90.77 %
Epoch 39, Train Accuracy: 97.69 %, Test Accuracy: 90.33 %
17  minutes
RUN_DONE
