NODE=[HOST_bcfd0fc19c] | JOB=br6-node-c2-s3 4702524 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 40 --stepsize-groups nodewise --seed 3 --save-directory cluster/Account2/metaopt/runs/br6 --run-name br6-node-c2-s3
ENV: AUGMENT=1 BETA_CLIP=-30:2.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/br6/probe_node_c2_s3
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.19 %, Test Accuracy: 32.25 %
Epoch 1, Train Accuracy: 37.06 %, Test Accuracy: 43.40 %
Epoch 2, Train Accuracy: 45.12 %, Test Accuracy: 49.02 %
Epoch 3, Train Accuracy: 51.56 %, Test Accuracy: 55.70 %
Epoch 4, Train Accuracy: 58.63 %, Test Accuracy: 62.59 %
Epoch 5, Train Accuracy: 64.47 %, Test Accuracy: 67.06 %
Epoch 6, Train Accuracy: 68.92 %, Test Accuracy: 71.29 %
Epoch 7, Train Accuracy: 73.45 %, Test Accuracy: 73.94 %
Epoch 8, Train Accuracy: 76.06 %, Test Accuracy: 77.54 %
Epoch 9, Train Accuracy: 78.88 %, Test Accuracy: 79.56 %
Epoch 10, Train Accuracy: 80.99 %, Test Accuracy: 79.69 %
Epoch 11, Train Accuracy: 82.63 %, Test Accuracy: 81.27 %
Epoch 12, Train Accuracy: 83.73 %, Test Accuracy: 82.24 %
Epoch 13, Train Accuracy: 85.34 %, Test Accuracy: 84.50 %
Epoch 14, Train Accuracy: 86.48 %, Test Accuracy: 83.87 %
Epoch 15, Train Accuracy: 87.18 %, Test Accuracy: 84.61 %
Epoch 16, Train Accuracy: 88.31 %, Test Accuracy: 87.18 %
Epoch 17, Train Accuracy: 89.02 %, Test Accuracy: 86.58 %
Epoch 18, Train Accuracy: 89.94 %, Test Accuracy: 86.26 %
Epoch 19, Train Accuracy: 90.65 %, Test Accuracy: 87.82 %
Epoch 20, Train Accuracy: 91.18 %, Test Accuracy: 87.53 %
Epoch 21, Train Accuracy: 91.92 %, Test Accuracy: 87.22 %
Epoch 22, Train Accuracy: 92.24 %, Test Accuracy: 88.58 %
Epoch 23, Train Accuracy: 92.69 %, Test Accuracy: 88.45 %
Epoch 24, Train Accuracy: 93.05 %, Test Accuracy: 89.36 %
Epoch 25, Train Accuracy: 93.86 %, Test Accuracy: 89.36 %
Epoch 26, Train Accuracy: 94.08 %, Test Accuracy: 89.14 %
Epoch 27, Train Accuracy: 94.50 %, Test Accuracy: 89.14 %
Epoch 28, Train Accuracy: 94.66 %, Test Accuracy: 89.49 %
Epoch 29, Train Accuracy: 95.25 %, Test Accuracy: 89.64 %
Epoch 30, Train Accuracy: 95.47 %, Test Accuracy: 90.23 %
Epoch 31, Train Accuracy: 95.45 %, Test Accuracy: 90.23 %
Epoch 32, Train Accuracy: 95.98 %, Test Accuracy: 90.01 %
Epoch 33, Train Accuracy: 96.45 %, Test Accuracy: 90.65 %
Epoch 34, Train Accuracy: 96.51 %, Test Accuracy: 90.03 %
Epoch 35, Train Accuracy: 96.83 %, Test Accuracy: 90.25 %
Epoch 36, Train Accuracy: 97.21 %, Test Accuracy: 90.93 %
Epoch 37, Train Accuracy: 97.33 %, Test Accuracy: 90.96 %
Epoch 38, Train Accuracy: 97.25 %, Test Accuracy: 91.07 %
Epoch 39, Train Accuracy: 97.74 %, Test Accuracy: 90.97 %
17  minutes
RUN_DONE
