NODE=[HOST_bcfd0fc19c] | JOB=bx-5e-3-s1 4687540
ARGS: --optimizer AdamW --alpha0 5e-3 --seed 1 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account1/metaopt/runs/bl --run-name bx-5e-3-s1
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=2500
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 46.57 %, Test Accuracy: 53.53 %
Epoch 1, Train Accuracy: 66.41 %, Test Accuracy: 69.71 %
Epoch 2, Train Accuracy: 73.30 %, Test Accuracy: 69.05 %
Epoch 3, Train Accuracy: 76.50 %, Test Accuracy: 73.13 %
Epoch 4, Train Accuracy: 78.59 %, Test Accuracy: 75.61 %
Epoch 5, Train Accuracy: 79.90 %, Test Accuracy: 74.56 %
Epoch 6, Train Accuracy: 81.62 %, Test Accuracy: 77.03 %
Epoch 7, Train Accuracy: 82.26 %, Test Accuracy: 73.28 %
Epoch 8, Train Accuracy: 82.97 %, Test Accuracy: 77.28 %
Epoch 9, Train Accuracy: 83.58 %, Test Accuracy: 82.45 %
Epoch 10, Train Accuracy: 83.92 %, Test Accuracy: 78.88 %
Epoch 11, Train Accuracy: 84.46 %, Test Accuracy: 75.55 %
Epoch 12, Train Accuracy: 85.20 %, Test Accuracy: 80.37 %
Epoch 13, Train Accuracy: 85.38 %, Test Accuracy: 81.97 %
Epoch 14, Train Accuracy: 85.55 %, Test Accuracy: 80.40 %
Epoch 15, Train Accuracy: 85.82 %, Test Accuracy: 83.47 %
Epoch 16, Train Accuracy: 86.33 %, Test Accuracy: 80.33 %
Epoch 17, Train Accuracy: 86.35 %, Test Accuracy: 81.66 %
Epoch 18, Train Accuracy: 86.45 %, Test Accuracy: 83.31 %
Epoch 19, Train Accuracy: 86.82 %, Test Accuracy: 82.52 %
Epoch 20, Train Accuracy: 86.92 %, Test Accuracy: 81.56 %
Epoch 21, Train Accuracy: 87.12 %, Test Accuracy: 81.11 %
Epoch 22, Train Accuracy: 87.14 %, Test Accuracy: 86.74 %
Epoch 23, Train Accuracy: 87.48 %, Test Accuracy: 83.68 %
Epoch 24, Train Accuracy: 87.71 %, Test Accuracy: 80.40 %
