NODE=[HOST_2739ecbbce] | JOB=c100b-1e3-layer-s4 4683748 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 4 --save-directory cluster/Account2/metaopt/runs/c100b --run-name c100b-1e3-layer-s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.88 %, Test Accuracy: 5.20 %
Epoch 1, Train Accuracy: 7.42 %, Test Accuracy: 9.94 %
Epoch 2, Train Accuracy: 11.36 %, Test Accuracy: 12.91 %
Epoch 3, Train Accuracy: 14.48 %, Test Accuracy: 16.42 %
Epoch 4, Train Accuracy: 18.17 %, Test Accuracy: 21.90 %
Epoch 5, Train Accuracy: 23.61 %, Test Accuracy: 25.34 %
Epoch 6, Train Accuracy: 29.21 %, Test Accuracy: 30.83 %
Epoch 7, Train Accuracy: 33.66 %, Test Accuracy: 35.46 %
Epoch 8, Train Accuracy: 37.92 %, Test Accuracy: 38.19 %
Epoch 9, Train Accuracy: 41.34 %, Test Accuracy: 42.20 %
Epoch 10, Train Accuracy: 44.09 %, Test Accuracy: 41.24 %
Epoch 11, Train Accuracy: 46.39 %, Test Accuracy: 46.48 %
Epoch 12, Train Accuracy: 48.79 %, Test Accuracy: 48.62 %
Epoch 13, Train Accuracy: 51.52 %, Test Accuracy: 49.75 %
Epoch 14, Train Accuracy: 53.23 %, Test Accuracy: 50.37 %
Epoch 15, Train Accuracy: 55.05 %, Test Accuracy: 52.80 %
Epoch 16, Train Accuracy: 57.17 %, Test Accuracy: 54.39 %
Epoch 17, Train Accuracy: 58.91 %, Test Accuracy: 54.35 %
Epoch 18, Train Accuracy: 60.64 %, Test Accuracy: 56.14 %
Epoch 19, Train Accuracy: 62.77 %, Test Accuracy: 56.86 %
Epoch 20, Train Accuracy: 63.89 %, Test Accuracy: 57.76 %
Epoch 21, Train Accuracy: 65.63 %, Test Accuracy: 59.01 %
Epoch 22, Train Accuracy: 67.53 %, Test Accuracy: 60.10 %
Epoch 23, Train Accuracy: 68.41 %, Test Accuracy: 60.56 %
Epoch 24, Train Accuracy: 70.04 %, Test Accuracy: 61.43 %
Epoch 25, Train Accuracy: 71.48 %, Test Accuracy: 61.17 %
Epoch 26, Train Accuracy: 72.89 %, Test Accuracy: 62.41 %
Epoch 27, Train Accuracy: 73.59 %, Test Accuracy: 62.72 %
Epoch 28, Train Accuracy: 75.02 %, Test Accuracy: 62.74 %
Epoch 29, Train Accuracy: 75.69 %, Test Accuracy: 63.70 %
Epoch 30, Train Accuracy: 77.16 %, Test Accuracy: 63.81 %
Epoch 31, Train Accuracy: 77.89 %, Test Accuracy: 65.16 %
Epoch 32, Train Accuracy: 79.08 %, Test Accuracy: 63.97 %
Epoch 33, Train Accuracy: 79.84 %, Test Accuracy: 65.16 %
Epoch 34, Train Accuracy: 81.21 %, Test Accuracy: 65.97 %
Epoch 35, Train Accuracy: 81.95 %, Test Accuracy: 65.72 %
Epoch 36, Train Accuracy: 82.52 %, Test Accuracy: 65.48 %
Epoch 37, Train Accuracy: 83.63 %, Test Accuracy: 66.09 %
Epoch 38, Train Accuracy: 84.39 %, Test Accuracy: 66.84 %
Epoch 39, Train Accuracy: 85.16 %, Test Accuracy: 65.99 %
Epoch 40, Train Accuracy: 86.07 %, Test Accuracy: 66.47 %
Epoch 41, Train Accuracy: 86.35 %, Test Accuracy: 66.20 %
Epoch 42, Train Accuracy: 86.98 %, Test Accuracy: 66.95 %
Epoch 43, Train Accuracy: 88.05 %, Test Accuracy: 66.83 %
Epoch 44, Train Accuracy: 88.28 %, Test Accuracy: 66.74 %
Epoch 45, Train Accuracy: 88.96 %, Test Accuracy: 68.15 %
Epoch 46, Train Accuracy: 89.94 %, Test Accuracy: 66.85 %
Epoch 47, Train Accuracy: 90.04 %, Test Accuracy: 66.86 %
Epoch 48, Train Accuracy: 90.49 %, Test Accuracy: 67.43 %
Epoch 49, Train Accuracy: 91.03 %, Test Accuracy: 67.83 %
Epoch 50, Train Accuracy: 91.36 %, Test Accuracy: 68.10 %
Epoch 51, Train Accuracy: 92.10 %, Test Accuracy: 67.30 %
Epoch 52, Train Accuracy: 92.47 %, Test Accuracy: 68.42 %
Epoch 53, Train Accuracy: 93.00 %, Test Accuracy: 67.68 %
Epoch 54, Train Accuracy: 93.03 %, Test Accuracy: 67.29 %
Epoch 55, Train Accuracy: 93.44 %, Test Accuracy: 68.27 %
Epoch 56, Train Accuracy: 93.87 %, Test Accuracy: 68.03 %
Epoch 57, Train Accuracy: 94.48 %, Test Accuracy: 68.20 %
Epoch 58, Train Accuracy: 94.48 %, Test Accuracy: 68.52 %
Epoch 59, Train Accuracy: 94.71 %, Test Accuracy: 67.97 %
Epoch 60, Train Accuracy: 95.15 %, Test Accuracy: 68.28 %
