NODE=[HOST_e8d809bd94] | JOB=c100b-1e6-blk6-s4 4683754 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 4 --save-directory cluster/Account2/metaopt/runs/c100b --run-name c100b-1e6-blk6-s4
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.99 %, Test Accuracy: 1.08 %
Epoch 1, Train Accuracy: 0.99 %, Test Accuracy: 1.07 %
Epoch 2, Train Accuracy: 1.01 %, Test Accuracy: 1.08 %
Epoch 3, Train Accuracy: 1.00 %, Test Accuracy: 1.09 %
Epoch 4, Train Accuracy: 1.02 %, Test Accuracy: 1.10 %
Epoch 5, Train Accuracy: 1.02 %, Test Accuracy: 1.09 %
Epoch 6, Train Accuracy: 1.03 %, Test Accuracy: 1.13 %
Epoch 7, Train Accuracy: 1.04 %, Test Accuracy: 1.24 %
Epoch 8, Train Accuracy: 1.22 %, Test Accuracy: 1.50 %
Epoch 9, Train Accuracy: 2.32 %, Test Accuracy: 2.89 %
Epoch 10, Train Accuracy: 3.38 %, Test Accuracy: 4.03 %
Epoch 11, Train Accuracy: 4.53 %, Test Accuracy: 5.16 %
Epoch 12, Train Accuracy: 5.75 %, Test Accuracy: 6.69 %
Epoch 13, Train Accuracy: 7.90 %, Test Accuracy: 9.12 %
Epoch 14, Train Accuracy: 9.73 %, Test Accuracy: 11.12 %
Epoch 15, Train Accuracy: 11.69 %, Test Accuracy: 12.33 %
Epoch 16, Train Accuracy: 13.35 %, Test Accuracy: 14.87 %
Epoch 17, Train Accuracy: 15.14 %, Test Accuracy: 15.03 %
Epoch 18, Train Accuracy: 16.43 %, Test Accuracy: 18.33 %
Epoch 19, Train Accuracy: 18.65 %, Test Accuracy: 18.39 %
Epoch 20, Train Accuracy: 20.39 %, Test Accuracy: 22.44 %
Epoch 21, Train Accuracy: 22.80 %, Test Accuracy: 22.05 %
Epoch 22, Train Accuracy: 25.15 %, Test Accuracy: 25.40 %
Epoch 23, Train Accuracy: 27.11 %, Test Accuracy: 27.45 %
Epoch 24, Train Accuracy: 28.85 %, Test Accuracy: 29.30 %
Epoch 25, Train Accuracy: 30.20 %, Test Accuracy: 30.55 %
Epoch 26, Train Accuracy: 31.89 %, Test Accuracy: 31.41 %
Epoch 27, Train Accuracy: 33.78 %, Test Accuracy: 34.29 %
Epoch 28, Train Accuracy: 35.25 %, Test Accuracy: 34.68 %
Epoch 29, Train Accuracy: 37.12 %, Test Accuracy: 36.42 %
Epoch 30, Train Accuracy: 38.60 %, Test Accuracy: 39.19 %
Epoch 31, Train Accuracy: 39.88 %, Test Accuracy: 39.13 %
Epoch 32, Train Accuracy: 41.61 %, Test Accuracy: 40.18 %
Epoch 33, Train Accuracy: 43.32 %, Test Accuracy: 41.23 %
Epoch 34, Train Accuracy: 44.25 %, Test Accuracy: 43.15 %
Epoch 35, Train Accuracy: 45.85 %, Test Accuracy: 43.66 %
Epoch 36, Train Accuracy: 47.07 %, Test Accuracy: 44.65 %
Epoch 37, Train Accuracy: 47.98 %, Test Accuracy: 45.07 %
Epoch 38, Train Accuracy: 49.00 %, Test Accuracy: 46.19 %
Epoch 39, Train Accuracy: 49.55 %, Test Accuracy: 46.20 %
Epoch 40, Train Accuracy: 50.43 %, Test Accuracy: 46.85 %
Epoch 41, Train Accuracy: 50.87 %, Test Accuracy: 47.45 %
Epoch 42, Train Accuracy: 51.48 %, Test Accuracy: 48.34 %
Epoch 43, Train Accuracy: 51.87 %, Test Accuracy: 48.19 %
Epoch 44, Train Accuracy: 52.18 %, Test Accuracy: 48.54 %
Epoch 45, Train Accuracy: 52.17 %, Test Accuracy: 48.57 %
Epoch 46, Train Accuracy: 52.98 %, Test Accuracy: 49.95 %
Epoch 47, Train Accuracy: 52.97 %, Test Accuracy: 49.17 %
Epoch 48, Train Accuracy: 53.59 %, Test Accuracy: 48.48 %
Epoch 49, Train Accuracy: 53.37 %, Test Accuracy: 49.12 %
Epoch 50, Train Accuracy: 53.77 %, Test Accuracy: 49.27 %
Epoch 51, Train Accuracy: 53.94 %, Test Accuracy: 49.12 %
Epoch 52, Train Accuracy: 54.68 %, Test Accuracy: 48.96 %
Epoch 53, Train Accuracy: 54.44 %, Test Accuracy: 49.70 %
Epoch 54, Train Accuracy: 55.39 %, Test Accuracy: 49.62 %
Epoch 55, Train Accuracy: 54.80 %, Test Accuracy: 49.77 %
Epoch 56, Train Accuracy: 55.46 %, Test Accuracy: 49.72 %
Epoch 57, Train Accuracy: 55.67 %, Test Accuracy: 49.78 %
Epoch 58, Train Accuracy: 55.61 %, Test Accuracy: 49.62 %
Epoch 59, Train Accuracy: 55.72 %, Test Accuracy: 50.04 %
Epoch 60, Train Accuracy: 56.27 %, Test Accuracy: 50.51 %
Epoch 61, Train Accuracy: 56.59 %, Test Accuracy: 50.29 %
Epoch 62, Train Accuracy: 56.37 %, Test Accuracy: 49.79 %
Epoch 63, Train Accuracy: 56.75 %, Test Accuracy: 51.30 %
Epoch 64, Train Accuracy: 57.19 %, Test Accuracy: 50.48 %
Epoch 65, Train Accuracy: 57.28 %, Test Accuracy: 50.99 %
Epoch 66, Train Accuracy: 57.37 %, Test Accuracy: 50.97 %
Epoch 67, Train Accuracy: 57.44 %, Test Accuracy: 50.97 %
Epoch 68, Train Accuracy: 57.78 %, Test Accuracy: 51.07 %
Epoch 69, Train Accuracy: 57.94 %, Test Accuracy: 51.06 %
Epoch 70, Train Accuracy: 58.35 %, Test Accuracy: 51.22 %
Epoch 71, Train Accuracy: 58.46 %, Test Accuracy: 51.31 %
Epoch 72, Train Accuracy: 58.56 %, Test Accuracy: 51.64 %
