NODE=[HOST_e8d809bd94] | JOB=cau1-m6-s51 4945838 | AUGMENT=0
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 51 --save-directory cluster/Account2/metaopt/runs/cau1 --run-name cau1-m6-s51
ENV: AUGMENT=0 BETA_CLIP=-60:6.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cau1/probe_cau1-m6-s51 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 46.43 %, Test Accuracy: 55.79 %
Epoch 1, Train Accuracy: 69.38 %, Test Accuracy: 69.13 %
Epoch 2, Train Accuracy: 81.41 %, Test Accuracy: 72.81 %
Epoch 3, Train Accuracy: 91.18 %, Test Accuracy: 73.75 %
Epoch 4, Train Accuracy: 97.02 %, Test Accuracy: 73.68 %
Epoch 5, Train Accuracy: 99.07 %, Test Accuracy: 73.44 %
Epoch 6, Train Accuracy: 99.51 %, Test Accuracy: 73.48 %
Epoch 7, Train Accuracy: 99.47 %, Test Accuracy: 74.13 %
Epoch 8, Train Accuracy: 99.73 %, Test Accuracy: 74.50 %
Epoch 9, Train Accuracy: 99.81 %, Test Accuracy: 73.93 %
Epoch 10, Train Accuracy: 99.74 %, Test Accuracy: 74.84 %
Epoch 11, Train Accuracy: 99.96 %, Test Accuracy: 75.20 %
Epoch 12, Train Accuracy: 99.93 %, Test Accuracy: 74.43 %
Epoch 13, Train Accuracy: 99.84 %, Test Accuracy: 74.36 %
Epoch 14, Train Accuracy: 99.91 %, Test Accuracy: 75.00 %
Epoch 15, Train Accuracy: 99.96 %, Test Accuracy: 75.37 %
Epoch 16, Train Accuracy: 99.91 %, Test Accuracy: 74.10 %
Epoch 17, Train Accuracy: 99.90 %, Test Accuracy: 74.66 %
Epoch 18, Train Accuracy: 99.95 %, Test Accuracy: 75.18 %
Epoch 19, Train Accuracy: 99.96 %, Test Accuracy: 74.76 %
Epoch 20, Train Accuracy: 99.94 %, Test Accuracy: 75.07 %
Epoch 21, Train Accuracy: 99.92 %, Test Accuracy: 74.94 %
Epoch 22, Train Accuracy: 99.98 %, Test Accuracy: 75.14 %
Epoch 23, Train Accuracy: 99.97 %, Test Accuracy: 74.78 %
Epoch 24, Train Accuracy: 99.98 %, Test Accuracy: 75.37 %
Epoch 25, Train Accuracy: 99.97 %, Test Accuracy: 74.75 %
Epoch 26, Train Accuracy: 99.96 %, Test Accuracy: 75.08 %
Epoch 27, Train Accuracy: 99.97 %, Test Accuracy: 75.45 %
Epoch 28, Train Accuracy: 99.98 %, Test Accuracy: 74.84 %
Epoch 29, Train Accuracy: 99.98 %, Test Accuracy: 75.09 %
Epoch 30, Train Accuracy: 99.99 %, Test Accuracy: 75.33 %
Epoch 31, Train Accuracy: 99.99 %, Test Accuracy: 75.40 %
Epoch 32, Train Accuracy: 99.98 %, Test Accuracy: 75.45 %
Epoch 33, Train Accuracy: 99.98 %, Test Accuracy: 75.13 %
Epoch 34, Train Accuracy: 99.98 %, Test Accuracy: 74.77 %
Epoch 35, Train Accuracy: 99.99 %, Test Accuracy: 75.39 %
Epoch 36, Train Accuracy: 99.98 %, Test Accuracy: 74.73 %
Epoch 37, Train Accuracy: 99.96 %, Test Accuracy: 75.07 %
Epoch 38, Train Accuracy: 99.98 %, Test Accuracy: 75.18 %
Epoch 39, Train Accuracy: 99.99 %, Test Accuracy: 75.32 %
Epoch 40, Train Accuracy: 99.99 %, Test Accuracy: 74.61 %
Epoch 41, Train Accuracy: 100.00 %, Test Accuracy: 74.91 %
Epoch 42, Train Accuracy: 99.95 %, Test Accuracy: 74.98 %
Epoch 43, Train Accuracy: 99.98 %, Test Accuracy: 75.24 %
Epoch 44, Train Accuracy: 99.99 %, Test Accuracy: 75.29 %
Epoch 45, Train Accuracy: 99.99 %, Test Accuracy: 75.53 %
Epoch 46, Train Accuracy: 100.00 %, Test Accuracy: 75.47 %
Epoch 47, Train Accuracy: 99.99 %, Test Accuracy: 75.13 %
Epoch 48, Train Accuracy: 99.99 %, Test Accuracy: 74.92 %
Epoch 49, Train Accuracy: 99.99 %, Test Accuracy: 75.25 %
Epoch 50, Train Accuracy: 99.98 %, Test Accuracy: 75.31 %
Epoch 51, Train Accuracy: 100.00 %, Test Accuracy: 75.16 %
Epoch 52, Train Accuracy: 100.00 %, Test Accuracy: 75.14 %
Epoch 53, Train Accuracy: 99.99 %, Test Accuracy: 74.93 %
Epoch 54, Train Accuracy: 100.00 %, Test Accuracy: 75.40 %
Epoch 55, Train Accuracy: 99.99 %, Test Accuracy: 75.42 %
Epoch 56, Train Accuracy: 99.99 %, Test Accuracy: 75.34 %
Epoch 57, Train Accuracy: 100.00 %, Test Accuracy: 75.24 %
Epoch 58, Train Accuracy: 100.00 %, Test Accuracy: 75.13 %
Epoch 59, Train Accuracy: 99.98 %, Test Accuracy: 75.33 %
Epoch 60, Train Accuracy: 100.00 %, Test Accuracy: 75.52 %
Epoch 61, Train Accuracy: 99.99 %, Test Accuracy: 75.38 %
Epoch 62, Train Accuracy: 100.00 %, Test Accuracy: 75.21 %
Epoch 63, Train Accuracy: 100.00 %, Test Accuracy: 75.13 %
