NODE=[HOST_e223b82d71] | JOB=caw2-AS-s162 5079322 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 162 --save-directory cluster/Account2/metaopt/runs/caw2 --run-name caw2-AS-s162
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/caw2/probe_caw2-AS-s162 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Adam momentum_param=0.9 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/caw2/probe_caw2-AS-s162
Epoch 0, Train Accuracy: 11.05 %, Test Accuracy: 20.16 %
Epoch 1, Train Accuracy: 25.21 %, Test Accuracy: 25.97 %
Epoch 2, Train Accuracy: 34.18 %, Test Accuracy: 36.26 %
Epoch 3, Train Accuracy: 42.18 %, Test Accuracy: 40.05 %
Epoch 4, Train Accuracy: 48.32 %, Test Accuracy: 44.83 %
Epoch 5, Train Accuracy: 52.62 %, Test Accuracy: 48.70 %
Epoch 6, Train Accuracy: 56.64 %, Test Accuracy: 54.71 %
Epoch 7, Train Accuracy: 59.74 %, Test Accuracy: 57.75 %
Epoch 8, Train Accuracy: 62.48 %, Test Accuracy: 57.19 %
Epoch 9, Train Accuracy: 64.38 %, Test Accuracy: 58.74 %
Epoch 10, Train Accuracy: 66.68 %, Test Accuracy: 59.47 %
Epoch 11, Train Accuracy: 68.31 %, Test Accuracy: 59.32 %
Epoch 12, Train Accuracy: 69.60 %, Test Accuracy: 61.19 %
Epoch 13, Train Accuracy: 71.60 %, Test Accuracy: 63.08 %
Epoch 14, Train Accuracy: 72.16 %, Test Accuracy: 62.88 %
Epoch 15, Train Accuracy: 73.52 %, Test Accuracy: 62.82 %
Epoch 16, Train Accuracy: 74.56 %, Test Accuracy: 64.35 %
Epoch 17, Train Accuracy: 75.52 %, Test Accuracy: 61.35 %
Epoch 18, Train Accuracy: 76.74 %, Test Accuracy: 62.73 %
Epoch 19, Train Accuracy: 77.12 %, Test Accuracy: 62.83 %
Epoch 20, Train Accuracy: 77.67 %, Test Accuracy: 64.29 %
Epoch 21, Train Accuracy: 78.86 %, Test Accuracy: 63.39 %
Epoch 22, Train Accuracy: 79.44 %, Test Accuracy: 64.88 %
Epoch 23, Train Accuracy: 80.26 %, Test Accuracy: 65.95 %
Epoch 24, Train Accuracy: 80.57 %, Test Accuracy: 66.76 %
Epoch 25, Train Accuracy: 81.43 %, Test Accuracy: 66.43 %
Epoch 26, Train Accuracy: 81.95 %, Test Accuracy: 65.22 %
Epoch 27, Train Accuracy: 82.72 %, Test Accuracy: 66.51 %
Epoch 28, Train Accuracy: 83.26 %, Test Accuracy: 66.59 %
Epoch 29, Train Accuracy: 84.10 %, Test Accuracy: 66.36 %
Epoch 30, Train Accuracy: 84.40 %, Test Accuracy: 65.95 %
Epoch 31, Train Accuracy: 85.49 %, Test Accuracy: 66.39 %
Epoch 32, Train Accuracy: 86.24 %, Test Accuracy: 66.90 %
Epoch 33, Train Accuracy: 87.40 %, Test Accuracy: 67.63 %
Epoch 34, Train Accuracy: 87.58 %, Test Accuracy: 68.44 %
Epoch 35, Train Accuracy: 89.24 %, Test Accuracy: 68.14 %
Epoch 36, Train Accuracy: 89.48 %, Test Accuracy: 67.70 %
Epoch 37, Train Accuracy: 90.26 %, Test Accuracy: 68.97 %
Epoch 38, Train Accuracy: 91.24 %, Test Accuracy: 69.36 %
Epoch 39, Train Accuracy: 92.26 %, Test Accuracy: 68.29 %
Epoch 40, Train Accuracy: 92.89 %, Test Accuracy: 69.61 %
Epoch 41, Train Accuracy: 93.59 %, Test Accuracy: 70.23 %
Epoch 42, Train Accuracy: 94.63 %, Test Accuracy: 68.45 %
Epoch 43, Train Accuracy: 94.61 %, Test Accuracy: 68.41 %
Epoch 44, Train Accuracy: 94.99 %, Test Accuracy: 68.90 %
Epoch 45, Train Accuracy: 95.81 %, Test Accuracy: 68.96 %
Epoch 46, Train Accuracy: 95.63 %, Test Accuracy: 71.03 %
Epoch 47, Train Accuracy: 96.86 %, Test Accuracy: 69.81 %
Epoch 48, Train Accuracy: 96.70 %, Test Accuracy: 70.90 %
Epoch 49, Train Accuracy: 97.18 %, Test Accuracy: 70.13 %
Epoch 50, Train Accuracy: 97.49 %, Test Accuracy: 69.46 %
Epoch 51, Train Accuracy: 97.67 %, Test Accuracy: 70.31 %
Epoch 52, Train Accuracy: 97.75 %, Test Accuracy: 70.28 %
Epoch 53, Train Accuracy: 98.21 %, Test Accuracy: 70.93 %
Epoch 54, Train Accuracy: 98.21 %, Test Accuracy: 70.27 %
Epoch 55, Train Accuracy: 98.33 %, Test Accuracy: 71.36 %
Epoch 56, Train Accuracy: 98.62 %, Test Accuracy: 71.87 %
Epoch 57, Train Accuracy: 98.80 %, Test Accuracy: 71.73 %
Epoch 58, Train Accuracy: 98.46 %, Test Accuracy: 70.63 %
Epoch 59, Train Accuracy: 99.18 %, Test Accuracy: 71.78 %
Epoch 60, Train Accuracy: 98.62 %, Test Accuracy: 70.91 %
Epoch 61, Train Accuracy: 98.90 %, Test Accuracy: 71.87 %
Epoch 62, Train Accuracy: 99.02 %, Test Accuracy: 71.05 %
Epoch 63, Train Accuracy: 98.99 %, Test Accuracy: 72.14 %
Epoch 64, Train Accuracy: 99.14 %, Test Accuracy: 72.07 %
Epoch 65, Train Accuracy: 99.22 %, Test Accuracy: 70.71 %
Epoch 66, Train Accuracy: 99.16 %, Test Accuracy: 72.00 %
Epoch 67, Train Accuracy: 99.43 %, Test Accuracy: 71.86 %
Epoch 68, Train Accuracy: 99.00 %, Test Accuracy: 71.48 %
Epoch 69, Train Accuracy: 99.44 %, Test Accuracy: 71.70 %
Epoch 70, Train Accuracy: 99.27 %, Test Accuracy: 71.13 %
Epoch 71, Train Accuracy: 99.33 %, Test Accuracy: 72.28 %
Epoch 72, Train Accuracy: 99.59 %, Test Accuracy: 72.32 %
Epoch 73, Train Accuracy: 99.42 %, Test Accuracy: 73.07 %
Epoch 74, Train Accuracy: 99.28 %, Test Accuracy: 72.11 %
Epoch 75, Train Accuracy: 99.51 %, Test Accuracy: 72.60 %
Epoch 76, Train Accuracy: 99.68 %, Test Accuracy: 72.18 %
Epoch 77, Train Accuracy: 99.50 %, Test Accuracy: 72.84 %
Epoch 78, Train Accuracy: 99.53 %, Test Accuracy: 73.19 %
Epoch 79, Train Accuracy: 99.51 %, Test Accuracy: 72.74 %
Epoch 80, Train Accuracy: 99.74 %, Test Accuracy: 72.98 %
Epoch 81, Train Accuracy: 99.74 %, Test Accuracy: 73.47 %
Epoch 82, Train Accuracy: 99.53 %, Test Accuracy: 71.80 %
Epoch 83, Train Accuracy: 99.57 %, Test Accuracy: 72.79 %
Epoch 84, Train Accuracy: 99.77 %, Test Accuracy: 73.06 %
Epoch 85, Train Accuracy: 99.70 %, Test Accuracy: 72.16 %
Epoch 86, Train Accuracy: 99.77 %, Test Accuracy: 72.48 %
Epoch 87, Train Accuracy: 99.74 %, Test Accuracy: 73.08 %
Epoch 88, Train Accuracy: 99.77 %, Test Accuracy: 73.33 %
Epoch 89, Train Accuracy: 99.77 %, Test Accuracy: 72.61 %
Epoch 90, Train Accuracy: 99.61 %, Test Accuracy: 72.57 %
Epoch 91, Train Accuracy: 99.76 %, Test Accuracy: 73.10 %
Epoch 92, Train Accuracy: 99.80 %, Test Accuracy: 73.06 %
Epoch 93, Train Accuracy: 99.72 %, Test Accuracy: 72.22 %
