NODE=[HOST_e223b82d71] | JOB=caw2-LL-s162 5079321 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 162 --save-directory cluster/Account2/metaopt/runs/caw2 --run-name caw2-LL-s162
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/caw2/probe_caw2-LL-s162 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB
VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/caw2/probe_caw2-LL-s162
Epoch 0, Train Accuracy: 7.79 %, Test Accuracy: 12.60 %
Epoch 1, Train Accuracy: 15.85 %, Test Accuracy: 20.40 %
Epoch 2, Train Accuracy: 22.45 %, Test Accuracy: 26.20 %
Epoch 3, Train Accuracy: 28.36 %, Test Accuracy: 29.45 %
Epoch 4, Train Accuracy: 34.56 %, Test Accuracy: 34.87 %
Epoch 5, Train Accuracy: 39.74 %, Test Accuracy: 40.92 %
Epoch 6, Train Accuracy: 44.96 %, Test Accuracy: 45.23 %
Epoch 7, Train Accuracy: 49.85 %, Test Accuracy: 49.39 %
Epoch 8, Train Accuracy: 54.06 %, Test Accuracy: 51.24 %
Epoch 9, Train Accuracy: 57.35 %, Test Accuracy: 53.13 %
Epoch 10, Train Accuracy: 60.16 %, Test Accuracy: 55.99 %
Epoch 11, Train Accuracy: 63.27 %, Test Accuracy: 56.61 %
Epoch 12, Train Accuracy: 65.84 %, Test Accuracy: 58.93 %
Epoch 13, Train Accuracy: 68.57 %, Test Accuracy: 60.15 %
Epoch 14, Train Accuracy: 70.59 %, Test Accuracy: 59.26 %
Epoch 15, Train Accuracy: 72.72 %, Test Accuracy: 62.11 %
Epoch 16, Train Accuracy: 74.87 %, Test Accuracy: 61.84 %
Epoch 17, Train Accuracy: 76.87 %, Test Accuracy: 60.75 %
Epoch 18, Train Accuracy: 78.39 %, Test Accuracy: 60.86 %
Epoch 19, Train Accuracy: 80.16 %, Test Accuracy: 62.80 %
Epoch 20, Train Accuracy: 81.73 %, Test Accuracy: 62.70 %
Epoch 21, Train Accuracy: 83.27 %, Test Accuracy: 63.65 %
Epoch 22, Train Accuracy: 84.82 %, Test Accuracy: 63.42 %
Epoch 23, Train Accuracy: 85.95 %, Test Accuracy: 64.32 %
Epoch 24, Train Accuracy: 87.18 %, Test Accuracy: 64.82 %
Epoch 25, Train Accuracy: 87.99 %, Test Accuracy: 63.80 %
Epoch 26, Train Accuracy: 89.13 %, Test Accuracy: 64.38 %
Epoch 27, Train Accuracy: 90.70 %, Test Accuracy: 64.43 %
Epoch 28, Train Accuracy: 90.96 %, Test Accuracy: 64.96 %
Epoch 29, Train Accuracy: 91.72 %, Test Accuracy: 65.05 %
Epoch 30, Train Accuracy: 92.57 %, Test Accuracy: 65.63 %
Epoch 31, Train Accuracy: 92.90 %, Test Accuracy: 65.77 %
Epoch 32, Train Accuracy: 93.77 %, Test Accuracy: 64.90 %
Epoch 33, Train Accuracy: 94.39 %, Test Accuracy: 65.20 %
Epoch 34, Train Accuracy: 94.55 %, Test Accuracy: 66.09 %
Epoch 35, Train Accuracy: 94.86 %, Test Accuracy: 64.54 %
Epoch 36, Train Accuracy: 95.28 %, Test Accuracy: 64.64 %
Epoch 37, Train Accuracy: 95.20 %, Test Accuracy: 65.49 %
Epoch 38, Train Accuracy: 95.88 %, Test Accuracy: 65.50 %
Epoch 39, Train Accuracy: 96.36 %, Test Accuracy: 65.68 %
Epoch 40, Train Accuracy: 96.08 %, Test Accuracy: 66.05 %
Epoch 41, Train Accuracy: 96.60 %, Test Accuracy: 66.54 %
Epoch 42, Train Accuracy: 96.90 %, Test Accuracy: 65.28 %
Epoch 43, Train Accuracy: 97.06 %, Test Accuracy: 66.73 %
Epoch 44, Train Accuracy: 97.63 %, Test Accuracy: 66.57 %
Epoch 45, Train Accuracy: 97.21 %, Test Accuracy: 66.17 %
Epoch 46, Train Accuracy: 97.39 %, Test Accuracy: 66.62 %
Epoch 47, Train Accuracy: 97.73 %, Test Accuracy: 66.51 %
Epoch 48, Train Accuracy: 98.01 %, Test Accuracy: 66.88 %
Epoch 49, Train Accuracy: 97.70 %, Test Accuracy: 66.55 %
Epoch 50, Train Accuracy: 98.41 %, Test Accuracy: 67.29 %
Epoch 51, Train Accuracy: 98.06 %, Test Accuracy: 67.16 %
Epoch 52, Train Accuracy: 98.00 %, Test Accuracy: 66.72 %
Epoch 53, Train Accuracy: 98.49 %, Test Accuracy: 67.59 %
Epoch 54, Train Accuracy: 98.37 %, Test Accuracy: 67.19 %
Epoch 55, Train Accuracy: 98.53 %, Test Accuracy: 67.76 %
Epoch 56, Train Accuracy: 98.39 %, Test Accuracy: 67.93 %
Epoch 57, Train Accuracy: 98.68 %, Test Accuracy: 67.79 %
Epoch 58, Train Accuracy: 98.82 %, Test Accuracy: 67.10 %
Epoch 59, Train Accuracy: 98.78 %, Test Accuracy: 67.50 %
Epoch 60, Train Accuracy: 98.72 %, Test Accuracy: 67.32 %
Epoch 61, Train Accuracy: 98.87 %, Test Accuracy: 67.47 %
Epoch 62, Train Accuracy: 98.81 %, Test Accuracy: 67.87 %
Epoch 63, Train Accuracy: 98.96 %, Test Accuracy: 67.10 %
Epoch 64, Train Accuracy: 98.84 %, Test Accuracy: 67.46 %
Epoch 65, Train Accuracy: 99.13 %, Test Accuracy: 67.65 %
Epoch 66, Train Accuracy: 99.15 %, Test Accuracy: 67.41 %
Epoch 67, Train Accuracy: 98.90 %, Test Accuracy: 67.46 %
Epoch 68, Train Accuracy: 98.85 %, Test Accuracy: 67.30 %
Epoch 69, Train Accuracy: 99.05 %, Test Accuracy: 67.82 %
Epoch 70, Train Accuracy: 99.16 %, Test Accuracy: 67.92 %
Epoch 71, Train Accuracy: 99.20 %, Test Accuracy: 67.43 %
Epoch 72, Train Accuracy: 99.04 %, Test Accuracy: 67.77 %
Epoch 73, Train Accuracy: 99.02 %, Test Accuracy: 67.86 %
Epoch 74, Train Accuracy: 99.29 %, Test Accuracy: 68.16 %
Epoch 75, Train Accuracy: 99.23 %, Test Accuracy: 67.84 %
Epoch 76, Train Accuracy: 99.30 %, Test Accuracy: 67.93 %
Epoch 77, Train Accuracy: 99.34 %, Test Accuracy: 67.51 %
Epoch 78, Train Accuracy: 99.38 %, Test Accuracy: 67.99 %
Epoch 79, Train Accuracy: 99.20 %, Test Accuracy: 67.97 %
Epoch 80, Train Accuracy: 99.31 %, Test Accuracy: 68.91 %
Epoch 81, Train Accuracy: 99.43 %, Test Accuracy: 67.83 %
Epoch 82, Train Accuracy: 99.47 %, Test Accuracy: 68.14 %
Epoch 83, Train Accuracy: 99.40 %, Test Accuracy: 68.08 %
