NODE=[HOST_f0845cc956] | JOB=caw2-ML-s161 5079310 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 161 --save-directory cluster/Account2/metaopt/runs/caw2 --run-name caw2-ML-s161
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/caw2/probe_caw2-ML-s161 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'Lion_beta2'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Adam momentum_param=0.9 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/caw2/probe_caw2-ML-s161
Epoch 0, Train Accuracy: 1.12 %, Test Accuracy: 2.23 %
Epoch 1, Train Accuracy: 9.40 %, Test Accuracy: 15.70 %
Epoch 2, Train Accuracy: 18.51 %, Test Accuracy: 22.48 %
Epoch 3, Train Accuracy: 24.26 %, Test Accuracy: 26.87 %
Epoch 4, Train Accuracy: 28.74 %, Test Accuracy: 31.76 %
Epoch 5, Train Accuracy: 33.24 %, Test Accuracy: 34.98 %
Epoch 6, Train Accuracy: 37.32 %, Test Accuracy: 39.01 %
Epoch 7, Train Accuracy: 41.36 %, Test Accuracy: 41.99 %
Epoch 8, Train Accuracy: 45.26 %, Test Accuracy: 46.33 %
Epoch 9, Train Accuracy: 48.71 %, Test Accuracy: 47.89 %
Epoch 10, Train Accuracy: 51.66 %, Test Accuracy: 49.99 %
Epoch 11, Train Accuracy: 54.37 %, Test Accuracy: 51.16 %
Epoch 12, Train Accuracy: 56.61 %, Test Accuracy: 52.45 %
Epoch 13, Train Accuracy: 59.22 %, Test Accuracy: 54.71 %
Epoch 14, Train Accuracy: 60.52 %, Test Accuracy: 55.33 %
Epoch 15, Train Accuracy: 63.21 %, Test Accuracy: 57.34 %
Epoch 16, Train Accuracy: 65.06 %, Test Accuracy: 57.84 %
Epoch 17, Train Accuracy: 66.52 %, Test Accuracy: 57.99 %
Epoch 18, Train Accuracy: 68.08 %, Test Accuracy: 58.94 %
Epoch 19, Train Accuracy: 69.54 %, Test Accuracy: 60.11 %
Epoch 20, Train Accuracy: 71.07 %, Test Accuracy: 60.26 %
Epoch 21, Train Accuracy: 72.29 %, Test Accuracy: 61.92 %
Epoch 22, Train Accuracy: 73.69 %, Test Accuracy: 62.05 %
Epoch 23, Train Accuracy: 75.00 %, Test Accuracy: 61.89 %
