NODE=[HOST_f0845cc956] | JOB=cbl1-b55-s1 4892162 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups [55,7] --seed 1 --save-directory cluster/Account2/metaopt/runs/cbl1 --run-name cbl1-b55-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.88 %, Test Accuracy: 0.91 %
Epoch 1, Train Accuracy: 0.98 %, Test Accuracy: 0.92 %
Epoch 2, Train Accuracy: 0.96 %, Test Accuracy: 0.93 %
Epoch 3, Train Accuracy: 0.99 %, Test Accuracy: 0.95 %
Epoch 4, Train Accuracy: 1.04 %, Test Accuracy: 0.94 %
Epoch 5, Train Accuracy: 1.04 %, Test Accuracy: 1.04 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.09 %
Epoch 7, Train Accuracy: 1.26 %, Test Accuracy: 1.65 %
Epoch 8, Train Accuracy: 1.93 %, Test Accuracy: 2.52 %
Epoch 9, Train Accuracy: 2.64 %, Test Accuracy: 3.21 %
Epoch 10, Train Accuracy: 3.35 %, Test Accuracy: 4.44 %
Epoch 11, Train Accuracy: 4.70 %, Test Accuracy: 5.99 %
Epoch 12, Train Accuracy: 6.25 %, Test Accuracy: 7.25 %
Epoch 13, Train Accuracy: 7.58 %, Test Accuracy: 8.51 %
Epoch 14, Train Accuracy: 9.73 %, Test Accuracy: 11.08 %
Epoch 15, Train Accuracy: 11.74 %, Test Accuracy: 12.88 %
Epoch 16, Train Accuracy: 13.41 %, Test Accuracy: 14.10 %
Epoch 17, Train Accuracy: 14.64 %, Test Accuracy: 15.82 %
Epoch 18, Train Accuracy: 16.56 %, Test Accuracy: 17.44 %
Epoch 19, Train Accuracy: 17.91 %, Test Accuracy: 18.99 %
Epoch 20, Train Accuracy: 19.59 %, Test Accuracy: 20.25 %
Epoch 21, Train Accuracy: 20.35 %, Test Accuracy: 20.99 %
Epoch 22, Train Accuracy: 21.04 %, Test Accuracy: 21.17 %
Epoch 23, Train Accuracy: 21.54 %, Test Accuracy: 21.53 %
Epoch 24, Train Accuracy: 21.73 %, Test Accuracy: 21.89 %
Epoch 25, Train Accuracy: 22.11 %, Test Accuracy: 21.88 %
Epoch 26, Train Accuracy: 22.25 %, Test Accuracy: 21.85 %
Epoch 27, Train Accuracy: 22.41 %, Test Accuracy: 22.19 %
Epoch 28, Train Accuracy: 22.51 %, Test Accuracy: 22.17 %
Epoch 29, Train Accuracy: 22.43 %, Test Accuracy: 22.12 %
Epoch 30, Train Accuracy: 22.40 %, Test Accuracy: 22.13 %
Epoch 31, Train Accuracy: 22.48 %, Test Accuracy: 22.23 %
Epoch 32, Train Accuracy: 22.35 %, Test Accuracy: 22.32 %
Epoch 33, Train Accuracy: 22.56 %, Test Accuracy: 22.14 %
Epoch 34, Train Accuracy: 22.49 %, Test Accuracy: 21.98 %
Epoch 35, Train Accuracy: 22.56 %, Test Accuracy: 22.15 %
Epoch 36, Train Accuracy: 22.40 %, Test Accuracy: 22.19 %
Epoch 37, Train Accuracy: 22.57 %, Test Accuracy: 22.13 %
Epoch 38, Train Accuracy: 22.37 %, Test Accuracy: 22.24 %
Epoch 39, Train Accuracy: 22.35 %, Test Accuracy: 22.12 %
Epoch 40, Train Accuracy: 22.39 %, Test Accuracy: 22.31 %
Epoch 41, Train Accuracy: 22.37 %, Test Accuracy: 22.37 %
Epoch 42, Train Accuracy: 22.38 %, Test Accuracy: 22.09 %
Epoch 43, Train Accuracy: 22.48 %, Test Accuracy: 22.00 %
Epoch 44, Train Accuracy: 22.60 %, Test Accuracy: 22.06 %
Epoch 45, Train Accuracy: 22.58 %, Test Accuracy: 22.26 %
Epoch 46, Train Accuracy: 22.44 %, Test Accuracy: 22.20 %
Epoch 47, Train Accuracy: 22.37 %, Test Accuracy: 22.22 %
Epoch 48, Train Accuracy: 22.66 %, Test Accuracy: 22.15 %
Epoch 49, Train Accuracy: 22.58 %, Test Accuracy: 22.15 %
Epoch 50, Train Accuracy: 22.44 %, Test Accuracy: 22.28 %
Epoch 51, Train Accuracy: 22.47 %, Test Accuracy: 22.01 %
Epoch 52, Train Accuracy: 22.38 %, Test Accuracy: 22.16 %
Epoch 53, Train Accuracy: 22.53 %, Test Accuracy: 22.30 %
Epoch 54, Train Accuracy: 22.47 %, Test Accuracy: 22.23 %
Epoch 55, Train Accuracy: 22.42 %, Test Accuracy: 22.24 %
Epoch 56, Train Accuracy: 22.57 %, Test Accuracy: 22.25 %
Epoch 57, Train Accuracy: 22.47 %, Test Accuracy: 22.39 %
Epoch 58, Train Accuracy: 22.58 %, Test Accuracy: 22.12 %
Epoch 59, Train Accuracy: 22.34 %, Test Accuracy: 22.17 %
Epoch 60, Train Accuracy: 22.67 %, Test Accuracy: 22.15 %
Epoch 61, Train Accuracy: 22.51 %, Test Accuracy: 22.22 %
Epoch 62, Train Accuracy: 22.69 %, Test Accuracy: 22.10 %
Epoch 63, Train Accuracy: 22.58 %, Test Accuracy: 22.26 %
Epoch 64, Train Accuracy: 22.49 %, Test Accuracy: 22.37 %
Epoch 65, Train Accuracy: 22.52 %, Test Accuracy: 22.09 %
Epoch 66, Train Accuracy: 22.44 %, Test Accuracy: 22.21 %
Epoch 67, Train Accuracy: 22.32 %, Test Accuracy: 22.13 %
Epoch 68, Train Accuracy: 22.32 %, Test Accuracy: 22.05 %
Epoch 69, Train Accuracy: 22.43 %, Test Accuracy: 22.16 %
Epoch 70, Train Accuracy: 22.64 %, Test Accuracy: 22.09 %
Epoch 71, Train Accuracy: 22.36 %, Test Accuracy: 22.21 %
Epoch 72, Train Accuracy: 22.47 %, Test Accuracy: 22.28 %
Epoch 73, Train Accuracy: 22.55 %, Test Accuracy: 22.26 %
Epoch 74, Train Accuracy: 22.49 %, Test Accuracy: 22.15 %
Epoch 75, Train Accuracy: 22.43 %, Test Accuracy: 22.22 %
Epoch 76, Train Accuracy: 22.46 %, Test Accuracy: 22.11 %
Epoch 77, Train Accuracy: 22.56 %, Test Accuracy: 22.18 %
Epoch 78, Train Accuracy: 22.44 %, Test Accuracy: 21.95 %
Epoch 79, Train Accuracy: 22.66 %, Test Accuracy: 22.25 %
Epoch 80, Train Accuracy: 22.53 %, Test Accuracy: 22.17 %
Epoch 81, Train Accuracy: 22.32 %, Test Accuracy: 22.29 %
Epoch 82, Train Accuracy: 22.55 %, Test Accuracy: 22.29 %
Epoch 83, Train Accuracy: 22.63 %, Test Accuracy: 22.16 %
Epoch 84, Train Accuracy: 22.56 %, Test Accuracy: 22.09 %
Epoch 85, Train Accuracy: 22.56 %, Test Accuracy: 22.13 %
Epoch 86, Train Accuracy: 22.36 %, Test Accuracy: 22.27 %
Epoch 87, Train Accuracy: 22.43 %, Test Accuracy: 22.17 %
Epoch 88, Train Accuracy: 22.41 %, Test Accuracy: 22.13 %
Epoch 89, Train Accuracy: 22.50 %, Test Accuracy: 22.12 %
Epoch 90, Train Accuracy: 22.57 %, Test Accuracy: 22.09 %
Epoch 91, Train Accuracy: 22.35 %, Test Accuracy: 22.18 %
Epoch 92, Train Accuracy: 22.58 %, Test Accuracy: 22.17 %
Epoch 93, Train Accuracy: 22.67 %, Test Accuracy: 22.30 %
Epoch 94, Train Accuracy: 22.51 %, Test Accuracy: 22.06 %
Epoch 95, Train Accuracy: 22.53 %, Test Accuracy: 21.87 %
Epoch 96, Train Accuracy: 22.54 %, Test Accuracy: 22.09 %
Epoch 97, Train Accuracy: 22.54 %, Test Accuracy: 22.36 %
Epoch 98, Train Accuracy: 22.32 %, Test Accuracy: 22.28 %
Epoch 99, Train Accuracy: 22.57 %, Test Accuracy: 22.29 %
42  minutes
RUN_DONE
