NODE=[HOST_06f76743f2] | JOB=cc1-c23-s5 4715644
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk2325 --seed 5 --save-directory cluster/Account1/metaopt/runs/cc1 --run-name cc1-c23-s5
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/cc1/probe_c23_cc1_s5
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.75 %, Test Accuracy: 30.75 %
Epoch 1, Train Accuracy: 34.79 %, Test Accuracy: 38.07 %
Epoch 2, Train Accuracy: 40.38 %, Test Accuracy: 43.81 %
Epoch 3, Train Accuracy: 44.96 %, Test Accuracy: 47.84 %
Epoch 4, Train Accuracy: 49.22 %, Test Accuracy: 52.14 %
Epoch 5, Train Accuracy: 53.39 %, Test Accuracy: 55.51 %
Epoch 6, Train Accuracy: 57.63 %, Test Accuracy: 59.08 %
Epoch 7, Train Accuracy: 60.45 %, Test Accuracy: 62.29 %
Epoch 8, Train Accuracy: 63.48 %, Test Accuracy: 63.32 %
Epoch 9, Train Accuracy: 65.94 %, Test Accuracy: 66.49 %
Epoch 10, Train Accuracy: 69.02 %, Test Accuracy: 70.28 %
Epoch 11, Train Accuracy: 71.77 %, Test Accuracy: 72.09 %
Epoch 12, Train Accuracy: 73.55 %, Test Accuracy: 73.74 %
Epoch 13, Train Accuracy: 75.46 %, Test Accuracy: 75.64 %
Epoch 14, Train Accuracy: 77.30 %, Test Accuracy: 76.14 %
Epoch 15, Train Accuracy: 79.02 %, Test Accuracy: 79.60 %
Epoch 16, Train Accuracy: 80.83 %, Test Accuracy: 79.28 %
Epoch 17, Train Accuracy: 81.78 %, Test Accuracy: 81.29 %
Epoch 18, Train Accuracy: 82.87 %, Test Accuracy: 81.01 %
Epoch 19, Train Accuracy: 83.62 %, Test Accuracy: 83.33 %
Epoch 20, Train Accuracy: 84.73 %, Test Accuracy: 83.38 %
Epoch 21, Train Accuracy: 85.20 %, Test Accuracy: 82.59 %
Epoch 22, Train Accuracy: 86.13 %, Test Accuracy: 83.51 %
Epoch 23, Train Accuracy: 86.16 %, Test Accuracy: 84.58 %
Epoch 24, Train Accuracy: 86.77 %, Test Accuracy: 85.00 %
Epoch 25, Train Accuracy: 87.46 %, Test Accuracy: 82.71 %
Epoch 26, Train Accuracy: 87.73 %, Test Accuracy: 86.30 %
Epoch 27, Train Accuracy: 88.89 %, Test Accuracy: 85.74 %
Epoch 28, Train Accuracy: 89.34 %, Test Accuracy: 85.57 %
Epoch 29, Train Accuracy: 89.63 %, Test Accuracy: 86.19 %
Epoch 30, Train Accuracy: 89.62 %, Test Accuracy: 87.03 %
Epoch 31, Train Accuracy: 90.35 %, Test Accuracy: 88.26 %
Epoch 32, Train Accuracy: 90.92 %, Test Accuracy: 88.57 %
Epoch 33, Train Accuracy: 90.96 %, Test Accuracy: 88.35 %
Epoch 34, Train Accuracy: 91.40 %, Test Accuracy: 85.97 %
Epoch 35, Train Accuracy: 91.22 %, Test Accuracy: 89.58 %
Epoch 36, Train Accuracy: 92.05 %, Test Accuracy: 88.58 %
Epoch 37, Train Accuracy: 91.96 %, Test Accuracy: 87.37 %
Epoch 38, Train Accuracy: 92.39 %, Test Accuracy: 89.08 %
Epoch 39, Train Accuracy: 92.72 %, Test Accuracy: 89.59 %
Epoch 40, Train Accuracy: 93.14 %, Test Accuracy: 88.81 %
Epoch 41, Train Accuracy: 93.17 %, Test Accuracy: 88.50 %
Epoch 42, Train Accuracy: 93.42 %, Test Accuracy: 88.59 %
Epoch 43, Train Accuracy: 93.81 %, Test Accuracy: 88.64 %
Epoch 44, Train Accuracy: 93.69 %, Test Accuracy: 89.09 %
Epoch 45, Train Accuracy: 94.08 %, Test Accuracy: 88.73 %
Epoch 46, Train Accuracy: 94.48 %, Test Accuracy: 89.71 %
Epoch 47, Train Accuracy: 94.74 %, Test Accuracy: 89.88 %
Epoch 48, Train Accuracy: 94.61 %, Test Accuracy: 90.70 %
Epoch 49, Train Accuracy: 95.38 %, Test Accuracy: 90.21 %
Epoch 50, Train Accuracy: 95.27 %, Test Accuracy: 88.85 %
Epoch 51, Train Accuracy: 95.30 %, Test Accuracy: 91.34 %
Epoch 52, Train Accuracy: 95.48 %, Test Accuracy: 89.34 %
Epoch 53, Train Accuracy: 95.61 %, Test Accuracy: 91.06 %
