NODE=[HOST_e8d809bd94] | JOB=cc1-ch-s3 4715634
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk777 --seed 3 --save-directory cluster/Account1/metaopt/runs/cc1 --run-name cc1-ch-s3
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/cc1/probe_ch_cc1_s3
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.61 %, Test Accuracy: 31.09 %
Epoch 1, Train Accuracy: 34.79 %, Test Accuracy: 39.36 %
Epoch 2, Train Accuracy: 40.54 %, Test Accuracy: 43.52 %
Epoch 3, Train Accuracy: 44.60 %, Test Accuracy: 47.58 %
Epoch 4, Train Accuracy: 48.26 %, Test Accuracy: 50.61 %
Epoch 5, Train Accuracy: 52.32 %, Test Accuracy: 54.83 %
Epoch 6, Train Accuracy: 55.52 %, Test Accuracy: 59.61 %
Epoch 7, Train Accuracy: 58.94 %, Test Accuracy: 60.05 %
Epoch 8, Train Accuracy: 61.41 %, Test Accuracy: 63.29 %
Epoch 9, Train Accuracy: 64.57 %, Test Accuracy: 66.11 %
Epoch 10, Train Accuracy: 66.64 %, Test Accuracy: 67.95 %
Epoch 11, Train Accuracy: 69.15 %, Test Accuracy: 70.20 %
Epoch 12, Train Accuracy: 71.40 %, Test Accuracy: 71.60 %
Epoch 13, Train Accuracy: 73.29 %, Test Accuracy: 72.52 %
Epoch 14, Train Accuracy: 75.30 %, Test Accuracy: 75.26 %
Epoch 15, Train Accuracy: 77.09 %, Test Accuracy: 74.28 %
Epoch 16, Train Accuracy: 78.27 %, Test Accuracy: 75.56 %
Epoch 17, Train Accuracy: 80.17 %, Test Accuracy: 80.42 %
Epoch 18, Train Accuracy: 81.23 %, Test Accuracy: 79.96 %
