NODE=[HOST_fd0c0ddbe6] | JOB=cc1-node-s5 4715641
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 5 --save-directory cluster/Account1/metaopt/runs/cc1 --run-name cc1-node-s5
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/cc1/probe_node_cc1_s5
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.90 %, Test Accuracy: 30.94 %
Epoch 1, Train Accuracy: 34.78 %, Test Accuracy: 37.97 %
Epoch 2, Train Accuracy: 40.21 %, Test Accuracy: 43.96 %
Epoch 3, Train Accuracy: 44.80 %, Test Accuracy: 47.91 %
Epoch 4, Train Accuracy: 49.15 %, Test Accuracy: 52.05 %
Epoch 5, Train Accuracy: 53.24 %, Test Accuracy: 55.42 %
Epoch 6, Train Accuracy: 57.24 %, Test Accuracy: 58.98 %
Epoch 7, Train Accuracy: 60.53 %, Test Accuracy: 61.40 %
Epoch 8, Train Accuracy: 63.27 %, Test Accuracy: 64.28 %
Epoch 9, Train Accuracy: 65.53 %, Test Accuracy: 65.23 %
Epoch 10, Train Accuracy: 67.91 %, Test Accuracy: 68.36 %
Epoch 11, Train Accuracy: 70.63 %, Test Accuracy: 70.85 %
Epoch 12, Train Accuracy: 72.81 %, Test Accuracy: 72.98 %
Epoch 13, Train Accuracy: 74.66 %, Test Accuracy: 74.40 %
Epoch 14, Train Accuracy: 76.40 %, Test Accuracy: 75.05 %
Epoch 15, Train Accuracy: 78.12 %, Test Accuracy: 77.42 %
Epoch 16, Train Accuracy: 79.68 %, Test Accuracy: 79.53 %
Epoch 17, Train Accuracy: 80.61 %, Test Accuracy: 79.74 %
Epoch 18, Train Accuracy: 81.85 %, Test Accuracy: 80.72 %
Epoch 19, Train Accuracy: 82.73 %, Test Accuracy: 82.25 %
Epoch 20, Train Accuracy: 84.13 %, Test Accuracy: 82.61 %
Epoch 21, Train Accuracy: 84.20 %, Test Accuracy: 82.41 %
Epoch 22, Train Accuracy: 85.36 %, Test Accuracy: 82.42 %
Epoch 23, Train Accuracy: 85.63 %, Test Accuracy: 83.10 %
Epoch 24, Train Accuracy: 86.20 %, Test Accuracy: 83.92 %
Epoch 25, Train Accuracy: 86.71 %, Test Accuracy: 83.31 %
Epoch 26, Train Accuracy: 87.07 %, Test Accuracy: 84.73 %
Epoch 27, Train Accuracy: 87.95 %, Test Accuracy: 85.57 %
Epoch 28, Train Accuracy: 88.02 %, Test Accuracy: 84.62 %
Epoch 29, Train Accuracy: 88.48 %, Test Accuracy: 85.05 %
Epoch 30, Train Accuracy: 88.69 %, Test Accuracy: 86.43 %
