NODE=[HOST_ae9488be04] | JOB=cct1-k01-s116 5026078 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 116 --save-directory cluster/Account2/metaopt/runs/cct1 --run-name cct1-k01-s116
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cct1/probe_cct1-k01-s116 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cct1/probe_cct1-k01-s116
Epoch 0, Train Accuracy: 7.81 %, Test Accuracy: 7.76 %
Epoch 1, Train Accuracy: 8.03 %, Test Accuracy: 7.92 %
Epoch 2, Train Accuracy: 8.20 %, Test Accuracy: 8.45 %
Epoch 3, Train Accuracy: 8.91 %, Test Accuracy: 9.47 %
Epoch 4, Train Accuracy: 9.93 %, Test Accuracy: 11.11 %
Epoch 5, Train Accuracy: 11.65 %, Test Accuracy: 13.47 %
Epoch 6, Train Accuracy: 13.94 %, Test Accuracy: 16.10 %
Epoch 7, Train Accuracy: 17.13 %, Test Accuracy: 18.56 %
Epoch 8, Train Accuracy: 19.87 %, Test Accuracy: 20.80 %
Epoch 9, Train Accuracy: 22.74 %, Test Accuracy: 24.53 %
Epoch 10, Train Accuracy: 26.51 %, Test Accuracy: 28.93 %
Epoch 11, Train Accuracy: 30.07 %, Test Accuracy: 33.83 %
Epoch 12, Train Accuracy: 33.98 %, Test Accuracy: 37.43 %
Epoch 13, Train Accuracy: 38.03 %, Test Accuracy: 42.20 %
Epoch 14, Train Accuracy: 43.02 %, Test Accuracy: 46.22 %
Epoch 15, Train Accuracy: 48.36 %, Test Accuracy: 51.80 %
Epoch 16, Train Accuracy: 53.79 %, Test Accuracy: 56.86 %
Epoch 17, Train Accuracy: 59.88 %, Test Accuracy: 63.54 %
Epoch 18, Train Accuracy: 65.38 %, Test Accuracy: 67.61 %
Epoch 19, Train Accuracy: 69.49 %, Test Accuracy: 70.09 %
Epoch 20, Train Accuracy: 72.10 %, Test Accuracy: 73.58 %
Epoch 21, Train Accuracy: 74.03 %, Test Accuracy: 73.51 %
Epoch 22, Train Accuracy: 76.14 %, Test Accuracy: 77.20 %
