NODE=[HOST_e8d809bd94] | JOB=cfr1-sc-C-s1 4912749 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 1 --save-directory cluster/Account2/metaopt/runs/cfr1 --run-name cfr1-sc-C-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cfr1/probe_cfr1-sc-C-s1 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.37 %, Test Accuracy: 30.60 %
Epoch 1, Train Accuracy: 37.24 %, Test Accuracy: 43.17 %
Epoch 2, Train Accuracy: 45.47 %, Test Accuracy: 48.98 %
Epoch 3, Train Accuracy: 52.62 %, Test Accuracy: 54.35 %
Epoch 4, Train Accuracy: 60.80 %, Test Accuracy: 63.31 %
Epoch 5, Train Accuracy: 67.18 %, Test Accuracy: 68.26 %
Epoch 6, Train Accuracy: 71.13 %, Test Accuracy: 72.50 %
Epoch 7, Train Accuracy: 74.67 %, Test Accuracy: 75.65 %
Epoch 8, Train Accuracy: 76.61 %, Test Accuracy: 76.85 %
Epoch 9, Train Accuracy: 78.48 %, Test Accuracy: 78.12 %
Epoch 10, Train Accuracy: 79.86 %, Test Accuracy: 80.36 %
Epoch 11, Train Accuracy: 81.09 %, Test Accuracy: 80.57 %
Epoch 12, Train Accuracy: 82.03 %, Test Accuracy: 81.04 %
Epoch 13, Train Accuracy: 83.06 %, Test Accuracy: 81.85 %
Epoch 14, Train Accuracy: 83.82 %, Test Accuracy: 82.68 %
Epoch 15, Train Accuracy: 84.49 %, Test Accuracy: 83.21 %
Epoch 16, Train Accuracy: 84.89 %, Test Accuracy: 83.23 %
Epoch 17, Train Accuracy: 85.12 %, Test Accuracy: 83.58 %
Epoch 18, Train Accuracy: 85.91 %, Test Accuracy: 84.31 %
Epoch 19, Train Accuracy: 86.35 %, Test Accuracy: 84.19 %
Epoch 20, Train Accuracy: 86.82 %, Test Accuracy: 84.92 %
Epoch 21, Train Accuracy: 86.86 %, Test Accuracy: 85.18 %
Epoch 22, Train Accuracy: 87.24 %, Test Accuracy: 84.98 %
Epoch 23, Train Accuracy: 87.44 %, Test Accuracy: 85.04 %
Epoch 24, Train Accuracy: 87.99 %, Test Accuracy: 85.40 %
Epoch 25, Train Accuracy: 88.22 %, Test Accuracy: 85.43 %
Epoch 26, Train Accuracy: 88.44 %, Test Accuracy: 85.44 %
Epoch 27, Train Accuracy: 88.74 %, Test Accuracy: 85.94 %
Epoch 28, Train Accuracy: 88.90 %, Test Accuracy: 86.06 %
Epoch 29, Train Accuracy: 89.17 %, Test Accuracy: 86.02 %
Epoch 30, Train Accuracy: 89.40 %, Test Accuracy: 85.93 %
Epoch 31, Train Accuracy: 89.52 %, Test Accuracy: 86.10 %
Epoch 32, Train Accuracy: 89.60 %, Test Accuracy: 86.43 %
Epoch 33, Train Accuracy: 89.78 %, Test Accuracy: 86.56 %
Epoch 34, Train Accuracy: 89.96 %, Test Accuracy: 86.38 %
Epoch 35, Train Accuracy: 90.10 %, Test Accuracy: 86.73 %
Epoch 36, Train Accuracy: 90.34 %, Test Accuracy: 85.90 %
Epoch 37, Train Accuracy: 90.24 %, Test Accuracy: 86.25 %
Epoch 38, Train Accuracy: 90.43 %, Test Accuracy: 86.58 %
Epoch 39, Train Accuracy: 90.85 %, Test Accuracy: 86.66 %
Epoch 40, Train Accuracy: 90.87 %, Test Accuracy: 86.67 %
Epoch 41, Train Accuracy: 90.78 %, Test Accuracy: 86.56 %
Epoch 42, Train Accuracy: 91.18 %, Test Accuracy: 86.87 %
Epoch 43, Train Accuracy: 90.98 %, Test Accuracy: 87.17 %
Epoch 44, Train Accuracy: 91.16 %, Test Accuracy: 87.00 %
Epoch 45, Train Accuracy: 91.27 %, Test Accuracy: 87.01 %
Epoch 46, Train Accuracy: 91.52 %, Test Accuracy: 86.90 %
Epoch 47, Train Accuracy: 91.50 %, Test Accuracy: 87.05 %
Epoch 48, Train Accuracy: 91.57 %, Test Accuracy: 86.57 %
Epoch 49, Train Accuracy: 91.65 %, Test Accuracy: 87.30 %
Epoch 50, Train Accuracy: 91.89 %, Test Accuracy: 87.23 %
Epoch 51, Train Accuracy: 91.88 %, Test Accuracy: 86.93 %
Epoch 52, Train Accuracy: 91.91 %, Test Accuracy: 87.06 %
Epoch 53, Train Accuracy: 92.11 %, Test Accuracy: 87.01 %
Epoch 54, Train Accuracy: 92.11 %, Test Accuracy: 87.10 %
Epoch 55, Train Accuracy: 92.19 %, Test Accuracy: 87.32 %
Epoch 56, Train Accuracy: 92.42 %, Test Accuracy: 87.02 %
Epoch 57, Train Accuracy: 92.38 %, Test Accuracy: 87.12 %
Epoch 58, Train Accuracy: 92.36 %, Test Accuracy: 87.61 %
Epoch 59, Train Accuracy: 92.56 %, Test Accuracy: 87.32 %
Epoch 60, Train Accuracy: 92.66 %, Test Accuracy: 87.50 %
Epoch 61, Train Accuracy: 92.64 %, Test Accuracy: 87.30 %
Epoch 62, Train Accuracy: 92.68 %, Test Accuracy: 87.30 %
Epoch 63, Train Accuracy: 92.54 %, Test Accuracy: 87.48 %
Epoch 64, Train Accuracy: 92.84 %, Test Accuracy: 87.66 %
Epoch 65, Train Accuracy: 92.88 %, Test Accuracy: 87.54 %
Epoch 66, Train Accuracy: 92.88 %, Test Accuracy: 87.38 %
Epoch 67, Train Accuracy: 92.92 %, Test Accuracy: 87.43 %
Epoch 68, Train Accuracy: 93.14 %, Test Accuracy: 87.45 %
Epoch 69, Train Accuracy: 92.95 %, Test Accuracy: 87.66 %
Epoch 70, Train Accuracy: 93.10 %, Test Accuracy: 87.57 %
Epoch 71, Train Accuracy: 93.18 %, Test Accuracy: 87.87 %
Epoch 72, Train Accuracy: 93.26 %, Test Accuracy: 87.69 %
Epoch 73, Train Accuracy: 93.15 %, Test Accuracy: 87.30 %
Epoch 74, Train Accuracy: 93.32 %, Test Accuracy: 87.75 %
Epoch 75, Train Accuracy: 93.27 %, Test Accuracy: 87.59 %
Epoch 76, Train Accuracy: 93.36 %, Test Accuracy: 87.75 %
Epoch 77, Train Accuracy: 93.34 %, Test Accuracy: 87.77 %
Epoch 78, Train Accuracy: 93.24 %, Test Accuracy: 87.77 %
Epoch 79, Train Accuracy: 93.50 %, Test Accuracy: 87.64 %
Epoch 80, Train Accuracy: 93.55 %, Test Accuracy: 87.61 %
Epoch 81, Train Accuracy: 93.48 %, Test Accuracy: 87.81 %
Epoch 82, Train Accuracy: 93.61 %, Test Accuracy: 87.52 %
Epoch 83, Train Accuracy: 93.56 %, Test Accuracy: 87.91 %
Epoch 84, Train Accuracy: 93.93 %, Test Accuracy: 87.59 %
Epoch 85, Train Accuracy: 93.81 %, Test Accuracy: 87.90 %
Epoch 86, Train Accuracy: 93.83 %, Test Accuracy: 87.81 %
Epoch 87, Train Accuracy: 93.69 %, Test Accuracy: 87.79 %
Epoch 88, Train Accuracy: 93.79 %, Test Accuracy: 87.80 %
Epoch 89, Train Accuracy: 93.94 %, Test Accuracy: 87.79 %
Epoch 90, Train Accuracy: 93.91 %, Test Accuracy: 87.89 %
Epoch 91, Train Accuracy: 93.84 %, Test Accuracy: 87.60 %
Epoch 92, Train Accuracy: 94.00 %, Test Accuracy: 87.80 %
Epoch 93, Train Accuracy: 94.11 %, Test Accuracy: 87.69 %
Epoch 94, Train Accuracy: 94.03 %, Test Accuracy: 87.58 %
Epoch 95, Train Accuracy: 93.97 %, Test Accuracy: 87.94 %
Epoch 96, Train Accuracy: 94.04 %, Test Accuracy: 87.92 %
Epoch 97, Train Accuracy: 94.11 %, Test Accuracy: 87.97 %
Epoch 98, Train Accuracy: 94.11 %, Test Accuracy: 87.91 %
Epoch 99, Train Accuracy: 94.04 %, Test Accuracy: 87.90 %
42  minutes
RUN_DONE
