NODE=[HOST_3c1b003035] | JOB=cgn1-kL-s60 5014611 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_gn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 60 --save-directory cluster/Account2/metaopt/runs/cgn1 --run-name cgn1-kL-s60
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cgn1/probe_cgn1-kL-s60 EB_RHO=na EB_LOG=0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cgn1/probe_cgn1-kL-s60
Epoch 0, Train Accuracy: 1.01 %, Test Accuracy: 0.98 %
Epoch 1, Train Accuracy: 1.02 %, Test Accuracy: 0.97 %
Epoch 2, Train Accuracy: 1.00 %, Test Accuracy: 1.00 %
Epoch 3, Train Accuracy: 1.02 %, Test Accuracy: 1.00 %
Epoch 4, Train Accuracy: 1.02 %, Test Accuracy: 1.03 %
Epoch 5, Train Accuracy: 1.07 %, Test Accuracy: 1.04 %
Epoch 6, Train Accuracy: 1.19 %, Test Accuracy: 1.21 %
Epoch 7, Train Accuracy: 1.15 %, Test Accuracy: 1.07 %
Epoch 8, Train Accuracy: 1.17 %, Test Accuracy: 1.25 %
Epoch 9, Train Accuracy: 1.27 %, Test Accuracy: 1.24 %
Epoch 10, Train Accuracy: 1.60 %, Test Accuracy: 1.64 %
Epoch 11, Train Accuracy: 1.87 %, Test Accuracy: 2.16 %
Epoch 12, Train Accuracy: 2.75 %, Test Accuracy: 3.61 %
Epoch 13, Train Accuracy: 4.03 %, Test Accuracy: 4.41 %
Epoch 14, Train Accuracy: 4.88 %, Test Accuracy: 6.01 %
Epoch 15, Train Accuracy: 6.60 %, Test Accuracy: 7.75 %
Epoch 16, Train Accuracy: 8.91 %, Test Accuracy: 9.51 %
Epoch 17, Train Accuracy: 9.95 %, Test Accuracy: 9.90 %
Epoch 18, Train Accuracy: 12.56 %, Test Accuracy: 11.94 %
Epoch 19, Train Accuracy: 13.87 %, Test Accuracy: 14.32 %
Epoch 20, Train Accuracy: 15.95 %, Test Accuracy: 14.06 %
Epoch 21, Train Accuracy: 17.08 %, Test Accuracy: 18.22 %
Epoch 22, Train Accuracy: 18.72 %, Test Accuracy: 16.36 %
