NODE=[HOST_fd0c0ddbe6] | JOB=cgn2-ONE-s74 5018251 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_gn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-62/layer4.0.bn2.weight --seed 74 --save-directory cluster/Account2/metaopt/runs/cgn2 --run-name cgn2-ONE-s74
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cgn2/probe_cgn2-ONE-s74 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cgn2/probe_cgn2-ONE-s74
Epoch 0, Train Accuracy: 1.00 %, Test Accuracy: 1.00 %
Epoch 1, Train Accuracy: 1.00 %, Test Accuracy: 1.00 %
Epoch 2, Train Accuracy: 1.01 %, Test Accuracy: 1.00 %
Epoch 3, Train Accuracy: 1.00 %, Test Accuracy: 1.02 %
Epoch 4, Train Accuracy: 1.04 %, Test Accuracy: 1.00 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 1.00 %
Epoch 6, Train Accuracy: 0.94 %, Test Accuracy: 1.06 %
Epoch 7, Train Accuracy: 0.93 %, Test Accuracy: 0.97 %
Epoch 8, Train Accuracy: 0.99 %, Test Accuracy: 1.10 %
Epoch 9, Train Accuracy: 1.12 %, Test Accuracy: 1.42 %
Epoch 10, Train Accuracy: 1.37 %, Test Accuracy: 1.61 %
Epoch 11, Train Accuracy: 1.88 %, Test Accuracy: 2.82 %
Epoch 12, Train Accuracy: 2.70 %, Test Accuracy: 3.18 %
Epoch 13, Train Accuracy: 3.93 %, Test Accuracy: 5.09 %
Epoch 14, Train Accuracy: 5.88 %, Test Accuracy: 6.98 %
Epoch 15, Train Accuracy: 6.56 %, Test Accuracy: 6.66 %
Epoch 16, Train Accuracy: 7.69 %, Test Accuracy: 8.84 %
Epoch 17, Train Accuracy: 8.92 %, Test Accuracy: 9.53 %
Epoch 18, Train Accuracy: 10.33 %, Test Accuracy: 11.38 %
Epoch 19, Train Accuracy: 11.12 %, Test Accuracy: 11.01 %
Epoch 20, Train Accuracy: 12.63 %, Test Accuracy: 12.27 %
Epoch 21, Train Accuracy: 12.86 %, Test Accuracy: 11.38 %
Epoch 22, Train Accuracy: 13.91 %, Test Accuracy: 12.39 %
Epoch 23, Train Accuracy: 14.58 %, Test Accuracy: 14.38 %
Epoch 24, Train Accuracy: 15.65 %, Test Accuracy: 14.87 %
Epoch 25, Train Accuracy: 15.68 %, Test Accuracy: 14.26 %
Epoch 26, Train Accuracy: 16.56 %, Test Accuracy: 14.00 %
Epoch 27, Train Accuracy: 17.09 %, Test Accuracy: 15.97 %
Epoch 28, Train Accuracy: 17.60 %, Test Accuracy: 15.26 %
Epoch 29, Train Accuracy: 18.77 %, Test Accuracy: 16.73 %
Epoch 30, Train Accuracy: 18.57 %, Test Accuracy: 15.41 %
Epoch 31, Train Accuracy: 19.28 %, Test Accuracy: 18.46 %
Epoch 32, Train Accuracy: 19.94 %, Test Accuracy: 19.04 %
Epoch 33, Train Accuracy: 20.48 %, Test Accuracy: 17.06 %
Epoch 34, Train Accuracy: 20.90 %, Test Accuracy: 19.32 %
Epoch 35, Train Accuracy: 20.47 %, Test Accuracy: 20.30 %
Epoch 36, Train Accuracy: 22.09 %, Test Accuracy: 19.80 %
Epoch 37, Train Accuracy: 21.81 %, Test Accuracy: 20.05 %
Epoch 38, Train Accuracy: 22.86 %, Test Accuracy: 18.93 %
Epoch 39, Train Accuracy: 22.35 %, Test Accuracy: 21.67 %
Epoch 40, Train Accuracy: 23.56 %, Test Accuracy: 22.20 %
Epoch 41, Train Accuracy: 23.77 %, Test Accuracy: 21.50 %
Epoch 42, Train Accuracy: 23.84 %, Test Accuracy: 22.87 %
Epoch 43, Train Accuracy: 25.07 %, Test Accuracy: 22.82 %
Epoch 44, Train Accuracy: 24.83 %, Test Accuracy: 22.23 %
Epoch 45, Train Accuracy: 24.63 %, Test Accuracy: 23.40 %
Epoch 46, Train Accuracy: 26.22 %, Test Accuracy: 23.77 %
Epoch 47, Train Accuracy: 25.93 %, Test Accuracy: 24.30 %
Epoch 48, Train Accuracy: 26.15 %, Test Accuracy: 21.51 %
Epoch 49, Train Accuracy: 26.90 %, Test Accuracy: 24.68 %
Epoch 50, Train Accuracy: 27.59 %, Test Accuracy: 21.94 %
Epoch 51, Train Accuracy: 27.37 %, Test Accuracy: 23.68 %
Epoch 52, Train Accuracy: 27.44 %, Test Accuracy: 23.68 %
Epoch 53, Train Accuracy: 28.98 %, Test Accuracy: 25.57 %
Epoch 54, Train Accuracy: 27.42 %, Test Accuracy: 21.97 %
Epoch 55, Train Accuracy: 28.56 %, Test Accuracy: 27.20 %
Epoch 56, Train Accuracy: 29.50 %, Test Accuracy: 27.41 %
Epoch 57, Train Accuracy: 29.73 %, Test Accuracy: 26.61 %
Epoch 58, Train Accuracy: 29.70 %, Test Accuracy: 27.18 %
Epoch 59, Train Accuracy: 30.21 %, Test Accuracy: 29.50 %
Epoch 60, Train Accuracy: 30.14 %, Test Accuracy: 28.28 %
Epoch 61, Train Accuracy: 31.77 %, Test Accuracy: 28.55 %
Epoch 62, Train Accuracy: 30.80 %, Test Accuracy: 26.68 %
Epoch 63, Train Accuracy: 32.39 %, Test Accuracy: 26.84 %
Epoch 64, Train Accuracy: 31.82 %, Test Accuracy: 28.48 %
Epoch 65, Train Accuracy: 32.76 %, Test Accuracy: 30.67 %
Epoch 66, Train Accuracy: 32.05 %, Test Accuracy: 31.37 %
Epoch 67, Train Accuracy: 33.80 %, Test Accuracy: 30.94 %
Epoch 68, Train Accuracy: 34.17 %, Test Accuracy: 30.37 %
Epoch 69, Train Accuracy: 33.71 %, Test Accuracy: 29.48 %
Epoch 70, Train Accuracy: 34.91 %, Test Accuracy: 30.49 %
Epoch 71, Train Accuracy: 34.66 %, Test Accuracy: 31.29 %
Epoch 72, Train Accuracy: 34.72 %, Test Accuracy: 29.90 %
Epoch 73, Train Accuracy: 36.13 %, Test Accuracy: 31.52 %
Epoch 74, Train Accuracy: 35.87 %, Test Accuracy: 31.73 %
Epoch 75, Train Accuracy: 36.19 %, Test Accuracy: 34.02 %
Epoch 76, Train Accuracy: 36.37 %, Test Accuracy: 33.98 %
Epoch 77, Train Accuracy: 37.53 %, Test Accuracy: 32.01 %
