NODE=[HOST_b9efa05339] | JOB=cgn2-kL-s74 5018248 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_gn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 74 --save-directory cluster/Account2/metaopt/runs/cgn2 --run-name cgn2-kL-s74
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cgn2/probe_cgn2-kL-s74 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cgn2/probe_cgn2-kL-s74
Epoch 0, Train Accuracy: 1.00 %, Test Accuracy: 1.00 %
Epoch 1, Train Accuracy: 1.00 %, Test Accuracy: 1.00 %
Epoch 2, Train Accuracy: 1.01 %, Test Accuracy: 1.00 %
Epoch 3, Train Accuracy: 1.00 %, Test Accuracy: 1.02 %
Epoch 4, Train Accuracy: 1.04 %, Test Accuracy: 1.00 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 1.00 %
Epoch 6, Train Accuracy: 0.94 %, Test Accuracy: 1.06 %
Epoch 7, Train Accuracy: 0.93 %, Test Accuracy: 0.98 %
Epoch 8, Train Accuracy: 0.98 %, Test Accuracy: 1.09 %
Epoch 9, Train Accuracy: 1.11 %, Test Accuracy: 1.38 %
Epoch 10, Train Accuracy: 1.37 %, Test Accuracy: 1.57 %
Epoch 11, Train Accuracy: 1.88 %, Test Accuracy: 2.71 %
Epoch 12, Train Accuracy: 2.70 %, Test Accuracy: 3.20 %
Epoch 13, Train Accuracy: 3.93 %, Test Accuracy: 5.00 %
Epoch 14, Train Accuracy: 5.82 %, Test Accuracy: 6.77 %
Epoch 15, Train Accuracy: 6.69 %, Test Accuracy: 7.63 %
Epoch 16, Train Accuracy: 8.31 %, Test Accuracy: 7.76 %
Epoch 17, Train Accuracy: 10.22 %, Test Accuracy: 10.15 %
Epoch 18, Train Accuracy: 11.02 %, Test Accuracy: 12.14 %
Epoch 19, Train Accuracy: 13.33 %, Test Accuracy: 11.69 %
Epoch 20, Train Accuracy: 15.38 %, Test Accuracy: 14.27 %
Epoch 21, Train Accuracy: 17.56 %, Test Accuracy: 17.19 %
Epoch 22, Train Accuracy: 17.64 %, Test Accuracy: 19.01 %
Epoch 23, Train Accuracy: 20.19 %, Test Accuracy: 18.53 %
Epoch 24, Train Accuracy: 21.45 %, Test Accuracy: 18.07 %
Epoch 25, Train Accuracy: 22.68 %, Test Accuracy: 22.38 %
Epoch 26, Train Accuracy: 21.84 %, Test Accuracy: 19.99 %
Epoch 27, Train Accuracy: 25.02 %, Test Accuracy: 22.72 %
Epoch 28, Train Accuracy: 24.43 %, Test Accuracy: 23.62 %
Epoch 29, Train Accuracy: 25.63 %, Test Accuracy: 23.88 %
Epoch 30, Train Accuracy: 26.70 %, Test Accuracy: 25.39 %
Epoch 31, Train Accuracy: 28.00 %, Test Accuracy: 24.03 %
Epoch 32, Train Accuracy: 28.15 %, Test Accuracy: 26.68 %
Epoch 33, Train Accuracy: 29.26 %, Test Accuracy: 25.45 %
Epoch 34, Train Accuracy: 30.08 %, Test Accuracy: 26.26 %
Epoch 35, Train Accuracy: 29.91 %, Test Accuracy: 26.33 %
Epoch 36, Train Accuracy: 30.77 %, Test Accuracy: 28.99 %
Epoch 37, Train Accuracy: 32.13 %, Test Accuracy: 28.75 %
Epoch 38, Train Accuracy: 32.43 %, Test Accuracy: 27.98 %
Epoch 39, Train Accuracy: 32.83 %, Test Accuracy: 31.36 %
Epoch 40, Train Accuracy: 33.27 %, Test Accuracy: 28.93 %
Epoch 41, Train Accuracy: 35.04 %, Test Accuracy: 31.20 %
Epoch 42, Train Accuracy: 35.53 %, Test Accuracy: 33.34 %
Epoch 43, Train Accuracy: 34.87 %, Test Accuracy: 33.22 %
Epoch 44, Train Accuracy: 36.57 %, Test Accuracy: 32.41 %
Epoch 45, Train Accuracy: 37.30 %, Test Accuracy: 34.29 %
Epoch 46, Train Accuracy: 37.12 %, Test Accuracy: 33.91 %
Epoch 47, Train Accuracy: 37.78 %, Test Accuracy: 33.21 %
Epoch 48, Train Accuracy: 39.05 %, Test Accuracy: 34.16 %
Epoch 49, Train Accuracy: 39.44 %, Test Accuracy: 34.35 %
Epoch 50, Train Accuracy: 38.65 %, Test Accuracy: 33.32 %
Epoch 51, Train Accuracy: 40.47 %, Test Accuracy: 34.26 %
Epoch 52, Train Accuracy: 40.70 %, Test Accuracy: 35.81 %
Epoch 53, Train Accuracy: 41.76 %, Test Accuracy: 36.38 %
Epoch 54, Train Accuracy: 42.25 %, Test Accuracy: 35.73 %
Epoch 55, Train Accuracy: 41.83 %, Test Accuracy: 38.57 %
Epoch 56, Train Accuracy: 43.83 %, Test Accuracy: 37.88 %
Epoch 57, Train Accuracy: 43.56 %, Test Accuracy: 40.19 %
Epoch 58, Train Accuracy: 43.61 %, Test Accuracy: 40.64 %
Epoch 59, Train Accuracy: 45.34 %, Test Accuracy: 42.07 %
Epoch 60, Train Accuracy: 44.53 %, Test Accuracy: 39.58 %
Epoch 61, Train Accuracy: 46.77 %, Test Accuracy: 41.98 %
Epoch 62, Train Accuracy: 46.74 %, Test Accuracy: 40.04 %
Epoch 63, Train Accuracy: 46.47 %, Test Accuracy: 39.77 %
Epoch 64, Train Accuracy: 47.79 %, Test Accuracy: 41.87 %
Epoch 65, Train Accuracy: 47.46 %, Test Accuracy: 44.00 %
Epoch 66, Train Accuracy: 48.91 %, Test Accuracy: 39.37 %
Epoch 67, Train Accuracy: 49.20 %, Test Accuracy: 41.08 %
Epoch 68, Train Accuracy: 48.85 %, Test Accuracy: 42.17 %
Epoch 69, Train Accuracy: 50.31 %, Test Accuracy: 42.10 %
Epoch 70, Train Accuracy: 50.93 %, Test Accuracy: 43.91 %
Epoch 71, Train Accuracy: 51.79 %, Test Accuracy: 44.51 %
Epoch 72, Train Accuracy: 51.64 %, Test Accuracy: 47.02 %
Epoch 73, Train Accuracy: 52.67 %, Test Accuracy: 45.98 %
Epoch 74, Train Accuracy: 52.53 %, Test Accuracy: 46.34 %
Epoch 75, Train Accuracy: 53.29 %, Test Accuracy: 48.15 %
Epoch 76, Train Accuracy: 54.90 %, Test Accuracy: 48.04 %
Epoch 77, Train Accuracy: 54.71 %, Test Accuracy: 46.36 %
Epoch 78, Train Accuracy: 54.33 %, Test Accuracy: 50.12 %
