NODE=[HOST_03eb56b6d1] | JOB=cgn3-k01-s83 5019073 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_gn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 430 --stepsize-groups scalar --seed 83 --save-directory cluster/Account2/metaopt/runs/cgn3 --run-name cgn3-k01-s83
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cgn3/probe_cgn3-k01-s83 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cgn3/probe_cgn3-k01-s83
Epoch 0, Train Accuracy: 0.99 %, Test Accuracy: 1.01 %
Epoch 1, Train Accuracy: 1.00 %, Test Accuracy: 0.99 %
Epoch 2, Train Accuracy: 1.03 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 0.99 %
Epoch 4, Train Accuracy: 1.01 %, Test Accuracy: 1.03 %
Epoch 5, Train Accuracy: 1.09 %, Test Accuracy: 0.95 %
Epoch 6, Train Accuracy: 1.04 %, Test Accuracy: 0.99 %
Epoch 7, Train Accuracy: 0.97 %, Test Accuracy: 0.96 %
Epoch 8, Train Accuracy: 1.10 %, Test Accuracy: 1.19 %
Epoch 9, Train Accuracy: 1.08 %, Test Accuracy: 1.03 %
Epoch 10, Train Accuracy: 1.39 %, Test Accuracy: 1.55 %
Epoch 11, Train Accuracy: 1.91 %, Test Accuracy: 1.83 %
Epoch 12, Train Accuracy: 2.70 %, Test Accuracy: 3.87 %
Epoch 13, Train Accuracy: 3.91 %, Test Accuracy: 5.21 %
Epoch 14, Train Accuracy: 4.98 %, Test Accuracy: 4.52 %
Epoch 15, Train Accuracy: 6.19 %, Test Accuracy: 4.37 %
Epoch 16, Train Accuracy: 7.24 %, Test Accuracy: 8.92 %
Epoch 17, Train Accuracy: 9.36 %, Test Accuracy: 10.35 %
Epoch 18, Train Accuracy: 10.05 %, Test Accuracy: 9.94 %
Epoch 19, Train Accuracy: 11.08 %, Test Accuracy: 11.36 %
Epoch 20, Train Accuracy: 12.28 %, Test Accuracy: 11.31 %
Epoch 21, Train Accuracy: 12.24 %, Test Accuracy: 10.82 %
Epoch 22, Train Accuracy: 13.05 %, Test Accuracy: 12.16 %
Epoch 23, Train Accuracy: 13.48 %, Test Accuracy: 12.46 %
Epoch 24, Train Accuracy: 13.33 %, Test Accuracy: 12.72 %
Epoch 25, Train Accuracy: 13.73 %, Test Accuracy: 11.71 %
Epoch 26, Train Accuracy: 14.01 %, Test Accuracy: 12.46 %
Epoch 27, Train Accuracy: 14.28 %, Test Accuracy: 12.57 %
Epoch 28, Train Accuracy: 14.21 %, Test Accuracy: 12.70 %
Epoch 29, Train Accuracy: 14.41 %, Test Accuracy: 12.51 %
Epoch 30, Train Accuracy: 14.79 %, Test Accuracy: 12.98 %
Epoch 31, Train Accuracy: 14.66 %, Test Accuracy: 12.95 %
Epoch 32, Train Accuracy: 14.82 %, Test Accuracy: 13.24 %
Epoch 33, Train Accuracy: 14.86 %, Test Accuracy: 12.82 %
Epoch 34, Train Accuracy: 15.01 %, Test Accuracy: 13.33 %
Epoch 35, Train Accuracy: 15.10 %, Test Accuracy: 13.04 %
Epoch 36, Train Accuracy: 14.94 %, Test Accuracy: 13.01 %
Epoch 37, Train Accuracy: 15.20 %, Test Accuracy: 12.94 %
Epoch 38, Train Accuracy: 15.34 %, Test Accuracy: 13.10 %
