NODE=[HOST_b0a55dfb8c] | JOB=cgn3-kL-s83 5019074 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_gn_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 430 --stepsize-groups layerwise --seed 83 --save-directory cluster/Account2/metaopt/runs/cgn3 --run-name cgn3-kL-s83
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cgn3/probe_cgn3-kL-s83 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cgn3/probe_cgn3-kL-s83
Epoch 0, Train Accuracy: 0.99 %, Test Accuracy: 1.01 %
Epoch 1, Train Accuracy: 1.00 %, Test Accuracy: 0.99 %
Epoch 2, Train Accuracy: 1.03 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 0.99 %
Epoch 4, Train Accuracy: 1.01 %, Test Accuracy: 1.03 %
Epoch 5, Train Accuracy: 1.09 %, Test Accuracy: 0.96 %
Epoch 6, Train Accuracy: 1.04 %, Test Accuracy: 0.99 %
Epoch 7, Train Accuracy: 0.97 %, Test Accuracy: 0.96 %
Epoch 8, Train Accuracy: 1.10 %, Test Accuracy: 1.20 %
Epoch 9, Train Accuracy: 1.08 %, Test Accuracy: 1.04 %
Epoch 10, Train Accuracy: 1.38 %, Test Accuracy: 1.50 %
Epoch 11, Train Accuracy: 1.96 %, Test Accuracy: 1.85 %
Epoch 12, Train Accuracy: 2.76 %, Test Accuracy: 3.96 %
Epoch 13, Train Accuracy: 3.95 %, Test Accuracy: 5.16 %
Epoch 14, Train Accuracy: 4.97 %, Test Accuracy: 6.96 %
Epoch 15, Train Accuracy: 6.63 %, Test Accuracy: 5.90 %
Epoch 16, Train Accuracy: 8.07 %, Test Accuracy: 7.98 %
Epoch 17, Train Accuracy: 10.16 %, Test Accuracy: 10.40 %
Epoch 18, Train Accuracy: 11.09 %, Test Accuracy: 12.28 %
Epoch 19, Train Accuracy: 14.18 %, Test Accuracy: 14.38 %
Epoch 20, Train Accuracy: 14.43 %, Test Accuracy: 13.53 %
Epoch 21, Train Accuracy: 16.27 %, Test Accuracy: 14.49 %
Epoch 22, Train Accuracy: 18.06 %, Test Accuracy: 17.40 %
Epoch 23, Train Accuracy: 19.21 %, Test Accuracy: 17.70 %
Epoch 24, Train Accuracy: 20.43 %, Test Accuracy: 16.00 %
Epoch 25, Train Accuracy: 20.77 %, Test Accuracy: 18.70 %
Epoch 26, Train Accuracy: 21.87 %, Test Accuracy: 21.28 %
Epoch 27, Train Accuracy: 23.51 %, Test Accuracy: 20.91 %
Epoch 28, Train Accuracy: 23.88 %, Test Accuracy: 21.97 %
Epoch 29, Train Accuracy: 24.85 %, Test Accuracy: 22.81 %
Epoch 30, Train Accuracy: 25.15 %, Test Accuracy: 22.07 %
Epoch 31, Train Accuracy: 26.06 %, Test Accuracy: 23.89 %
Epoch 32, Train Accuracy: 26.53 %, Test Accuracy: 25.47 %
Epoch 33, Train Accuracy: 27.98 %, Test Accuracy: 24.83 %
Epoch 34, Train Accuracy: 27.40 %, Test Accuracy: 24.96 %
Epoch 35, Train Accuracy: 29.39 %, Test Accuracy: 24.99 %
Epoch 36, Train Accuracy: 29.61 %, Test Accuracy: 24.90 %
Epoch 37, Train Accuracy: 29.94 %, Test Accuracy: 27.39 %
Epoch 38, Train Accuracy: 31.03 %, Test Accuracy: 26.42 %
