NODE=[HOST_e223b82d71] | JOB=cgw1-chW1-s153 5079335 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk777 --seed 153 --save-directory cluster/Account2/metaopt/runs/cgw1 --run-name cgw1-chW1-s153
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cgw1/probe_cgw1-chW1-s153 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.69 %, Test Accuracy: 28.49 %
Epoch 1, Train Accuracy: 33.88 %, Test Accuracy: 38.94 %
Epoch 2, Train Accuracy: 40.70 %, Test Accuracy: 44.86 %
Epoch 3, Train Accuracy: 46.14 %, Test Accuracy: 49.12 %
Epoch 4, Train Accuracy: 50.27 %, Test Accuracy: 52.22 %
Epoch 5, Train Accuracy: 53.89 %, Test Accuracy: 55.96 %
Epoch 6, Train Accuracy: 57.35 %, Test Accuracy: 59.59 %
Epoch 7, Train Accuracy: 60.16 %, Test Accuracy: 60.81 %
Epoch 8, Train Accuracy: 62.47 %, Test Accuracy: 63.79 %
Epoch 9, Train Accuracy: 65.21 %, Test Accuracy: 64.85 %
Epoch 10, Train Accuracy: 67.55 %, Test Accuracy: 68.96 %
Epoch 11, Train Accuracy: 69.43 %, Test Accuracy: 70.45 %
Epoch 12, Train Accuracy: 71.94 %, Test Accuracy: 68.91 %
Epoch 13, Train Accuracy: 74.30 %, Test Accuracy: 72.57 %
Epoch 14, Train Accuracy: 76.30 %, Test Accuracy: 76.35 %
Epoch 15, Train Accuracy: 77.94 %, Test Accuracy: 77.72 %
Epoch 16, Train Accuracy: 79.19 %, Test Accuracy: 78.76 %
Epoch 17, Train Accuracy: 80.59 %, Test Accuracy: 79.90 %
Epoch 18, Train Accuracy: 81.46 %, Test Accuracy: 81.51 %
Epoch 19, Train Accuracy: 82.55 %, Test Accuracy: 80.39 %
Epoch 20, Train Accuracy: 83.55 %, Test Accuracy: 81.86 %
Epoch 21, Train Accuracy: 84.26 %, Test Accuracy: 81.39 %
Epoch 22, Train Accuracy: 84.83 %, Test Accuracy: 84.05 %
Epoch 23, Train Accuracy: 85.82 %, Test Accuracy: 83.55 %
Epoch 24, Train Accuracy: 86.40 %, Test Accuracy: 83.00 %
Epoch 25, Train Accuracy: 87.33 %, Test Accuracy: 83.98 %
Epoch 26, Train Accuracy: 87.35 %, Test Accuracy: 84.38 %
Epoch 27, Train Accuracy: 88.24 %, Test Accuracy: 85.58 %
Epoch 28, Train Accuracy: 88.30 %, Test Accuracy: 85.31 %
Epoch 29, Train Accuracy: 88.62 %, Test Accuracy: 85.77 %
Epoch 30, Train Accuracy: 89.17 %, Test Accuracy: 86.72 %
Epoch 31, Train Accuracy: 89.37 %, Test Accuracy: 85.24 %
Epoch 32, Train Accuracy: 90.12 %, Test Accuracy: 86.21 %
Epoch 33, Train Accuracy: 90.12 %, Test Accuracy: 87.11 %
Epoch 34, Train Accuracy: 90.56 %, Test Accuracy: 88.47 %
Epoch 35, Train Accuracy: 90.69 %, Test Accuracy: 87.32 %
Epoch 36, Train Accuracy: 91.17 %, Test Accuracy: 87.37 %
Epoch 37, Train Accuracy: 91.43 %, Test Accuracy: 88.17 %
Epoch 38, Train Accuracy: 91.49 %, Test Accuracy: 87.23 %
Epoch 39, Train Accuracy: 91.78 %, Test Accuracy: 88.19 %
