NODE=[HOST_f0845cc956] | JOB=cgw1-chW2-s153 5079347 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 1e-2 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk777 --seed 153 --save-directory cluster/Account2/metaopt/runs/cgw1 --run-name cgw1-chW2-s153
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cgw1/probe_cgw1-chW2-s153 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.67 %, Test Accuracy: 28.88 %
Epoch 1, Train Accuracy: 34.15 %, Test Accuracy: 39.17 %
Epoch 2, Train Accuracy: 41.02 %, Test Accuracy: 45.10 %
Epoch 3, Train Accuracy: 46.47 %, Test Accuracy: 49.10 %
Epoch 4, Train Accuracy: 50.33 %, Test Accuracy: 52.53 %
Epoch 5, Train Accuracy: 53.36 %, Test Accuracy: 55.90 %
Epoch 6, Train Accuracy: 56.41 %, Test Accuracy: 59.50 %
Epoch 7, Train Accuracy: 58.84 %, Test Accuracy: 59.66 %
Epoch 8, Train Accuracy: 60.69 %, Test Accuracy: 62.84 %
Epoch 9, Train Accuracy: 62.76 %, Test Accuracy: 64.20 %
Epoch 10, Train Accuracy: 65.01 %, Test Accuracy: 66.34 %
Epoch 11, Train Accuracy: 66.20 %, Test Accuracy: 65.80 %
Epoch 12, Train Accuracy: 68.11 %, Test Accuracy: 68.83 %
Epoch 13, Train Accuracy: 69.70 %, Test Accuracy: 69.18 %
Epoch 14, Train Accuracy: 71.26 %, Test Accuracy: 70.81 %
Epoch 15, Train Accuracy: 72.04 %, Test Accuracy: 71.15 %
Epoch 16, Train Accuracy: 73.78 %, Test Accuracy: 73.34 %
Epoch 17, Train Accuracy: 74.83 %, Test Accuracy: 74.84 %
Epoch 18, Train Accuracy: 75.94 %, Test Accuracy: 75.84 %
Epoch 19, Train Accuracy: 76.92 %, Test Accuracy: 75.89 %
Epoch 20, Train Accuracy: 78.08 %, Test Accuracy: 77.61 %
Epoch 21, Train Accuracy: 78.82 %, Test Accuracy: 77.60 %
Epoch 22, Train Accuracy: 79.47 %, Test Accuracy: 78.39 %
Epoch 23, Train Accuracy: 80.70 %, Test Accuracy: 79.16 %
Epoch 24, Train Accuracy: 81.34 %, Test Accuracy: 78.97 %
