NODE=[HOST_f0845cc956] | JOB=cgw1-kLW4-s152 5079358 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 5e-4 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 152 --save-directory cluster/Account2/metaopt/runs/cgw1 --run-name cgw1-kLW4-s152
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cgw1/probe_cgw1-kLW4-s152 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.10 %, Test Accuracy: 29.09 %
Epoch 1, Train Accuracy: 33.99 %, Test Accuracy: 38.34 %
Epoch 2, Train Accuracy: 40.16 %, Test Accuracy: 42.87 %
Epoch 3, Train Accuracy: 44.42 %, Test Accuracy: 47.33 %
Epoch 4, Train Accuracy: 48.14 %, Test Accuracy: 51.34 %
Epoch 5, Train Accuracy: 51.38 %, Test Accuracy: 53.97 %
Epoch 6, Train Accuracy: 54.08 %, Test Accuracy: 55.45 %
Epoch 7, Train Accuracy: 57.23 %, Test Accuracy: 58.45 %
Epoch 8, Train Accuracy: 59.67 %, Test Accuracy: 60.23 %
Epoch 9, Train Accuracy: 61.73 %, Test Accuracy: 62.70 %
Epoch 10, Train Accuracy: 64.36 %, Test Accuracy: 63.74 %
Epoch 11, Train Accuracy: 65.52 %, Test Accuracy: 66.60 %
Epoch 12, Train Accuracy: 67.43 %, Test Accuracy: 67.74 %
Epoch 13, Train Accuracy: 68.39 %, Test Accuracy: 69.91 %
Epoch 14, Train Accuracy: 70.63 %, Test Accuracy: 71.21 %
Epoch 15, Train Accuracy: 72.02 %, Test Accuracy: 72.58 %
Epoch 16, Train Accuracy: 73.03 %, Test Accuracy: 72.63 %
Epoch 17, Train Accuracy: 74.22 %, Test Accuracy: 74.39 %
Epoch 18, Train Accuracy: 75.44 %, Test Accuracy: 74.92 %
Epoch 19, Train Accuracy: 76.96 %, Test Accuracy: 76.24 %
Epoch 20, Train Accuracy: 77.84 %, Test Accuracy: 77.25 %
Epoch 21, Train Accuracy: 78.93 %, Test Accuracy: 78.00 %
Epoch 22, Train Accuracy: 79.79 %, Test Accuracy: 78.89 %
Epoch 23, Train Accuracy: 80.46 %, Test Accuracy: 80.07 %
Epoch 24, Train Accuracy: 81.33 %, Test Accuracy: 79.84 %
Epoch 25, Train Accuracy: 81.95 %, Test Accuracy: 80.87 %
Epoch 26, Train Accuracy: 82.72 %, Test Accuracy: 81.35 %
Epoch 27, Train Accuracy: 83.50 %, Test Accuracy: 82.05 %
Epoch 28, Train Accuracy: 84.06 %, Test Accuracy: 82.57 %
Epoch 29, Train Accuracy: 84.74 %, Test Accuracy: 82.73 %
Epoch 30, Train Accuracy: 85.54 %, Test Accuracy: 82.78 %
Epoch 31, Train Accuracy: 85.58 %, Test Accuracy: 82.78 %
Epoch 32, Train Accuracy: 86.22 %, Test Accuracy: 83.36 %
Epoch 33, Train Accuracy: 86.93 %, Test Accuracy: 84.80 %
Epoch 34, Train Accuracy: 87.38 %, Test Accuracy: 84.02 %
Epoch 35, Train Accuracy: 87.94 %, Test Accuracy: 84.10 %
Epoch 36, Train Accuracy: 87.80 %, Test Accuracy: 84.21 %
Epoch 37, Train Accuracy: 88.52 %, Test Accuracy: 84.69 %
Epoch 38, Train Accuracy: 88.98 %, Test Accuracy: 84.06 %
Epoch 39, Train Accuracy: 89.16 %, Test Accuracy: 84.91 %
Epoch 40, Train Accuracy: 89.41 %, Test Accuracy: 85.15 %
Epoch 41, Train Accuracy: 90.09 %, Test Accuracy: 84.88 %
Epoch 42, Train Accuracy: 89.97 %, Test Accuracy: 85.40 %
Epoch 43, Train Accuracy: 90.62 %, Test Accuracy: 86.41 %
Epoch 44, Train Accuracy: 91.41 %, Test Accuracy: 86.18 %
Epoch 45, Train Accuracy: 91.48 %, Test Accuracy: 86.09 %
Epoch 46, Train Accuracy: 91.96 %, Test Accuracy: 86.51 %
Epoch 47, Train Accuracy: 92.16 %, Test Accuracy: 86.30 %
Epoch 48, Train Accuracy: 92.03 %, Test Accuracy: 86.59 %
Epoch 49, Train Accuracy: 92.76 %, Test Accuracy: 86.92 %
Epoch 50, Train Accuracy: 92.91 %, Test Accuracy: 87.36 %
Epoch 51, Train Accuracy: 93.08 %, Test Accuracy: 86.82 %
Epoch 52, Train Accuracy: 93.45 %, Test Accuracy: 86.78 %
Epoch 53, Train Accuracy: 93.94 %, Test Accuracy: 86.64 %
Epoch 54, Train Accuracy: 93.82 %, Test Accuracy: 87.36 %
Epoch 55, Train Accuracy: 94.63 %, Test Accuracy: 87.40 %
Epoch 56, Train Accuracy: 94.38 %, Test Accuracy: 87.18 %
Epoch 57, Train Accuracy: 94.75 %, Test Accuracy: 88.55 %
Epoch 58, Train Accuracy: 94.91 %, Test Accuracy: 86.86 %
Epoch 59, Train Accuracy: 94.85 %, Test Accuracy: 87.30 %
Epoch 60, Train Accuracy: 95.13 %, Test Accuracy: 88.19 %
Epoch 61, Train Accuracy: 95.60 %, Test Accuracy: 88.46 %
Epoch 62, Train Accuracy: 96.06 %, Test Accuracy: 88.84 %
Epoch 63, Train Accuracy: 96.08 %, Test Accuracy: 88.49 %
Epoch 64, Train Accuracy: 96.15 %, Test Accuracy: 88.67 %
Epoch 65, Train Accuracy: 96.26 %, Test Accuracy: 88.72 %
Epoch 66, Train Accuracy: 96.52 %, Test Accuracy: 88.66 %
Epoch 67, Train Accuracy: 96.83 %, Test Accuracy: 88.63 %
Epoch 68, Train Accuracy: 96.73 %, Test Accuracy: 88.62 %
Epoch 69, Train Accuracy: 97.12 %, Test Accuracy: 88.98 %
Epoch 70, Train Accuracy: 96.98 %, Test Accuracy: 89.27 %
Epoch 71, Train Accuracy: 97.22 %, Test Accuracy: 88.80 %
Epoch 72, Train Accuracy: 97.44 %, Test Accuracy: 89.37 %
Epoch 73, Train Accuracy: 97.35 %, Test Accuracy: 88.73 %
Epoch 74, Train Accuracy: 97.72 %, Test Accuracy: 89.21 %
Epoch 75, Train Accuracy: 97.97 %, Test Accuracy: 89.59 %
Epoch 76, Train Accuracy: 97.86 %, Test Accuracy: 89.32 %
Epoch 77, Train Accuracy: 97.80 %, Test Accuracy: 89.34 %
Epoch 78, Train Accuracy: 97.62 %, Test Accuracy: 88.37 %
Epoch 79, Train Accuracy: 97.91 %, Test Accuracy: 89.34 %
Epoch 80, Train Accuracy: 98.19 %, Test Accuracy: 89.82 %
Epoch 81, Train Accuracy: 98.20 %, Test Accuracy: 89.28 %
Epoch 82, Train Accuracy: 98.27 %, Test Accuracy: 90.09 %
Epoch 83, Train Accuracy: 98.47 %, Test Accuracy: 89.58 %
Epoch 84, Train Accuracy: 98.36 %, Test Accuracy: 89.44 %
Epoch 85, Train Accuracy: 98.52 %, Test Accuracy: 89.94 %
Epoch 86, Train Accuracy: 98.48 %, Test Accuracy: 89.41 %
Epoch 87, Train Accuracy: 98.67 %, Test Accuracy: 89.91 %
Epoch 88, Train Accuracy: 98.79 %, Test Accuracy: 90.00 %
Epoch 89, Train Accuracy: 98.77 %, Test Accuracy: 89.69 %
Epoch 90, Train Accuracy: 98.74 %, Test Accuracy: 89.90 %
Epoch 91, Train Accuracy: 98.80 %, Test Accuracy: 89.75 %
Epoch 92, Train Accuracy: 98.99 %, Test Accuracy: 89.89 %
Epoch 93, Train Accuracy: 99.03 %, Test Accuracy: 90.10 %
Epoch 94, Train Accuracy: 99.08 %, Test Accuracy: 90.23 %
Epoch 95, Train Accuracy: 98.95 %, Test Accuracy: 90.03 %
Epoch 96, Train Accuracy: 99.09 %, Test Accuracy: 89.88 %
Epoch 97, Train Accuracy: 99.01 %, Test Accuracy: 90.03 %
Epoch 98, Train Accuracy: 98.95 %, Test Accuracy: 89.19 %
Epoch 99, Train Accuracy: 98.85 %, Test Accuracy: 90.05 %
45  minutes
RUN_DONE
