NODE=[HOST_e8d809bd94] | JOB=cgw1-ndW4-s153 5079360 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 5e-4 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 153 --save-directory cluster/Account2/metaopt/runs/cgw1 --run-name cgw1-ndW4-s153
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cgw1/probe_cgw1-ndW4-s153 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.56 %, Test Accuracy: 28.74 %
Epoch 1, Train Accuracy: 34.12 %, Test Accuracy: 39.43 %
Epoch 2, Train Accuracy: 41.02 %, Test Accuracy: 45.15 %
Epoch 3, Train Accuracy: 46.00 %, Test Accuracy: 49.23 %
Epoch 4, Train Accuracy: 49.97 %, Test Accuracy: 52.10 %
Epoch 5, Train Accuracy: 53.15 %, Test Accuracy: 55.35 %
Epoch 6, Train Accuracy: 55.99 %, Test Accuracy: 58.68 %
Epoch 7, Train Accuracy: 58.25 %, Test Accuracy: 60.35 %
Epoch 8, Train Accuracy: 60.43 %, Test Accuracy: 62.39 %
Epoch 9, Train Accuracy: 62.66 %, Test Accuracy: 63.72 %
Epoch 10, Train Accuracy: 64.15 %, Test Accuracy: 65.52 %
Epoch 11, Train Accuracy: 65.72 %, Test Accuracy: 66.07 %
Epoch 12, Train Accuracy: 67.42 %, Test Accuracy: 67.81 %
Epoch 13, Train Accuracy: 68.93 %, Test Accuracy: 68.48 %
Epoch 14, Train Accuracy: 70.19 %, Test Accuracy: 69.67 %
Epoch 15, Train Accuracy: 71.08 %, Test Accuracy: 71.04 %
Epoch 16, Train Accuracy: 72.82 %, Test Accuracy: 72.63 %
Epoch 17, Train Accuracy: 73.76 %, Test Accuracy: 73.97 %
Epoch 18, Train Accuracy: 74.51 %, Test Accuracy: 74.40 %
Epoch 19, Train Accuracy: 75.54 %, Test Accuracy: 75.22 %
Epoch 20, Train Accuracy: 76.73 %, Test Accuracy: 76.83 %
Epoch 21, Train Accuracy: 77.80 %, Test Accuracy: 76.64 %
Epoch 22, Train Accuracy: 77.93 %, Test Accuracy: 76.91 %
Epoch 23, Train Accuracy: 78.95 %, Test Accuracy: 77.67 %
Epoch 24, Train Accuracy: 79.64 %, Test Accuracy: 77.95 %
Epoch 25, Train Accuracy: 80.45 %, Test Accuracy: 78.54 %
Epoch 26, Train Accuracy: 80.82 %, Test Accuracy: 79.86 %
Epoch 27, Train Accuracy: 81.94 %, Test Accuracy: 80.67 %
Epoch 28, Train Accuracy: 82.44 %, Test Accuracy: 81.34 %
Epoch 29, Train Accuracy: 82.94 %, Test Accuracy: 80.79 %
Epoch 30, Train Accuracy: 83.11 %, Test Accuracy: 80.70 %
Epoch 31, Train Accuracy: 83.58 %, Test Accuracy: 81.82 %
Epoch 32, Train Accuracy: 84.27 %, Test Accuracy: 81.96 %
Epoch 33, Train Accuracy: 84.62 %, Test Accuracy: 81.49 %
Epoch 34, Train Accuracy: 84.90 %, Test Accuracy: 81.98 %
Epoch 35, Train Accuracy: 85.64 %, Test Accuracy: 82.59 %
Epoch 36, Train Accuracy: 85.98 %, Test Accuracy: 83.16 %
Epoch 37, Train Accuracy: 86.25 %, Test Accuracy: 82.91 %
Epoch 38, Train Accuracy: 86.79 %, Test Accuracy: 82.82 %
Epoch 39, Train Accuracy: 87.02 %, Test Accuracy: 83.53 %
Epoch 40, Train Accuracy: 87.03 %, Test Accuracy: 83.62 %
Epoch 41, Train Accuracy: 87.54 %, Test Accuracy: 83.84 %
Epoch 42, Train Accuracy: 87.91 %, Test Accuracy: 84.14 %
Epoch 43, Train Accuracy: 88.37 %, Test Accuracy: 84.20 %
Epoch 44, Train Accuracy: 88.68 %, Test Accuracy: 83.51 %
Epoch 45, Train Accuracy: 88.99 %, Test Accuracy: 84.22 %
Epoch 46, Train Accuracy: 88.96 %, Test Accuracy: 84.69 %
Epoch 47, Train Accuracy: 89.09 %, Test Accuracy: 85.10 %
Epoch 48, Train Accuracy: 89.76 %, Test Accuracy: 85.22 %
Epoch 49, Train Accuracy: 89.93 %, Test Accuracy: 85.25 %
Epoch 50, Train Accuracy: 90.15 %, Test Accuracy: 85.10 %
Epoch 51, Train Accuracy: 90.39 %, Test Accuracy: 85.22 %
Epoch 52, Train Accuracy: 90.80 %, Test Accuracy: 85.39 %
Epoch 53, Train Accuracy: 90.93 %, Test Accuracy: 85.15 %
Epoch 54, Train Accuracy: 91.14 %, Test Accuracy: 85.46 %
Epoch 55, Train Accuracy: 91.31 %, Test Accuracy: 85.50 %
Epoch 56, Train Accuracy: 91.78 %, Test Accuracy: 85.47 %
Epoch 57, Train Accuracy: 91.78 %, Test Accuracy: 86.49 %
Epoch 58, Train Accuracy: 92.01 %, Test Accuracy: 85.67 %
Epoch 59, Train Accuracy: 91.78 %, Test Accuracy: 86.34 %
Epoch 60, Train Accuracy: 92.52 %, Test Accuracy: 86.49 %
Epoch 61, Train Accuracy: 92.90 %, Test Accuracy: 86.90 %
Epoch 62, Train Accuracy: 93.05 %, Test Accuracy: 86.40 %
Epoch 63, Train Accuracy: 93.04 %, Test Accuracy: 86.66 %
Epoch 64, Train Accuracy: 93.25 %, Test Accuracy: 85.81 %
Epoch 65, Train Accuracy: 93.43 %, Test Accuracy: 86.32 %
Epoch 66, Train Accuracy: 93.73 %, Test Accuracy: 86.35 %
Epoch 67, Train Accuracy: 93.52 %, Test Accuracy: 86.65 %
Epoch 68, Train Accuracy: 94.00 %, Test Accuracy: 87.06 %
Epoch 69, Train Accuracy: 94.11 %, Test Accuracy: 86.72 %
Epoch 70, Train Accuracy: 94.41 %, Test Accuracy: 86.70 %
Epoch 71, Train Accuracy: 94.49 %, Test Accuracy: 86.05 %
Epoch 72, Train Accuracy: 94.88 %, Test Accuracy: 87.07 %
Epoch 73, Train Accuracy: 95.06 %, Test Accuracy: 86.59 %
Epoch 74, Train Accuracy: 94.83 %, Test Accuracy: 86.68 %
Epoch 75, Train Accuracy: 95.06 %, Test Accuracy: 87.35 %
Epoch 76, Train Accuracy: 95.14 %, Test Accuracy: 86.87 %
Epoch 77, Train Accuracy: 95.27 %, Test Accuracy: 86.68 %
Epoch 78, Train Accuracy: 95.53 %, Test Accuracy: 87.26 %
Epoch 79, Train Accuracy: 95.61 %, Test Accuracy: 87.49 %
Epoch 80, Train Accuracy: 95.70 %, Test Accuracy: 87.32 %
Epoch 81, Train Accuracy: 95.79 %, Test Accuracy: 87.27 %
Epoch 82, Train Accuracy: 95.65 %, Test Accuracy: 86.97 %
Epoch 83, Train Accuracy: 95.96 %, Test Accuracy: 87.00 %
Epoch 84, Train Accuracy: 95.92 %, Test Accuracy: 87.42 %
Epoch 85, Train Accuracy: 96.10 %, Test Accuracy: 86.80 %
Epoch 86, Train Accuracy: 96.21 %, Test Accuracy: 87.60 %
Epoch 87, Train Accuracy: 96.62 %, Test Accuracy: 87.43 %
Epoch 88, Train Accuracy: 96.71 %, Test Accuracy: 87.44 %
Epoch 89, Train Accuracy: 96.55 %, Test Accuracy: 87.57 %
Epoch 90, Train Accuracy: 96.65 %, Test Accuracy: 87.83 %
Epoch 91, Train Accuracy: 96.93 %, Test Accuracy: 87.74 %
Epoch 92, Train Accuracy: 96.87 %, Test Accuracy: 87.72 %
Epoch 93, Train Accuracy: 97.00 %, Test Accuracy: 87.56 %
Epoch 94, Train Accuracy: 97.13 %, Test Accuracy: 87.56 %
Epoch 95, Train Accuracy: 97.16 %, Test Accuracy: 87.80 %
Epoch 96, Train Accuracy: 97.27 %, Test Accuracy: 87.49 %
Epoch 97, Train Accuracy: 97.18 %, Test Accuracy: 87.41 %
Epoch 98, Train Accuracy: 97.24 %, Test Accuracy: 87.56 %
Epoch 99, Train Accuracy: 97.66 %, Test Accuracy: 87.89 %
56  minutes
RUN_DONE
