NODE=[HOST_03eb56b6d1] | JOB=ciso1-ONE-s23 4925532 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-62/layer4.0.bn2.weight --seed 23 --save-directory cluster/Account2/metaopt/runs/ciso1 --run-name ciso1-ONE-s23
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/ciso1/probe_ciso1-ONE-s23 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/ciso1/probe_ciso1-ONE-s23
Epoch 0, Train Accuracy: 1.01 %, Test Accuracy: 0.99 %
Epoch 1, Train Accuracy: 1.01 %, Test Accuracy: 0.99 %
Epoch 2, Train Accuracy: 1.02 %, Test Accuracy: 0.99 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 0.99 %
Epoch 4, Train Accuracy: 1.01 %, Test Accuracy: 0.96 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 0.94 %
Epoch 6, Train Accuracy: 1.03 %, Test Accuracy: 0.92 %
Epoch 7, Train Accuracy: 0.99 %, Test Accuracy: 0.95 %
Epoch 8, Train Accuracy: 1.11 %, Test Accuracy: 1.30 %
Epoch 9, Train Accuracy: 1.82 %, Test Accuracy: 2.39 %
Epoch 10, Train Accuracy: 2.78 %, Test Accuracy: 3.48 %
Epoch 11, Train Accuracy: 4.13 %, Test Accuracy: 5.14 %
Epoch 12, Train Accuracy: 5.44 %, Test Accuracy: 6.77 %
Epoch 13, Train Accuracy: 7.46 %, Test Accuracy: 8.85 %
Epoch 14, Train Accuracy: 9.62 %, Test Accuracy: 10.73 %
Epoch 15, Train Accuracy: 11.79 %, Test Accuracy: 13.24 %
Epoch 16, Train Accuracy: 13.73 %, Test Accuracy: 15.07 %
Epoch 17, Train Accuracy: 15.79 %, Test Accuracy: 17.09 %
Epoch 18, Train Accuracy: 18.78 %, Test Accuracy: 20.41 %
Epoch 19, Train Accuracy: 22.74 %, Test Accuracy: 24.28 %
Epoch 20, Train Accuracy: 26.49 %, Test Accuracy: 27.65 %
Epoch 21, Train Accuracy: 28.72 %, Test Accuracy: 28.71 %
Epoch 22, Train Accuracy: 30.56 %, Test Accuracy: 30.53 %
Epoch 23, Train Accuracy: 32.82 %, Test Accuracy: 31.77 %
Epoch 24, Train Accuracy: 34.69 %, Test Accuracy: 34.31 %
Epoch 25, Train Accuracy: 36.44 %, Test Accuracy: 35.56 %
Epoch 26, Train Accuracy: 38.26 %, Test Accuracy: 37.15 %
Epoch 27, Train Accuracy: 40.08 %, Test Accuracy: 40.30 %
Epoch 28, Train Accuracy: 41.70 %, Test Accuracy: 40.64 %
Epoch 29, Train Accuracy: 43.72 %, Test Accuracy: 42.59 %
Epoch 30, Train Accuracy: 45.19 %, Test Accuracy: 45.08 %
Epoch 31, Train Accuracy: 46.78 %, Test Accuracy: 45.71 %
Epoch 32, Train Accuracy: 48.22 %, Test Accuracy: 47.35 %
Epoch 33, Train Accuracy: 49.74 %, Test Accuracy: 48.49 %
Epoch 34, Train Accuracy: 50.92 %, Test Accuracy: 47.82 %
Epoch 35, Train Accuracy: 52.67 %, Test Accuracy: 50.87 %
Epoch 36, Train Accuracy: 53.86 %, Test Accuracy: 50.80 %
Epoch 37, Train Accuracy: 55.13 %, Test Accuracy: 51.43 %
Epoch 38, Train Accuracy: 55.97 %, Test Accuracy: 52.45 %
Epoch 39, Train Accuracy: 57.41 %, Test Accuracy: 53.45 %
Epoch 40, Train Accuracy: 58.09 %, Test Accuracy: 53.78 %
Epoch 41, Train Accuracy: 59.57 %, Test Accuracy: 55.46 %
Epoch 42, Train Accuracy: 60.64 %, Test Accuracy: 56.31 %
Epoch 43, Train Accuracy: 61.52 %, Test Accuracy: 56.45 %
Epoch 44, Train Accuracy: 62.57 %, Test Accuracy: 57.14 %
Epoch 45, Train Accuracy: 63.42 %, Test Accuracy: 57.85 %
Epoch 46, Train Accuracy: 64.30 %, Test Accuracy: 57.72 %
Epoch 47, Train Accuracy: 65.57 %, Test Accuracy: 59.20 %
Epoch 48, Train Accuracy: 66.28 %, Test Accuracy: 58.76 %
Epoch 49, Train Accuracy: 67.22 %, Test Accuracy: 59.65 %
Epoch 50, Train Accuracy: 68.08 %, Test Accuracy: 60.29 %
Epoch 51, Train Accuracy: 69.01 %, Test Accuracy: 60.24 %
Epoch 52, Train Accuracy: 69.65 %, Test Accuracy: 61.23 %
