NODE=[HOST_e8d809bd94] | JOB=ciso1-k62-s22 4925524 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 22 --save-directory cluster/Account2/metaopt/runs/ciso1 --run-name ciso1-k62-s22
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/ciso1/probe_ciso1-k62-s22 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/ciso1/probe_ciso1-k62-s22
Epoch 0, Train Accuracy: 1.01 %, Test Accuracy: 0.85 %
Epoch 1, Train Accuracy: 1.04 %, Test Accuracy: 0.88 %
Epoch 2, Train Accuracy: 0.99 %, Test Accuracy: 0.88 %
Epoch 3, Train Accuracy: 1.00 %, Test Accuracy: 0.88 %
Epoch 4, Train Accuracy: 0.94 %, Test Accuracy: 0.88 %
Epoch 5, Train Accuracy: 0.95 %, Test Accuracy: 0.91 %
Epoch 6, Train Accuracy: 1.01 %, Test Accuracy: 0.95 %
Epoch 7, Train Accuracy: 0.96 %, Test Accuracy: 1.19 %
Epoch 8, Train Accuracy: 1.62 %, Test Accuracy: 1.99 %
Epoch 9, Train Accuracy: 2.38 %, Test Accuracy: 3.21 %
Epoch 10, Train Accuracy: 3.12 %, Test Accuracy: 4.68 %
Epoch 11, Train Accuracy: 4.66 %, Test Accuracy: 5.73 %
Epoch 12, Train Accuracy: 6.42 %, Test Accuracy: 7.05 %
Epoch 13, Train Accuracy: 8.14 %, Test Accuracy: 9.66 %
Epoch 14, Train Accuracy: 10.34 %, Test Accuracy: 11.86 %
Epoch 15, Train Accuracy: 12.59 %, Test Accuracy: 14.27 %
Epoch 16, Train Accuracy: 15.06 %, Test Accuracy: 16.47 %
Epoch 17, Train Accuracy: 18.43 %, Test Accuracy: 21.15 %
Epoch 18, Train Accuracy: 23.14 %, Test Accuracy: 24.81 %
Epoch 19, Train Accuracy: 27.71 %, Test Accuracy: 30.13 %
Epoch 20, Train Accuracy: 32.34 %, Test Accuracy: 33.95 %
Epoch 21, Train Accuracy: 37.05 %, Test Accuracy: 38.11 %
