NODE=[HOST_2f2f29d9e1] | JOB=ciso2-k01-s32 4929331 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 250 --stepsize-groups scalar --seed 32 --save-directory cluster/Account2/metaopt/runs/ciso2 --run-name ciso2-k01-s32
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/ciso2/probe_ciso2-k01-s32 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/ciso2/probe_ciso2-k01-s32
Epoch 0, Train Accuracy: 0.94 %, Test Accuracy: 1.02 %
Epoch 1, Train Accuracy: 0.99 %, Test Accuracy: 1.03 %
Epoch 2, Train Accuracy: 0.97 %, Test Accuracy: 0.96 %
Epoch 3, Train Accuracy: 0.99 %, Test Accuracy: 1.00 %
Epoch 4, Train Accuracy: 0.99 %, Test Accuracy: 1.00 %
Epoch 5, Train Accuracy: 1.00 %, Test Accuracy: 0.93 %
Epoch 6, Train Accuracy: 1.06 %, Test Accuracy: 0.99 %
Epoch 7, Train Accuracy: 0.99 %, Test Accuracy: 1.08 %
Epoch 8, Train Accuracy: 1.24 %, Test Accuracy: 1.31 %
Epoch 9, Train Accuracy: 1.78 %, Test Accuracy: 2.39 %
Epoch 10, Train Accuracy: 2.75 %, Test Accuracy: 3.48 %
Epoch 11, Train Accuracy: 3.84 %, Test Accuracy: 4.92 %
Epoch 12, Train Accuracy: 5.39 %, Test Accuracy: 6.99 %
Epoch 13, Train Accuracy: 7.71 %, Test Accuracy: 8.87 %
Epoch 14, Train Accuracy: 9.60 %, Test Accuracy: 11.65 %
Epoch 15, Train Accuracy: 11.92 %, Test Accuracy: 12.99 %
Epoch 16, Train Accuracy: 13.86 %, Test Accuracy: 15.06 %
Epoch 17, Train Accuracy: 15.30 %, Test Accuracy: 16.77 %
Epoch 18, Train Accuracy: 17.20 %, Test Accuracy: 17.18 %
Epoch 19, Train Accuracy: 18.68 %, Test Accuracy: 19.67 %
Epoch 20, Train Accuracy: 20.09 %, Test Accuracy: 20.99 %
Epoch 21, Train Accuracy: 21.15 %, Test Accuracy: 21.78 %
Epoch 22, Train Accuracy: 21.90 %, Test Accuracy: 22.64 %
Epoch 23, Train Accuracy: 22.45 %, Test Accuracy: 22.59 %
Epoch 24, Train Accuracy: 22.79 %, Test Accuracy: 22.45 %
Epoch 25, Train Accuracy: 22.97 %, Test Accuracy: 22.91 %
Epoch 26, Train Accuracy: 23.09 %, Test Accuracy: 22.93 %
Epoch 27, Train Accuracy: 23.16 %, Test Accuracy: 22.88 %
Epoch 28, Train Accuracy: 23.33 %, Test Accuracy: 22.98 %
Epoch 29, Train Accuracy: 23.32 %, Test Accuracy: 22.94 %
Epoch 30, Train Accuracy: 23.21 %, Test Accuracy: 23.04 %
Epoch 31, Train Accuracy: 23.21 %, Test Accuracy: 23.14 %
Epoch 32, Train Accuracy: 23.46 %, Test Accuracy: 23.21 %
Epoch 33, Train Accuracy: 23.41 %, Test Accuracy: 23.06 %
Epoch 34, Train Accuracy: 23.28 %, Test Accuracy: 23.08 %
Epoch 35, Train Accuracy: 23.35 %, Test Accuracy: 23.06 %
Epoch 36, Train Accuracy: 23.27 %, Test Accuracy: 23.31 %
Epoch 37, Train Accuracy: 23.26 %, Test Accuracy: 23.18 %
Epoch 38, Train Accuracy: 23.29 %, Test Accuracy: 23.15 %
Epoch 39, Train Accuracy: 23.22 %, Test Accuracy: 23.09 %
Epoch 40, Train Accuracy: 23.36 %, Test Accuracy: 23.04 %
Epoch 41, Train Accuracy: 23.24 %, Test Accuracy: 23.06 %
Epoch 42, Train Accuracy: 23.36 %, Test Accuracy: 23.12 %
Epoch 43, Train Accuracy: 23.35 %, Test Accuracy: 22.97 %
Epoch 44, Train Accuracy: 23.31 %, Test Accuracy: 23.18 %
Epoch 45, Train Accuracy: 23.24 %, Test Accuracy: 22.97 %
Epoch 46, Train Accuracy: 23.36 %, Test Accuracy: 23.11 %
Epoch 47, Train Accuracy: 23.37 %, Test Accuracy: 23.10 %
Epoch 48, Train Accuracy: 23.14 %, Test Accuracy: 23.13 %
Epoch 49, Train Accuracy: 23.34 %, Test Accuracy: 23.03 %
Epoch 50, Train Accuracy: 23.37 %, Test Accuracy: 23.10 %
Epoch 51, Train Accuracy: 23.40 %, Test Accuracy: 23.00 %
Epoch 52, Train Accuracy: 23.31 %, Test Accuracy: 23.05 %
Epoch 53, Train Accuracy: 23.29 %, Test Accuracy: 23.14 %
Epoch 54, Train Accuracy: 23.45 %, Test Accuracy: 23.18 %
Epoch 55, Train Accuracy: 23.21 %, Test Accuracy: 22.97 %
Epoch 56, Train Accuracy: 23.28 %, Test Accuracy: 23.19 %
Epoch 57, Train Accuracy: 23.15 %, Test Accuracy: 23.08 %
Epoch 58, Train Accuracy: 23.42 %, Test Accuracy: 23.08 %
Epoch 59, Train Accuracy: 23.36 %, Test Accuracy: 22.92 %
Epoch 60, Train Accuracy: 23.45 %, Test Accuracy: 23.06 %
Epoch 61, Train Accuracy: 23.26 %, Test Accuracy: 23.11 %
Epoch 62, Train Accuracy: 23.19 %, Test Accuracy: 23.05 %
Epoch 63, Train Accuracy: 23.27 %, Test Accuracy: 23.06 %
Epoch 64, Train Accuracy: 23.38 %, Test Accuracy: 23.14 %
Epoch 65, Train Accuracy: 23.31 %, Test Accuracy: 23.11 %
Epoch 66, Train Accuracy: 23.28 %, Test Accuracy: 23.15 %
Epoch 67, Train Accuracy: 23.25 %, Test Accuracy: 23.07 %
Epoch 68, Train Accuracy: 23.35 %, Test Accuracy: 23.10 %
Epoch 69, Train Accuracy: 23.49 %, Test Accuracy: 23.10 %
Epoch 70, Train Accuracy: 23.29 %, Test Accuracy: 23.07 %
Epoch 71, Train Accuracy: 23.23 %, Test Accuracy: 23.20 %
Epoch 72, Train Accuracy: 23.44 %, Test Accuracy: 22.95 %
Epoch 73, Train Accuracy: 23.37 %, Test Accuracy: 23.28 %
Epoch 74, Train Accuracy: 23.41 %, Test Accuracy: 23.19 %
Epoch 75, Train Accuracy: 23.33 %, Test Accuracy: 23.04 %
Epoch 76, Train Accuracy: 23.33 %, Test Accuracy: 23.11 %
Epoch 77, Train Accuracy: 23.16 %, Test Accuracy: 23.23 %
Epoch 78, Train Accuracy: 23.23 %, Test Accuracy: 23.03 %
Epoch 79, Train Accuracy: 23.28 %, Test Accuracy: 22.90 %
Epoch 80, Train Accuracy: 23.20 %, Test Accuracy: 23.04 %
Epoch 81, Train Accuracy: 23.40 %, Test Accuracy: 22.95 %
Epoch 82, Train Accuracy: 23.27 %, Test Accuracy: 23.30 %
Epoch 83, Train Accuracy: 23.28 %, Test Accuracy: 23.08 %
Epoch 84, Train Accuracy: 23.30 %, Test Accuracy: 22.89 %
Epoch 85, Train Accuracy: 23.24 %, Test Accuracy: 23.13 %
Epoch 86, Train Accuracy: 23.43 %, Test Accuracy: 23.13 %
Epoch 87, Train Accuracy: 23.34 %, Test Accuracy: 23.05 %
Epoch 88, Train Accuracy: 23.25 %, Test Accuracy: 23.11 %
Epoch 89, Train Accuracy: 23.23 %, Test Accuracy: 23.19 %
Epoch 90, Train Accuracy: 23.43 %, Test Accuracy: 23.29 %
Epoch 91, Train Accuracy: 23.25 %, Test Accuracy: 23.10 %
Epoch 92, Train Accuracy: 23.28 %, Test Accuracy: 23.05 %
Epoch 93, Train Accuracy: 23.37 %, Test Accuracy: 23.13 %
Epoch 94, Train Accuracy: 23.45 %, Test Accuracy: 23.06 %
Epoch 95, Train Accuracy: 23.31 %, Test Accuracy: 23.03 %
Epoch 96, Train Accuracy: 23.49 %, Test Accuracy: 23.14 %
Epoch 97, Train Accuracy: 23.37 %, Test Accuracy: 23.21 %
Epoch 98, Train Accuracy: 23.34 %, Test Accuracy: 23.07 %
Epoch 99, Train Accuracy: 23.25 %, Test Accuracy: 23.23 %
Epoch 100, Train Accuracy: 23.20 %, Test Accuracy: 23.22 %
Epoch 101, Train Accuracy: 23.06 %, Test Accuracy: 22.98 %
Epoch 102, Train Accuracy: 23.47 %, Test Accuracy: 23.11 %
Epoch 103, Train Accuracy: 23.36 %, Test Accuracy: 23.05 %
Epoch 104, Train Accuracy: 23.37 %, Test Accuracy: 23.08 %
Epoch 105, Train Accuracy: 23.27 %, Test Accuracy: 23.09 %
Epoch 106, Train Accuracy: 23.29 %, Test Accuracy: 23.11 %
Epoch 107, Train Accuracy: 23.37 %, Test Accuracy: 23.10 %
Epoch 108, Train Accuracy: 23.37 %, Test Accuracy: 23.09 %
Epoch 109, Train Accuracy: 23.23 %, Test Accuracy: 23.05 %
Epoch 110, Train Accuracy: 23.42 %, Test Accuracy: 23.07 %
Epoch 111, Train Accuracy: 23.30 %, Test Accuracy: 23.14 %
Epoch 112, Train Accuracy: 23.30 %, Test Accuracy: 23.13 %
Epoch 113, Train Accuracy: 23.30 %, Test Accuracy: 23.04 %
Epoch 114, Train Accuracy: 23.23 %, Test Accuracy: 23.19 %
Epoch 115, Train Accuracy: 23.25 %, Test Accuracy: 23.13 %
Epoch 116, Train Accuracy: 23.49 %, Test Accuracy: 23.20 %
Epoch 117, Train Accuracy: 23.42 %, Test Accuracy: 22.99 %
Epoch 118, Train Accuracy: 23.41 %, Test Accuracy: 23.03 %
Epoch 119, Train Accuracy: 23.41 %, Test Accuracy: 23.12 %
Epoch 120, Train Accuracy: 23.45 %, Test Accuracy: 23.18 %
Epoch 121, Train Accuracy: 23.26 %, Test Accuracy: 23.33 %
Epoch 122, Train Accuracy: 23.44 %, Test Accuracy: 23.23 %
Epoch 123, Train Accuracy: 23.37 %, Test Accuracy: 23.05 %
Epoch 124, Train Accuracy: 23.39 %, Test Accuracy: 23.10 %
Epoch 125, Train Accuracy: 23.38 %, Test Accuracy: 23.14 %
Epoch 126, Train Accuracy: 23.25 %, Test Accuracy: 23.16 %
Epoch 127, Train Accuracy: 23.34 %, Test Accuracy: 23.06 %
Epoch 128, Train Accuracy: 23.30 %, Test Accuracy: 23.17 %
Epoch 129, Train Accuracy: 23.42 %, Test Accuracy: 23.13 %
Epoch 130, Train Accuracy: 23.29 %, Test Accuracy: 23.20 %
Epoch 131, Train Accuracy: 23.32 %, Test Accuracy: 22.95 %
Epoch 132, Train Accuracy: 23.50 %, Test Accuracy: 23.07 %
Epoch 133, Train Accuracy: 23.39 %, Test Accuracy: 23.22 %
Epoch 134, Train Accuracy: 23.14 %, Test Accuracy: 23.15 %
Epoch 135, Train Accuracy: 23.30 %, Test Accuracy: 23.06 %
Epoch 136, Train Accuracy: 23.28 %, Test Accuracy: 23.02 %
Epoch 137, Train Accuracy: 23.46 %, Test Accuracy: 23.15 %
Epoch 138, Train Accuracy: 23.24 %, Test Accuracy: 23.13 %
Epoch 139, Train Accuracy: 23.34 %, Test Accuracy: 23.19 %
Epoch 140, Train Accuracy: 23.20 %, Test Accuracy: 23.18 %
Epoch 141, Train Accuracy: 23.21 %, Test Accuracy: 23.30 %
Epoch 142, Train Accuracy: 23.23 %, Test Accuracy: 23.24 %
Epoch 143, Train Accuracy: 23.34 %, Test Accuracy: 23.02 %
Epoch 144, Train Accuracy: 23.11 %, Test Accuracy: 23.13 %
Epoch 145, Train Accuracy: 23.28 %, Test Accuracy: 22.95 %
Epoch 146, Train Accuracy: 23.39 %, Test Accuracy: 23.09 %
Epoch 147, Train Accuracy: 23.30 %, Test Accuracy: 23.01 %
Epoch 148, Train Accuracy: 23.24 %, Test Accuracy: 23.31 %
Epoch 149, Train Accuracy: 23.36 %, Test Accuracy: 23.11 %
Epoch 150, Train Accuracy: 23.58 %, Test Accuracy: 23.15 %
Epoch 151, Train Accuracy: 23.43 %, Test Accuracy: 23.18 %
Epoch 152, Train Accuracy: 23.40 %, Test Accuracy: 23.28 %
