NODE=[HOST_fd0c0ddbe6] | JOB=ciso2-k01-s33 4929335 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 250 --stepsize-groups scalar --seed 33 --save-directory cluster/Account2/metaopt/runs/ciso2 --run-name ciso2-k01-s33
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/ciso2/probe_ciso2-k01-s33 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/ciso2/probe_ciso2-k01-s33
Epoch 0, Train Accuracy: 0.96 %, Test Accuracy: 0.87 %
Epoch 1, Train Accuracy: 0.91 %, Test Accuracy: 0.82 %
Epoch 2, Train Accuracy: 0.98 %, Test Accuracy: 0.87 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 0.95 %
Epoch 4, Train Accuracy: 0.93 %, Test Accuracy: 0.92 %
Epoch 5, Train Accuracy: 1.00 %, Test Accuracy: 0.95 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.12 %
Epoch 7, Train Accuracy: 1.19 %, Test Accuracy: 1.26 %
Epoch 8, Train Accuracy: 1.50 %, Test Accuracy: 1.88 %
Epoch 9, Train Accuracy: 2.59 %, Test Accuracy: 3.51 %
Epoch 10, Train Accuracy: 3.72 %, Test Accuracy: 4.59 %
Epoch 11, Train Accuracy: 5.19 %, Test Accuracy: 6.33 %
Epoch 12, Train Accuracy: 7.08 %, Test Accuracy: 8.23 %
Epoch 13, Train Accuracy: 8.75 %, Test Accuracy: 10.09 %
Epoch 14, Train Accuracy: 10.44 %, Test Accuracy: 11.44 %
Epoch 15, Train Accuracy: 12.07 %, Test Accuracy: 13.43 %
Epoch 16, Train Accuracy: 13.74 %, Test Accuracy: 14.28 %
Epoch 17, Train Accuracy: 15.23 %, Test Accuracy: 16.29 %
Epoch 18, Train Accuracy: 16.92 %, Test Accuracy: 18.31 %
Epoch 19, Train Accuracy: 18.85 %, Test Accuracy: 20.03 %
Epoch 20, Train Accuracy: 19.66 %, Test Accuracy: 20.89 %
Epoch 21, Train Accuracy: 20.72 %, Test Accuracy: 21.37 %
Epoch 22, Train Accuracy: 21.38 %, Test Accuracy: 21.88 %
Epoch 23, Train Accuracy: 21.77 %, Test Accuracy: 22.52 %
Epoch 24, Train Accuracy: 22.25 %, Test Accuracy: 22.55 %
Epoch 25, Train Accuracy: 22.45 %, Test Accuracy: 22.88 %
Epoch 26, Train Accuracy: 22.62 %, Test Accuracy: 22.97 %
Epoch 27, Train Accuracy: 22.71 %, Test Accuracy: 23.03 %
Epoch 28, Train Accuracy: 22.79 %, Test Accuracy: 22.99 %
Epoch 29, Train Accuracy: 23.04 %, Test Accuracy: 22.85 %
Epoch 30, Train Accuracy: 22.96 %, Test Accuracy: 22.89 %
Epoch 31, Train Accuracy: 22.92 %, Test Accuracy: 23.06 %
Epoch 32, Train Accuracy: 22.91 %, Test Accuracy: 22.92 %
Epoch 33, Train Accuracy: 22.91 %, Test Accuracy: 23.05 %
Epoch 34, Train Accuracy: 22.68 %, Test Accuracy: 22.95 %
Epoch 35, Train Accuracy: 22.77 %, Test Accuracy: 23.12 %
Epoch 36, Train Accuracy: 22.65 %, Test Accuracy: 22.86 %
Epoch 37, Train Accuracy: 22.80 %, Test Accuracy: 22.89 %
Epoch 38, Train Accuracy: 22.97 %, Test Accuracy: 22.91 %
Epoch 39, Train Accuracy: 22.59 %, Test Accuracy: 22.94 %
Epoch 40, Train Accuracy: 22.93 %, Test Accuracy: 22.85 %
Epoch 41, Train Accuracy: 22.76 %, Test Accuracy: 22.96 %
Epoch 42, Train Accuracy: 23.14 %, Test Accuracy: 23.03 %
Epoch 43, Train Accuracy: 22.90 %, Test Accuracy: 22.92 %
Epoch 44, Train Accuracy: 22.86 %, Test Accuracy: 22.97 %
Epoch 45, Train Accuracy: 22.86 %, Test Accuracy: 22.97 %
Epoch 46, Train Accuracy: 22.97 %, Test Accuracy: 22.95 %
Epoch 47, Train Accuracy: 22.73 %, Test Accuracy: 23.04 %
Epoch 48, Train Accuracy: 22.87 %, Test Accuracy: 22.91 %
Epoch 49, Train Accuracy: 22.81 %, Test Accuracy: 23.01 %
Epoch 50, Train Accuracy: 22.72 %, Test Accuracy: 23.03 %
Epoch 51, Train Accuracy: 22.80 %, Test Accuracy: 22.99 %
Epoch 52, Train Accuracy: 23.03 %, Test Accuracy: 23.09 %
Epoch 53, Train Accuracy: 22.75 %, Test Accuracy: 23.18 %
Epoch 54, Train Accuracy: 22.89 %, Test Accuracy: 22.87 %
Epoch 55, Train Accuracy: 23.02 %, Test Accuracy: 23.05 %
Epoch 56, Train Accuracy: 22.89 %, Test Accuracy: 22.85 %
Epoch 57, Train Accuracy: 23.04 %, Test Accuracy: 23.00 %
Epoch 58, Train Accuracy: 22.87 %, Test Accuracy: 23.00 %
Epoch 59, Train Accuracy: 22.68 %, Test Accuracy: 23.00 %
Epoch 60, Train Accuracy: 22.87 %, Test Accuracy: 23.14 %
Epoch 61, Train Accuracy: 22.76 %, Test Accuracy: 23.08 %
Epoch 62, Train Accuracy: 22.80 %, Test Accuracy: 22.86 %
Epoch 63, Train Accuracy: 22.86 %, Test Accuracy: 23.03 %
Epoch 64, Train Accuracy: 22.90 %, Test Accuracy: 22.87 %
Epoch 65, Train Accuracy: 22.94 %, Test Accuracy: 23.06 %
Epoch 66, Train Accuracy: 23.05 %, Test Accuracy: 23.03 %
Epoch 67, Train Accuracy: 22.97 %, Test Accuracy: 23.00 %
Epoch 68, Train Accuracy: 22.78 %, Test Accuracy: 23.07 %
Epoch 69, Train Accuracy: 22.92 %, Test Accuracy: 23.07 %
Epoch 70, Train Accuracy: 22.96 %, Test Accuracy: 23.11 %
Epoch 71, Train Accuracy: 22.93 %, Test Accuracy: 23.00 %
Epoch 72, Train Accuracy: 23.08 %, Test Accuracy: 23.02 %
Epoch 73, Train Accuracy: 22.92 %, Test Accuracy: 23.03 %
Epoch 74, Train Accuracy: 22.90 %, Test Accuracy: 23.03 %
Epoch 75, Train Accuracy: 22.92 %, Test Accuracy: 23.10 %
Epoch 76, Train Accuracy: 22.89 %, Test Accuracy: 23.23 %
Epoch 77, Train Accuracy: 22.86 %, Test Accuracy: 22.83 %
Epoch 78, Train Accuracy: 22.89 %, Test Accuracy: 23.07 %
Epoch 79, Train Accuracy: 22.94 %, Test Accuracy: 23.17 %
Epoch 80, Train Accuracy: 23.00 %, Test Accuracy: 22.85 %
Epoch 81, Train Accuracy: 22.78 %, Test Accuracy: 23.16 %
Epoch 82, Train Accuracy: 22.91 %, Test Accuracy: 23.03 %
Epoch 83, Train Accuracy: 22.79 %, Test Accuracy: 23.07 %
Epoch 84, Train Accuracy: 22.96 %, Test Accuracy: 22.92 %
