NODE=[HOST_e223b82d71] | JOB=cl5-lay-cU-s2 4702352 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account2/metaopt/runs/cl5 --run-name cl5-lay-cU-s2
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cl5/probe_lay_cU_s2
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.30 %, Test Accuracy: 31.88 %
Epoch 1, Train Accuracy: 37.82 %, Test Accuracy: 40.44 %
Epoch 2, Train Accuracy: 47.42 %, Test Accuracy: 51.45 %
Epoch 3, Train Accuracy: 56.10 %, Test Accuracy: 61.10 %
Epoch 4, Train Accuracy: 63.41 %, Test Accuracy: 64.90 %
Epoch 5, Train Accuracy: 68.91 %, Test Accuracy: 71.04 %
Epoch 6, Train Accuracy: 73.87 %, Test Accuracy: 74.06 %
Epoch 7, Train Accuracy: 77.45 %, Test Accuracy: 77.54 %
Epoch 8, Train Accuracy: 79.78 %, Test Accuracy: 80.71 %
Epoch 9, Train Accuracy: 82.14 %, Test Accuracy: 81.28 %
Epoch 10, Train Accuracy: 83.31 %, Test Accuracy: 82.87 %
Epoch 11, Train Accuracy: 84.88 %, Test Accuracy: 83.20 %
Epoch 12, Train Accuracy: 86.19 %, Test Accuracy: 83.82 %
Epoch 13, Train Accuracy: 86.96 %, Test Accuracy: 84.59 %
Epoch 14, Train Accuracy: 88.21 %, Test Accuracy: 85.33 %
Epoch 15, Train Accuracy: 88.88 %, Test Accuracy: 86.05 %
Epoch 16, Train Accuracy: 89.65 %, Test Accuracy: 86.05 %
Epoch 17, Train Accuracy: 89.98 %, Test Accuracy: 87.13 %
Epoch 18, Train Accuracy: 90.88 %, Test Accuracy: 87.45 %
Epoch 19, Train Accuracy: 91.59 %, Test Accuracy: 86.80 %
6  minutes
RUN_DONE
