NODE=[HOST_ae9488be04] | JOB=cl5-w-cD-s0 4702359 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account2/metaopt/runs/cl5 --run-name cl5-w-cD-s0
ENV: AUGMENT=1 BETA_CLIP=-30:-4.6052 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cl5/probe_w_cD_s0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.79 %, Test Accuracy: 31.60 %
Epoch 1, Train Accuracy: 36.28 %, Test Accuracy: 40.95 %
Epoch 2, Train Accuracy: 43.77 %, Test Accuracy: 47.65 %
Epoch 3, Train Accuracy: 50.11 %, Test Accuracy: 54.04 %
Epoch 4, Train Accuracy: 55.52 %, Test Accuracy: 58.46 %
Epoch 5, Train Accuracy: 60.07 %, Test Accuracy: 62.47 %
Epoch 6, Train Accuracy: 63.98 %, Test Accuracy: 66.07 %
Epoch 7, Train Accuracy: 66.96 %, Test Accuracy: 68.18 %
Epoch 8, Train Accuracy: 69.97 %, Test Accuracy: 70.84 %
Epoch 9, Train Accuracy: 72.43 %, Test Accuracy: 73.05 %
Epoch 10, Train Accuracy: 74.47 %, Test Accuracy: 74.90 %
Epoch 11, Train Accuracy: 76.37 %, Test Accuracy: 76.79 %
Epoch 12, Train Accuracy: 78.13 %, Test Accuracy: 77.35 %
Epoch 13, Train Accuracy: 79.61 %, Test Accuracy: 79.47 %
Epoch 14, Train Accuracy: 80.66 %, Test Accuracy: 80.62 %
Epoch 15, Train Accuracy: 81.81 %, Test Accuracy: 81.43 %
Epoch 16, Train Accuracy: 82.94 %, Test Accuracy: 81.81 %
Epoch 17, Train Accuracy: 83.97 %, Test Accuracy: 82.58 %
Epoch 18, Train Accuracy: 84.63 %, Test Accuracy: 83.48 %
Epoch 19, Train Accuracy: 85.40 %, Test Accuracy: 83.25 %
10  minutes
RUN_DONE
