NODE=[HOST_2f2f29d9e1] | JOB=cpg1-kC-s12 4919799 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-48,layer4.0.shortcut.0.weight/layer4.0.conv2.weight,50-51,53-62 --seed 12 --save-directory cluster/Account2/metaopt/runs/cpg1 --run-name cpg1-kC-s12
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.00 %, Test Accuracy: 0.98 %
Epoch 1, Train Accuracy: 0.99 %, Test Accuracy: 0.89 %
Epoch 2, Train Accuracy: 0.98 %, Test Accuracy: 0.87 %
Epoch 3, Train Accuracy: 1.06 %, Test Accuracy: 0.89 %
Epoch 4, Train Accuracy: 1.11 %, Test Accuracy: 0.96 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 0.98 %
Epoch 6, Train Accuracy: 1.15 %, Test Accuracy: 1.08 %
Epoch 7, Train Accuracy: 1.47 %, Test Accuracy: 1.67 %
Epoch 8, Train Accuracy: 1.87 %, Test Accuracy: 2.32 %
Epoch 9, Train Accuracy: 2.70 %, Test Accuracy: 3.29 %
Epoch 10, Train Accuracy: 3.64 %, Test Accuracy: 4.12 %
Epoch 11, Train Accuracy: 4.89 %, Test Accuracy: 6.09 %
Epoch 12, Train Accuracy: 6.70 %, Test Accuracy: 7.84 %
Epoch 13, Train Accuracy: 8.56 %, Test Accuracy: 9.99 %
Epoch 14, Train Accuracy: 10.18 %, Test Accuracy: 11.02 %
Epoch 15, Train Accuracy: 11.95 %, Test Accuracy: 12.72 %
Epoch 16, Train Accuracy: 13.47 %, Test Accuracy: 14.62 %
Epoch 17, Train Accuracy: 14.78 %, Test Accuracy: 14.66 %
Epoch 18, Train Accuracy: 16.33 %, Test Accuracy: 17.10 %
Epoch 19, Train Accuracy: 18.50 %, Test Accuracy: 19.01 %
Epoch 20, Train Accuracy: 20.66 %, Test Accuracy: 21.72 %
Epoch 21, Train Accuracy: 22.54 %, Test Accuracy: 23.26 %
Epoch 22, Train Accuracy: 24.38 %, Test Accuracy: 25.46 %
Epoch 23, Train Accuracy: 26.21 %, Test Accuracy: 25.37 %
Epoch 24, Train Accuracy: 27.49 %, Test Accuracy: 27.98 %
Epoch 25, Train Accuracy: 29.32 %, Test Accuracy: 29.49 %
Epoch 26, Train Accuracy: 30.76 %, Test Accuracy: 30.44 %
Epoch 27, Train Accuracy: 32.16 %, Test Accuracy: 33.22 %
Epoch 28, Train Accuracy: 33.42 %, Test Accuracy: 33.94 %
Epoch 29, Train Accuracy: 35.44 %, Test Accuracy: 34.92 %
Epoch 30, Train Accuracy: 36.74 %, Test Accuracy: 36.50 %
Epoch 31, Train Accuracy: 38.31 %, Test Accuracy: 37.97 %
Epoch 32, Train Accuracy: 39.50 %, Test Accuracy: 38.45 %
Epoch 33, Train Accuracy: 40.41 %, Test Accuracy: 39.94 %
Epoch 34, Train Accuracy: 41.79 %, Test Accuracy: 40.60 %
Epoch 35, Train Accuracy: 42.92 %, Test Accuracy: 41.25 %
Epoch 36, Train Accuracy: 43.89 %, Test Accuracy: 42.47 %
Epoch 37, Train Accuracy: 44.74 %, Test Accuracy: 42.23 %
Epoch 38, Train Accuracy: 45.39 %, Test Accuracy: 43.13 %
Epoch 39, Train Accuracy: 46.28 %, Test Accuracy: 43.80 %
Epoch 40, Train Accuracy: 46.63 %, Test Accuracy: 43.38 %
Epoch 41, Train Accuracy: 47.28 %, Test Accuracy: 44.53 %
Epoch 42, Train Accuracy: 47.83 %, Test Accuracy: 45.14 %
Epoch 43, Train Accuracy: 48.11 %, Test Accuracy: 45.33 %
Epoch 44, Train Accuracy: 48.54 %, Test Accuracy: 45.67 %
Epoch 45, Train Accuracy: 48.88 %, Test Accuracy: 45.96 %
Epoch 46, Train Accuracy: 49.33 %, Test Accuracy: 45.94 %
Epoch 47, Train Accuracy: 49.45 %, Test Accuracy: 45.81 %
Epoch 48, Train Accuracy: 49.46 %, Test Accuracy: 45.94 %
Epoch 49, Train Accuracy: 49.95 %, Test Accuracy: 46.24 %
Epoch 50, Train Accuracy: 49.87 %, Test Accuracy: 46.07 %
Epoch 51, Train Accuracy: 50.20 %, Test Accuracy: 46.24 %
Epoch 52, Train Accuracy: 49.84 %, Test Accuracy: 46.08 %
Epoch 53, Train Accuracy: 50.28 %, Test Accuracy: 46.30 %
Epoch 54, Train Accuracy: 50.27 %, Test Accuracy: 46.43 %
Epoch 55, Train Accuracy: 50.47 %, Test Accuracy: 46.58 %
Epoch 56, Train Accuracy: 50.71 %, Test Accuracy: 46.71 %
Epoch 57, Train Accuracy: 50.77 %, Test Accuracy: 46.52 %
Epoch 58, Train Accuracy: 50.72 %, Test Accuracy: 46.51 %
Epoch 59, Train Accuracy: 50.91 %, Test Accuracy: 46.66 %
Epoch 60, Train Accuracy: 50.88 %, Test Accuracy: 46.81 %
Epoch 61, Train Accuracy: 50.82 %, Test Accuracy: 46.82 %
Epoch 62, Train Accuracy: 50.87 %, Test Accuracy: 46.68 %
Epoch 63, Train Accuracy: 50.86 %, Test Accuracy: 46.71 %
Epoch 64, Train Accuracy: 50.82 %, Test Accuracy: 46.72 %
Epoch 65, Train Accuracy: 50.99 %, Test Accuracy: 46.62 %
Epoch 66, Train Accuracy: 50.90 %, Test Accuracy: 46.80 %
Epoch 67, Train Accuracy: 50.98 %, Test Accuracy: 46.89 %
Epoch 68, Train Accuracy: 51.17 %, Test Accuracy: 47.10 %
Epoch 69, Train Accuracy: 51.03 %, Test Accuracy: 46.75 %
Epoch 70, Train Accuracy: 51.04 %, Test Accuracy: 46.94 %
Epoch 71, Train Accuracy: 51.06 %, Test Accuracy: 46.66 %
Epoch 72, Train Accuracy: 51.13 %, Test Accuracy: 46.93 %
Epoch 73, Train Accuracy: 51.14 %, Test Accuracy: 46.93 %
Epoch 74, Train Accuracy: 50.97 %, Test Accuracy: 46.89 %
Epoch 75, Train Accuracy: 50.90 %, Test Accuracy: 46.79 %
Epoch 76, Train Accuracy: 51.01 %, Test Accuracy: 46.65 %
Epoch 77, Train Accuracy: 50.97 %, Test Accuracy: 46.84 %
Epoch 78, Train Accuracy: 51.23 %, Test Accuracy: 46.70 %
Epoch 79, Train Accuracy: 51.18 %, Test Accuracy: 46.99 %
Epoch 80, Train Accuracy: 51.15 %, Test Accuracy: 46.93 %
Epoch 81, Train Accuracy: 51.13 %, Test Accuracy: 46.81 %
Epoch 82, Train Accuracy: 51.28 %, Test Accuracy: 46.84 %
Epoch 83, Train Accuracy: 51.22 %, Test Accuracy: 47.03 %
Epoch 84, Train Accuracy: 51.28 %, Test Accuracy: 46.97 %
Epoch 85, Train Accuracy: 51.08 %, Test Accuracy: 47.02 %
Epoch 86, Train Accuracy: 50.89 %, Test Accuracy: 46.93 %
Epoch 87, Train Accuracy: 51.00 %, Test Accuracy: 47.02 %
Epoch 88, Train Accuracy: 51.21 %, Test Accuracy: 46.92 %
Epoch 89, Train Accuracy: 51.29 %, Test Accuracy: 46.73 %
Epoch 90, Train Accuracy: 51.09 %, Test Accuracy: 47.14 %
Epoch 91, Train Accuracy: 51.07 %, Test Accuracy: 47.09 %
Epoch 92, Train Accuracy: 51.17 %, Test Accuracy: 46.70 %
Epoch 93, Train Accuracy: 51.22 %, Test Accuracy: 46.95 %
Epoch 94, Train Accuracy: 51.24 %, Test Accuracy: 46.79 %
Epoch 95, Train Accuracy: 51.27 %, Test Accuracy: 46.85 %
Epoch 96, Train Accuracy: 51.00 %, Test Accuracy: 47.00 %
Epoch 97, Train Accuracy: 51.26 %, Test Accuracy: 46.80 %
Epoch 98, Train Accuracy: 51.13 %, Test Accuracy: 46.48 %
Epoch 99, Train Accuracy: 51.25 %, Test Accuracy: 47.00 %
43  minutes
RUN_DONE
