NODE=[HOST_f0845cc956] | JOB=cpg1-kP-s13 4919803 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49/50-62 --seed 13 --save-directory cluster/Account2/metaopt/runs/cpg1 --run-name cpg1-kP-s13
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.90 %, Test Accuracy: 1.07 %
Epoch 1, Train Accuracy: 0.91 %, Test Accuracy: 1.07 %
Epoch 2, Train Accuracy: 0.93 %, Test Accuracy: 1.03 %
Epoch 3, Train Accuracy: 0.92 %, Test Accuracy: 1.06 %
Epoch 4, Train Accuracy: 0.92 %, Test Accuracy: 1.08 %
Epoch 5, Train Accuracy: 0.90 %, Test Accuracy: 1.06 %
Epoch 6, Train Accuracy: 0.99 %, Test Accuracy: 1.22 %
Epoch 7, Train Accuracy: 1.19 %, Test Accuracy: 1.78 %
Epoch 8, Train Accuracy: 2.04 %, Test Accuracy: 2.56 %
Epoch 9, Train Accuracy: 2.74 %, Test Accuracy: 3.45 %
Epoch 10, Train Accuracy: 3.74 %, Test Accuracy: 4.50 %
Epoch 11, Train Accuracy: 4.71 %, Test Accuracy: 5.58 %
Epoch 12, Train Accuracy: 6.14 %, Test Accuracy: 7.37 %
Epoch 13, Train Accuracy: 7.76 %, Test Accuracy: 9.03 %
Epoch 14, Train Accuracy: 9.39 %, Test Accuracy: 11.14 %
Epoch 15, Train Accuracy: 11.42 %, Test Accuracy: 12.51 %
Epoch 16, Train Accuracy: 12.92 %, Test Accuracy: 14.08 %
Epoch 17, Train Accuracy: 14.62 %, Test Accuracy: 15.19 %
Epoch 18, Train Accuracy: 16.35 %, Test Accuracy: 17.84 %
