NODE=[HOST_2f2f29d9e1] | JOB=cpk3-k46-s8 4915321 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 772 --stepsize-groups [46,16] --seed 8 --save-directory cluster/Account2/metaopt/runs/cpk3 --run-name cpk3-k46-s8
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.97 %, Test Accuracy: 1.00 %
Epoch 1, Train Accuracy: 0.97 %, Test Accuracy: 0.97 %
Epoch 2, Train Accuracy: 0.94 %, Test Accuracy: 1.00 %
Epoch 3, Train Accuracy: 0.91 %, Test Accuracy: 1.02 %
Epoch 4, Train Accuracy: 1.05 %, Test Accuracy: 1.08 %
Epoch 5, Train Accuracy: 1.02 %, Test Accuracy: 1.01 %
Epoch 6, Train Accuracy: 0.98 %, Test Accuracy: 1.12 %
Epoch 7, Train Accuracy: 1.20 %, Test Accuracy: 1.33 %
Epoch 8, Train Accuracy: 1.57 %, Test Accuracy: 2.01 %
Epoch 9, Train Accuracy: 2.43 %, Test Accuracy: 3.14 %
Epoch 10, Train Accuracy: 3.75 %, Test Accuracy: 4.62 %
Epoch 11, Train Accuracy: 5.12 %, Test Accuracy: 6.18 %
Epoch 12, Train Accuracy: 6.62 %, Test Accuracy: 7.77 %
Epoch 13, Train Accuracy: 8.34 %, Test Accuracy: 9.97 %
Epoch 14, Train Accuracy: 10.03 %, Test Accuracy: 11.51 %
Epoch 15, Train Accuracy: 11.93 %, Test Accuracy: 12.56 %
Epoch 16, Train Accuracy: 13.61 %, Test Accuracy: 13.35 %
Epoch 17, Train Accuracy: 14.77 %, Test Accuracy: 16.12 %
Epoch 18, Train Accuracy: 16.62 %, Test Accuracy: 18.52 %
Epoch 19, Train Accuracy: 18.54 %, Test Accuracy: 19.91 %
Epoch 20, Train Accuracy: 20.73 %, Test Accuracy: 20.35 %
Epoch 21, Train Accuracy: 21.90 %, Test Accuracy: 23.19 %
Epoch 22, Train Accuracy: 23.45 %, Test Accuracy: 24.31 %
Epoch 23, Train Accuracy: 25.00 %, Test Accuracy: 25.98 %
Epoch 24, Train Accuracy: 26.33 %, Test Accuracy: 26.97 %
Epoch 25, Train Accuracy: 27.67 %, Test Accuracy: 27.01 %
Epoch 26, Train Accuracy: 28.84 %, Test Accuracy: 28.69 %
Epoch 27, Train Accuracy: 30.27 %, Test Accuracy: 30.89 %
Epoch 28, Train Accuracy: 31.70 %, Test Accuracy: 31.32 %
Epoch 29, Train Accuracy: 32.97 %, Test Accuracy: 32.66 %
Epoch 30, Train Accuracy: 33.79 %, Test Accuracy: 33.64 %
Epoch 31, Train Accuracy: 34.83 %, Test Accuracy: 33.59 %
