NODE=[HOST_e8d809bd94] | JOB=cpl2-k01-s76 5018261 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 76 --save-directory cluster/Account2/metaopt/runs/cpl2 --run-name cpl2-k01-s76
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cpl2/probe_cpl2-k01-s76 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cpl2/probe_cpl2-k01-s76
Epoch 0, Train Accuracy: 0.96 %, Test Accuracy: 0.92 %
Epoch 1, Train Accuracy: 1.01 %, Test Accuracy: 0.92 %
Epoch 2, Train Accuracy: 0.98 %, Test Accuracy: 0.98 %
Epoch 3, Train Accuracy: 0.96 %, Test Accuracy: 0.95 %
Epoch 4, Train Accuracy: 1.03 %, Test Accuracy: 1.03 %
Epoch 5, Train Accuracy: 1.12 %, Test Accuracy: 1.09 %
Epoch 6, Train Accuracy: 1.14 %, Test Accuracy: 1.11 %
Epoch 7, Train Accuracy: 1.21 %, Test Accuracy: 1.21 %
Epoch 8, Train Accuracy: 1.31 %, Test Accuracy: 1.35 %
Epoch 9, Train Accuracy: 1.41 %, Test Accuracy: 1.55 %
Epoch 10, Train Accuracy: 1.88 %, Test Accuracy: 2.38 %
Epoch 11, Train Accuracy: 2.64 %, Test Accuracy: 3.04 %
Epoch 12, Train Accuracy: 3.26 %, Test Accuracy: 3.97 %
Epoch 13, Train Accuracy: 3.95 %, Test Accuracy: 4.66 %
Epoch 14, Train Accuracy: 4.75 %, Test Accuracy: 5.48 %
Epoch 15, Train Accuracy: 5.79 %, Test Accuracy: 6.41 %
Epoch 16, Train Accuracy: 7.46 %, Test Accuracy: 8.10 %
Epoch 17, Train Accuracy: 8.79 %, Test Accuracy: 9.51 %
Epoch 18, Train Accuracy: 9.85 %, Test Accuracy: 10.31 %
Epoch 19, Train Accuracy: 10.69 %, Test Accuracy: 10.79 %
Epoch 20, Train Accuracy: 10.98 %, Test Accuracy: 11.20 %
Epoch 21, Train Accuracy: 11.15 %, Test Accuracy: 11.30 %
Epoch 22, Train Accuracy: 11.31 %, Test Accuracy: 11.39 %
Epoch 23, Train Accuracy: 11.60 %, Test Accuracy: 11.50 %
Epoch 24, Train Accuracy: 11.53 %, Test Accuracy: 11.61 %
Epoch 25, Train Accuracy: 11.71 %, Test Accuracy: 11.73 %
Epoch 26, Train Accuracy: 11.73 %, Test Accuracy: 11.80 %
Epoch 27, Train Accuracy: 11.70 %, Test Accuracy: 11.71 %
Epoch 28, Train Accuracy: 11.69 %, Test Accuracy: 11.64 %
Epoch 29, Train Accuracy: 11.75 %, Test Accuracy: 11.72 %
Epoch 30, Train Accuracy: 11.67 %, Test Accuracy: 11.72 %
Epoch 31, Train Accuracy: 11.61 %, Test Accuracy: 11.82 %
Epoch 32, Train Accuracy: 11.76 %, Test Accuracy: 11.78 %
Epoch 33, Train Accuracy: 11.95 %, Test Accuracy: 11.73 %
Epoch 34, Train Accuracy: 11.86 %, Test Accuracy: 11.84 %
Epoch 35, Train Accuracy: 11.74 %, Test Accuracy: 11.72 %
Epoch 36, Train Accuracy: 11.78 %, Test Accuracy: 11.60 %
Epoch 37, Train Accuracy: 11.73 %, Test Accuracy: 11.62 %
Epoch 38, Train Accuracy: 11.74 %, Test Accuracy: 11.71 %
Epoch 39, Train Accuracy: 11.72 %, Test Accuracy: 11.69 %
Epoch 40, Train Accuracy: 11.70 %, Test Accuracy: 11.86 %
Epoch 41, Train Accuracy: 11.80 %, Test Accuracy: 11.69 %
Epoch 42, Train Accuracy: 11.76 %, Test Accuracy: 11.74 %
Epoch 43, Train Accuracy: 11.76 %, Test Accuracy: 11.73 %
Epoch 44, Train Accuracy: 11.76 %, Test Accuracy: 11.58 %
Epoch 45, Train Accuracy: 11.68 %, Test Accuracy: 11.71 %
Epoch 46, Train Accuracy: 11.75 %, Test Accuracy: 11.94 %
Epoch 47, Train Accuracy: 11.77 %, Test Accuracy: 11.76 %
Epoch 48, Train Accuracy: 11.90 %, Test Accuracy: 11.73 %
Epoch 49, Train Accuracy: 11.96 %, Test Accuracy: 11.84 %
Epoch 50, Train Accuracy: 11.82 %, Test Accuracy: 11.86 %
Epoch 51, Train Accuracy: 11.84 %, Test Accuracy: 11.77 %
Epoch 52, Train Accuracy: 11.84 %, Test Accuracy: 11.76 %
Epoch 53, Train Accuracy: 11.82 %, Test Accuracy: 11.79 %
Epoch 54, Train Accuracy: 11.71 %, Test Accuracy: 11.56 %
Epoch 55, Train Accuracy: 11.78 %, Test Accuracy: 11.70 %
Epoch 56, Train Accuracy: 11.82 %, Test Accuracy: 11.74 %
Epoch 57, Train Accuracy: 11.67 %, Test Accuracy: 11.72 %
Epoch 58, Train Accuracy: 11.76 %, Test Accuracy: 11.79 %
Epoch 59, Train Accuracy: 11.80 %, Test Accuracy: 11.73 %
Epoch 60, Train Accuracy: 11.79 %, Test Accuracy: 11.73 %
Epoch 61, Train Accuracy: 11.75 %, Test Accuracy: 11.71 %
Epoch 62, Train Accuracy: 11.76 %, Test Accuracy: 11.68 %
Epoch 63, Train Accuracy: 11.78 %, Test Accuracy: 11.75 %
Epoch 64, Train Accuracy: 11.74 %, Test Accuracy: 11.84 %
Epoch 65, Train Accuracy: 11.85 %, Test Accuracy: 11.74 %
Epoch 66, Train Accuracy: 11.83 %, Test Accuracy: 11.68 %
Epoch 67, Train Accuracy: 11.82 %, Test Accuracy: 11.79 %
Epoch 68, Train Accuracy: 11.83 %, Test Accuracy: 11.73 %
Epoch 69, Train Accuracy: 11.75 %, Test Accuracy: 11.76 %
Epoch 70, Train Accuracy: 11.66 %, Test Accuracy: 11.74 %
Epoch 71, Train Accuracy: 11.78 %, Test Accuracy: 11.64 %
Epoch 72, Train Accuracy: 11.79 %, Test Accuracy: 11.75 %
Epoch 73, Train Accuracy: 11.81 %, Test Accuracy: 11.71 %
Epoch 74, Train Accuracy: 11.84 %, Test Accuracy: 11.74 %
Epoch 75, Train Accuracy: 11.81 %, Test Accuracy: 11.81 %
Epoch 76, Train Accuracy: 11.80 %, Test Accuracy: 11.71 %
Epoch 77, Train Accuracy: 11.73 %, Test Accuracy: 11.70 %
Epoch 78, Train Accuracy: 11.81 %, Test Accuracy: 11.73 %
Epoch 79, Train Accuracy: 11.78 %, Test Accuracy: 11.72 %
Epoch 80, Train Accuracy: 11.79 %, Test Accuracy: 11.73 %
Epoch 81, Train Accuracy: 11.80 %, Test Accuracy: 11.75 %
Epoch 82, Train Accuracy: 11.78 %, Test Accuracy: 11.71 %
Epoch 83, Train Accuracy: 11.73 %, Test Accuracy: 11.76 %
Epoch 84, Train Accuracy: 11.64 %, Test Accuracy: 11.64 %
Epoch 85, Train Accuracy: 11.81 %, Test Accuracy: 11.75 %
Epoch 86, Train Accuracy: 11.84 %, Test Accuracy: 11.82 %
Epoch 87, Train Accuracy: 11.75 %, Test Accuracy: 11.67 %
Epoch 88, Train Accuracy: 11.88 %, Test Accuracy: 11.73 %
Epoch 89, Train Accuracy: 11.90 %, Test Accuracy: 11.71 %
Epoch 90, Train Accuracy: 11.71 %, Test Accuracy: 11.75 %
Epoch 91, Train Accuracy: 11.83 %, Test Accuracy: 11.88 %
Epoch 92, Train Accuracy: 11.82 %, Test Accuracy: 11.61 %
Epoch 93, Train Accuracy: 11.76 %, Test Accuracy: 11.88 %
Epoch 94, Train Accuracy: 11.75 %, Test Accuracy: 11.70 %
Epoch 95, Train Accuracy: 11.78 %, Test Accuracy: 11.80 %
Epoch 96, Train Accuracy: 11.76 %, Test Accuracy: 11.60 %
Epoch 97, Train Accuracy: 11.72 %, Test Accuracy: 11.66 %
Epoch 98, Train Accuracy: 11.74 %, Test Accuracy: 11.78 %
Epoch 99, Train Accuracy: 11.78 %, Test Accuracy: 11.62 %
39  minutes
RUN_DONE
