NODE=[HOST_e8d809bd94] | JOB=cpl2-kL-s75 5018257 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name PlainNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 75 --save-directory cluster/Account2/metaopt/runs/cpl2 --run-name cpl2-kL-s75
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cpl2/probe_cpl2-kL-s75 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=layerwise tensors=53 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cpl2/probe_cpl2-kL-s75
Epoch 0, Train Accuracy: 1.11 %, Test Accuracy: 1.22 %
Epoch 1, Train Accuracy: 1.06 %, Test Accuracy: 1.19 %
Epoch 2, Train Accuracy: 1.15 %, Test Accuracy: 1.34 %
Epoch 3, Train Accuracy: 1.09 %, Test Accuracy: 1.20 %
Epoch 4, Train Accuracy: 1.10 %, Test Accuracy: 1.27 %
Epoch 5, Train Accuracy: 1.13 %, Test Accuracy: 1.36 %
Epoch 6, Train Accuracy: 1.17 %, Test Accuracy: 1.37 %
Epoch 7, Train Accuracy: 1.35 %, Test Accuracy: 1.67 %
Epoch 8, Train Accuracy: 1.61 %, Test Accuracy: 1.96 %
Epoch 9, Train Accuracy: 1.87 %, Test Accuracy: 2.04 %
Epoch 10, Train Accuracy: 2.02 %, Test Accuracy: 2.52 %
Epoch 11, Train Accuracy: 2.47 %, Test Accuracy: 3.09 %
Epoch 12, Train Accuracy: 3.36 %, Test Accuracy: 4.18 %
Epoch 13, Train Accuracy: 4.45 %, Test Accuracy: 5.29 %
Epoch 14, Train Accuracy: 5.60 %, Test Accuracy: 6.39 %
Epoch 15, Train Accuracy: 6.65 %, Test Accuracy: 8.33 %
Epoch 16, Train Accuracy: 8.83 %, Test Accuracy: 10.94 %
Epoch 17, Train Accuracy: 11.17 %, Test Accuracy: 12.48 %
Epoch 18, Train Accuracy: 14.46 %, Test Accuracy: 16.29 %
Epoch 19, Train Accuracy: 17.72 %, Test Accuracy: 20.34 %
Epoch 20, Train Accuracy: 21.72 %, Test Accuracy: 23.67 %
Epoch 21, Train Accuracy: 24.75 %, Test Accuracy: 26.88 %
